family,model,size_name,parameter_count,log10_params,input_dim,output_dim,rank,rank_label,mknn,dense_raw,dense_ridge,pca_minus_dense_ridge,train_mse,test_mse,train_mse_full_ridge,test_mse_full_ridge
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,512,512,0.06496795849862678,0.02187976808056149,0.048245346353371986,0.0167226121452548,0.13227848708629608,0.14630241692066193,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_95m,95m,95000000,7.977723605288848,768,768,768,full,0.048245346353371986,0.02187976808056149,0.048245346353371986,0.0,0.08613323420286179,0.09970065206289291,0.08613323420286179,0.09970065206289291
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,8,8,0.02096429661275557,0.026212999694842844,0.050167836435764425,-0.029203539823008856,27.603483200073242,27.66469383239746,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,16,16,0.031064998474214223,0.026212999694842844,0.050167836435764425,-0.0191028379615502,15.771452903747559,15.797576904296875,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,32,32,0.03664937442783033,0.026212999694842844,0.050167836435764425,-0.013518462007934093,8.831388473510742,8.912942886352539,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,64,64,0.045041196216051266,0.026212999694842844,0.050167836435764425,-0.005126640219713159,4.797391891479492,4.864814281463623,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,128,128,0.05315837656393042,0.026212999694842844,0.050167836435764425,0.0029905401281659985,2.6176891326904297,2.68133807182312,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,256,256,0.06325907842538907,0.026212999694842844,0.050167836435764425,0.013091241989624643,1.3907965421676636,1.460847020149231,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,512,512,0.06927067439731462,0.026212999694842844,0.050167836435764425,0.01910283796155019,0.7063596248626709,0.7792816758155823,0.1556098908185959,0.2233935445547104
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,2048,2048,2048,full,0.050167836435764425,0.026212999694842844,0.050167836435764425,0.0,0.1556098908185959,0.2233935445547104,0.1556098908185959,0.2233935445547104
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,8,8,0.012786084833689352,0.017973756484589563,0.04110466890448581,-0.02831858407079646,15.703300476074219,15.759588241577148,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,16,16,0.02154409520903265,0.017973756484589563,0.04110466890448581,-0.019560573695453158,8.963174819946289,9.044118881225586,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,32,32,0.028166005492828806,0.017973756484589563,0.04110466890448581,-0.012938663411657003,4.992176532745361,5.0508246421813965,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,64,64,0.033994507171193164,0.017973756484589563,0.04110466890448581,-0.007110161733292646,2.6469013690948486,2.684312343597412,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,128,128,0.04168446750076289,0.017973756484589563,0.04110466890448581,0.0005797985962770827,1.3433537483215332,1.3876324892044067,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,256,256,0.04510222764723833,0.017973756484589563,0.04110466890448581,0.0039975587427525175,0.6635246276855469,0.7054069638252258,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,512,512,0.04974061641745499,0.017973756484589563,0.04110466890448581,0.008635947512969179,0.31942886114120483,0.3566274046897888,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,640,full,0.04110466890448581,0.017973756484589563,0.04110466890448581,0.0,0.25093477964401245,0.28722766041755676,0.25093477964401245,0.28722766041755676
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,8,8,0.014281354897772353,0.018462007934086054,0.04211168751907232,-0.02783033262129997,31.877126693725586,31.939586639404297,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,16,16,0.019438510833079035,0.018462007934086054,0.04211168751907232,-0.022673176685993286,17.679672241210938,17.8116397857666,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,32,32,0.028410131217577052,0.018462007934086054,0.04211168751907232,-0.01370155630149527,9.588736534118652,9.697187423706055,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,64,64,0.03378089716203845,0.018462007934086054,0.04211168751907232,-0.008330790357033872,5.012983798980713,5.119731426239014,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,128,128,0.042325297528227036,0.018462007934086054,0.04211168751907232,0.00021361000915471468,2.524333953857422,2.599731922149658,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,256,256,0.04888617638083613,0.018462007934086054,0.04211168751907232,0.006774488861763808,1.2333627939224243,1.3055074214935303,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,512,512,0.0530363137015563,0.018462007934086054,0.04211168751907232,0.010924626182483979,0.5926206111907959,0.6607407331466675,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,768,768,full,0.04211168751907232,0.018462007934086054,0.04211168751907232,0.0,0.381030410528183,0.44822171330451965,0.381030410528183,0.44822171330451965
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,8,8,0.01415929203539823,0.019743667989014342,0.045437900518767164,-0.031278608483368935,54.841434478759766,54.772335052490234,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,16,16,0.022703692401586817,0.019743667989014342,0.045437900518767164,-0.022734208117180348,31.523653030395508,31.674509048461914,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,32,32,0.03063777845590479,0.019743667989014342,0.045437900518767164,-0.014800122062862374,17.034757614135742,17.210025787353516,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,64,64,0.03652731156545621,0.019743667989014342,0.045437900518767164,-0.008910588953310955,8.97836971282959,9.11094856262207,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,128,128,0.04342386328959414,0.019743667989014342,0.045437900518767164,-0.002014037229173024,4.570586681365967,4.675355911254883,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,256,256,0.04858101922490082,0.019743667989014342,0.045437900518767164,0.003143118706133659,2.2631099224090576,2.381218433380127,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,512,512,0.053646628013426914,0.019743667989014342,0.045437900518767164,0.00820872749465975,1.0884569883346558,1.2121844291687012,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,1024,1024,1024,full,0.045437900518767164,0.019743667989014342,0.045437900518767164,0.0,0.5094641447067261,0.6293640732765198,0.5094641447067261,0.6293640732765198
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,8,8,0.01415929203539823,0.02108635947512969,0.047238327738785474,-0.033079035703387244,74.42416381835938,74.08336639404297,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,16,16,0.022764723832773878,0.02108635947512969,0.047238327738785474,-0.024473603906011596,41.254005432128906,41.42912673950195,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,32,32,0.03011901129081477,0.02108635947512969,0.047238327738785474,-0.017119316447970705,22.477115631103516,22.53448486328125,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,64,64,0.035825450106805004,0.02108635947512969,0.047238327738785474,-0.01141287763198047,11.779133796691895,11.873640060424805,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,128,128,0.042233750381446444,0.02108635947512969,0.047238327738785474,-0.0050045773573390295,6.065188884735107,6.177465438842773,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,256,256,0.050045773573390295,0.02108635947512969,0.047238327738785474,0.0028074458346048214,3.015031099319458,3.156501293182373,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,512,512,0.05672871528837351,0.02108635947512969,0.047238327738785474,0.009490387549588038,1.462875247001648,1.5989227294921875,0.43261805176734924,0.5827473998069763
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,1536,1536,1536,full,0.047238327738785474,0.02108635947512969,0.047238327738785474,0.0,0.43261805176734924,0.5827473998069763,0.43261805176734924,0.5827473998069763
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,8,8,0.018065303631370155,0.022886786695148,0.034543790051876716,-0.01647848642050656,3.853339910507202,3.9096200466156006,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,16,16,0.024809276777540433,0.022886786695148,0.034543790051876716,-0.009734513274336283,2.3922529220581055,2.416334390640259,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,32,32,0.03289594140982606,0.022886786695148,0.034543790051876716,-0.001647848642050656,1.3538166284561157,1.3709850311279297,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,64,64,0.03918217882209338,0.022886786695148,0.034543790051876716,0.0046383887702166615,0.7340614199638367,0.7505237460136414,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,128,128,0.043637473298748855,0.022886786695148,0.034543790051876716,0.009093683246872139,0.3814990222454071,0.395746111869812,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,256,256,0.046322856270979554,0.022886786695148,0.034543790051876716,0.011779066219102838,0.19147373735904694,0.2036632001399994,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,384,384,384,full,0.034543790051876716,0.022886786695148,0.034543790051876716,0.0,0.12587444484233856,0.13727813959121704,0.12587444484233856,0.13727813959121704
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,8,8,0.014464449191333537,0.019530057979859627,0.03286542569423253,-0.018400976502898993,3.3061535358428955,3.3277573585510254,0.05082308128476143,0.05899922922253609
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,16,16,0.021147390906316753,0.019530057979859627,0.03286542569423253,-0.011718034787915776,1.9769569635391235,1.9873642921447754,0.05082308128476143,0.05899922922253609
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,32,32,0.028227036924015868,0.019530057979859627,0.03286542569423253,-0.0046383887702166615,1.1065609455108643,1.1146070957183838,0.05082308128476143,0.05899922922253609
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,64,64,0.03436069575831553,0.019530057979859627,0.03286542569423253,0.0014952700640830027,0.5959710478782654,0.602765679359436,0.05082308128476143,0.05899922922253609
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,768,768,128,128,0.03915166310649985,0.019530057979859627,0.03286542569423253,0.006286237412267318,0.31181663274765015,0.31882748007774353,0.05082308128476143,0.05899922922253609
