pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_best_basis_idf,0.0137320720170888,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,dense_cosine,0.0119384765625,16384,3277,paper_full_catalog
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,dense_cosine_heldout,0.010802563320109856,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,bsf_codes_cosine,0.011473909063167531,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side1_basis_cosine,0.01592920353982301,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side1_basis_idf,0.013335367714372904,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side2_basis_cosine,0.011077204760451632,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side2_basis_idf,0.010100701861458651,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_best_basis_cosine,0.01592920353982301,16384,3277,heldout_query_full_gallery
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_best_basis_idf,0.013335367714372904,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,dense_cosine,0.011651611328125,16384,3277,paper_full_catalog
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,dense_cosine_heldout,0.012114739090631675,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,bsf_codes_cosine,0.01141287763198047,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side1_basis_cosine,0.013823619163869394,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side1_basis_idf,0.01827891364052487,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side2_basis_cosine,0.011657003356728715,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_side2_basis_idf,0.015135794934391211,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_best_basis_cosine,0.013823619163869394,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,shared_best_basis_idf,0.01827891364052487,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,dense_cosine,0.00999755859375,16384,3277,paper_full_catalog
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,dense_cosine_heldout,0.009398840402807446,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,bsf_codes_cosine,0.013030210558437597,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side1_basis_cosine,0.016356423558132438,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side1_basis_idf,0.018492523649679585,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side2_basis_cosine,0.015135794934391211,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_side2_basis_idf,0.01788220933780897,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_best_basis_cosine,0.016356423558132438,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_base,dinov2,base,DINOv2 Base,86.0,10,shared_best_basis_idf,0.018492523649679585,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,dense_cosine,0.01168212890625,16384,3277,paper_full_catalog
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,dense_cosine_heldout,0.011351846200793408,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,bsf_codes_cosine,0.013915166310649985,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side1_basis_cosine,0.017638083613060726,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side1_basis_idf,0.020445529447665547,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side2_basis_cosine,0.015166310649984744,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_side2_basis_idf,0.019041806530363137,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_best_basis_cosine,0.017638083613060726,16384,3277,heldout_query_full_gallery
