family,representation,metric,k_or_keff,reference_model,size_from,size_to,size_order_from,size_order_to,model_from,model_to,params_from,params_to,score_from,score_to,delta,positive
dinov2,dense,mknn,50,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.0196826171875,0.021649169921875,0.001966552734374998,True
dinov2,dense,mknn,50,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.021649169921875,0.022960205078125,0.0013110351562500011,True
dinov2,sae,mknn,10,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.015685077815074763,0.014006713457430578,-0.001678364357644185,False
dinov2,sae,mknn,10,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.014006713457430578,0.01690570643881599,0.0028989929813854117,True
dinov2,sae,mknn,10,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.01690570643881599,0.017027769301190113,0.00012206286237412267,True
dinov2,sae,mknn,20,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.020659139456820262,0.01919438510833079,-0.001464754348489472,False
dinov2,sae,mknn,20,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.01919438510833079,0.021833994507171193,0.0026396093988404028,True
dinov2,sae,mknn,20,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.021833994507171193,0.022551113823619164,0.0007171193164479707,True
dinov2,sae,mknn,50,paired_legacysurvey_same_size,small,base,0,1,DINOv2 Small,DINOv2 Base,22000000.0,86000000.0,0.03176075678974672,0.031132133048519986,-0.0006286237412267345,False
dinov2,sae,mknn,50,paired_legacysurvey_same_size,base,large,1,2,DINOv2 Base,DINOv2 Large,86000000.0,300000000.0,0.031132133048519986,0.035587427525175463,0.0044552944766554775,True
dinov2,sae,mknn,50,paired_legacysurvey_same_size,large,giant,2,3,DINOv2 Large,DINOv2 Giant,300000000.0,1100000000.0,0.035587427525175463,0.03483063777845591,-0.000756789746719555,False
ijepa,bsf,mknn,10,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.027525175465364666,0.03207201708880073,0.004546841623436066,True
ijepa,bsf,mknn,20,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.03797680805614891,0.04284406469331706,0.004867256637168145,True
ijepa,bsf,mknn,50,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.058608483368935003,0.06509002136100092,0.006481537992065918,True
ijepa,dense,mknn,10,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.010443115234375,0.017822265625,0.007379150390625,True
ijepa,dense,mknn,20,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.0132476806640625,0.021881103515625,0.0086334228515625,True
ijepa,dense,mknn,50,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.02052734375,0.0318310546875,0.0113037109375,True
ijepa,sae,mknn,10,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.023649679584986268,0.028104974061641745,0.0044552944766554775,True
ijepa,sae,mknn,20,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.03237717424473604,0.03878547451937748,0.00640830027464144,True
ijepa,sae,mknn,50,paired_legacysurvey_same_size,huge,giant,0,1,IJEPA Huge,IJEPA Giant,630000000.0,1000000000.0,0.04938663411657004,0.05838877021666158,0.00900213610009154,True
vit,bsf,mknn,10,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.012511443393347574,0.01922490082392432,0.006713457430576747,True
vit,bsf,mknn,10,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.01922490082392432,0.01925541653951785,3.0515715593530668e-05,True
vit,bsf,mknn,20,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.016753127860848337,0.02638083613060726,0.009627708269758922,True
vit,bsf,mknn,20,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.02638083613060726,0.027220018309429356,0.0008391821788220968,True
vit,bsf,mknn,50,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.028519987793713765,0.041574610924626186,0.013054623130912421,True
vit,bsf,mknn,50,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.041574610924626186,0.044937442783033264,0.003362831858407078,True
vit,dense,mknn,10,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.007208251953125,0.01473388671875,0.007525634765625001,True
vit,dense,mknn,10,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.01473388671875,0.014373779296875,-0.00036010742187500035,False
vit,dense,mknn,20,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.0088775634765625,0.017401123046875,0.008523559570312502,True
vit,dense,mknn,20,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.017401123046875,0.0171844482421875,-0.0002166748046875007,False
vit,dense,mknn,50,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.014718017578125,0.025894775390625,0.0111767578125,True
vit,dense,mknn,50,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.025894775390625,0.025076904296875,-0.0008178710937499986,False
vit,sae,mknn,10,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.011565456209948123,0.019346963686298443,0.00778150747635032,True
vit,sae,mknn,10,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.019346963686298443,0.01821788220933781,-0.0011290814769606347,False
vit,sae,mknn,20,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.015883429966432713,0.0244278303326213,0.008544400366188587,True
vit,sae,mknn,20,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.0244278303326213,0.02439731461702777,-3.0515715593530668e-05,False
vit,sae,mknn,50,paired_legacysurvey_same_size,base,large,0,1,ViT Base,ViT Large,86000000.0,307000000.0,0.02574916081782118,0.03915776624961855,0.013408605431797373,True
vit,sae,mknn,50,paired_legacysurvey_same_size,large,huge,1,2,ViT Large,ViT Huge,307000000.0,632000000.0,0.03915776624961855,0.03884650595056454,-0.0003112602990540114,False
