family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,dense_score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw,other_score,model_o,size_label_o,parameter_count_o,log10_parameter_count_o,lift,score
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.014718017578125,,,,,16384,paper_full_catalog,dense_cosine,0.02574916081782118,ViT Base,base,86000000.0,7.9344984512435675,0.01103114323969618,0.01103114323969618
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.01473388671875,,,,,16384,paper_full_catalog,dense_cosine,0.019346963686298443,ViT Large,large,307000000.0,8.487138375477187,0.004613076967548443,0.004613076967548443
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.017401123046875,,,,,16384,paper_full_catalog,dense_cosine,0.0244278303326213,ViT Large,large,307000000.0,8.487138375477187,0.007026707285746298,0.007026707285746298
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.025894775390625,,,,,16384,paper_full_catalog,dense_cosine,0.03915776624961855,ViT Large,large,307000000.0,8.487138375477187,0.013262990858993552,0.013262990858993552
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.014373779296875,,,,,16384,paper_full_catalog,dense_cosine,0.01821788220933781,ViT Huge,huge,632000000.0,8.800717078282386,0.0038441029124628087,0.0038441029124628087
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0171844482421875,,,,,16384,paper_full_catalog,dense_cosine,0.02439731461702777,ViT Huge,huge,632000000.0,8.800717078282386,0.007212866374840268,0.007212866374840268
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.025076904296875,,,,,16384,paper_full_catalog,dense_cosine,0.03884650595056454,ViT Huge,huge,632000000.0,8.800717078282386,0.01376960165368954,0.01376960165368954
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.010443115234375,,,,,16384,paper_full_catalog,dense_cosine,0.023649679584986268,IJEPA Huge,huge,630000000.0,8.799340549453582,0.013206564350611268,0.013206564350611268
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.0132476806640625,,,,,16384,paper_full_catalog,dense_cosine,0.03237717424473604,IJEPA Huge,huge,630000000.0,8.799340549453582,0.019129493580673538,0.019129493580673538
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.02052734375,,,,,16384,paper_full_catalog,dense_cosine,0.04938663411657004,IJEPA Huge,huge,630000000.0,8.799340549453582,0.028859290366570037,0.028859290366570037
