family,model,parameter_count,log10_params,mode,k,k_frac,energy_retained,mknn,mknn_dense,mknn_full_ridge,lift,lift_frac_of_full
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,energy,40,0.10416666666666667,0.9,0.033628318584070796,0.022886786695148,0.034543790051876716,0.010741531888922795,0.9214659685863874
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,energy,65,0.16927083333333334,0.95,0.034330180042722,0.022886786695148,0.034543790051876716,0.011443393347574,0.981675392670157
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,energy,135,0.3515625,0.99,0.034513274336283185,0.022886786695148,0.034543790051876716,0.011626487641135184,0.9973821989528796
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,energy,384,1.0,1.0,0.034543790051876716,0.022886786695148,0.034543790051876716,0.011657003356728715,1.0
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,8,0.010416666666666666,0.5751753137176118,0.02545010680500458,0.019530057979859627,0.03286542569423253,0.005920048825144953,0.4439359267734556
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,16,0.020833333333333332,0.6964987977740009,0.029386634116570033,0.019530057979859627,0.03286542569423253,0.009856576136710406,0.7391304347826086
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,32,0.041666666666666664,0.8028475934332875,0.03146170277693012,0.019530057979859627,0.03286542569423253,0.011931644797070491,0.8947368421052632
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,64,0.08333333333333333,0.8907998986644199,0.03240768996032957,0.019530057979859627,0.03286542569423253,0.012877631980469942,0.965675057208238
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,128,0.16666666666666666,0.9537804633331904,0.03249923710711016,0.019530057979859627,0.03286542569423253,0.012969179127250534,0.9725400457665904
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,256,0.3333333333333333,0.9890045875383611,0.03295697284101312,0.019530057979859627,0.03286542569423253,0.013426914861153494,1.0068649885583525
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,rank,768,1.0,1.0,0.03286542569423253,0.019530057979859627,0.03286542569423253,0.013335367714372902,1.0
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,6,0.0078125,0.5,0.022978333841928593,0.019530057979859627,0.03286542569423253,0.0034482758620689655,0.2585812356979405
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,23,0.029947916666666668,0.75,0.0305462313091242,0.019530057979859627,0.03286542569423253,0.011016173329264571,0.8260869565217391
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,70,0.09114583333333333,0.9,0.03191943851083308,0.019530057979859627,0.03286542569423253,0.012389380530973451,0.9290617848970252
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,122,0.15885416666666666,0.95,0.03252975282270369,0.019530057979859627,0.03286542569423253,0.012999694842844065,0.9748283752860412
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,265,0.3450520833333333,0.99,0.03289594140982606,0.019530057979859627,0.03286542569423253,0.013365883429966433,1.002288329519451
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,energy,768,1.0,1.0,0.03286542569423253,0.019530057979859627,0.03286542569423253,0.013335367714372902,1.0
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,8,0.0078125,0.9942255196081736,0.024900823924321025,0.022245956667683857,0.03756484589563625,0.002654867256637168,0.17330677290836655
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,16,0.015625,0.9958038117382491,0.031217577052181873,0.022245956667683857,0.03756484589563625,0.008971620384498016,0.5856573705179283
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,32,0.03125,0.9971978289561861,0.035825450106805004,0.022245956667683857,0.03756484589563625,0.013579493439121147,0.8864541832669323
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,64,0.0625,0.9982993121072994,0.03655782728104974,0.022245956667683857,0.03756484589563625,0.014311870613365883,0.9342629482071713
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,128,0.125,0.9991461982757898,0.03713762587732682,0.022245956667683857,0.03756484589563625,0.014891669209642966,0.9721115537848606
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,256,0.25,0.9997135352095228,0.03744278303326213,0.022245956667683857,0.03756484589563625,0.015196826365578273,0.9920318725099602
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,rank,1024,1.0,1.0,0.03756484589563625,0.022245956667683857,0.03756484589563625,0.015318889227952395,1.0
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,energy,1,0.0009765625,0.5,0.00637778455904791,0.022245956667683857,0.03756484589563625,-0.015868172108635947,-1.0358565737051793
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,energy,1,0.0009765625,0.75,0.00637778455904791,0.022245956667683857,0.03756484589563625,-0.015868172108635947,-1.0358565737051793
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,energy,1,0.0009765625,0.9,0.00637778455904791,0.022245956667683857,0.03756484589563625,-0.015868172108635947,-1.0358565737051793
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,energy,1,0.0009765625,0.95,0.00637778455904791,0.022245956667683857,0.03756484589563625,-0.015868172108635947,-1.0358565737051793
