model,representation,physical_variable,n_centres,field_stable_rank,field_entropy_rank,field_rank_95,field_rank_99,participation_ratio,ambient_dim,activation_eff_rank,min_eig,adjacent_similarity,mean_rotation_speed,median_transfer_length,survey,probe_alpha,mean_global_local_pearson,mean_local_pearson,mean_local_minus_global,frac_local_better,bootstrap_stability
dinov3,dense,mag_r_desi,17,1.7561419195377383,11.715429294229827,14,16,8.600003055728136,768,3.9736015354050283,0.1015934569406626,0.11117502487236705,13.459737877798014,,physics,1e-06,0.08465610928929493,0.055446461090398025,-0.02920964819889692,0.35294117647058826,
dinov3,dense,smooth_fraction,17,4.375250453443615,15.673496760640347,16,17,14.470788089683088,768,3.9736015354050283,0.4586457425106369,-0.0168965935896992,19.6173050918032,,physics,1000.0,0.05775164514520806,0.019626464679760966,-0.03812518046544709,0.23529411764705882,
dinov3,sae,photo_z,17,4.063729296840888,14.84207967340119,15,17,13.144676281774151,2048,13.91174701418059,0.338986168044107,-0.07291932386347721,8.860319725565706,,physics,100.0,0.057316082093331826,0.04798760409579834,-0.009328477997533492,0.4117647058823529,0.9119406594482544
dinov3,sae,mag_r_desi,17,4.115711163657821,15.126518230623466,16,17,13.562199200018291,2048,13.91174701418059,0.42168380874981565,-0.05498779299263355,14.310100577998785,,physics,1000.0,0.05759284702883364,0.03624739895967955,-0.021345448069154085,0.35294117647058826,0.9201743659315322
dinov3,sae,smooth_fraction,17,4.517079111613491,15.32948998903896,16,17,13.954913979240049,2048,13.91174701418059,0.41259426921675085,-0.008821127701214501,19.931200499487385,,physics,1000.0,0.03725437602327449,0.030223224152050573,-0.007031151871223919,0.5294117647058824,0.9178602380357854
dinov3,sae_sqrt_idf,photo_z,17,4.063727552323532,14.842083618614886,15,17,13.144683829629848,2048,16.040272528473388,0.33898582292270485,-0.07291980948380132,8.86032249865611,,physics,100.0,0.05731599280385505,0.04798798896273045,-0.009328003841124588,0.4117647058823529,
dinov3,sae_sqrt_idf,mag_r_desi,17,4.115713388649297,15.126513797072041,16,17,13.562192701525042,2048,16.040272528473388,0.4216857410055888,-0.054987156448340166,14.310096074268001,,physics,1000.0,0.057592796370590116,0.036247347535145205,-0.02134544883544491,0.35294117647058826,
dinov3,sae_sqrt_idf,smooth_fraction,17,4.517078311500532,15.32949173363734,16,17,13.95491653617902,2048,16.040272528473388,0.41259419571659384,-0.008821014482688197,19.931197650068775,,physics,1000.0,0.03725410212227874,0.030223284441976993,-0.007030817680301753,0.5294117647058824,
vit_large,dense,photo_z,17,1.7997642552977042,12.7598895706664,15,17,9.467602274740965,1024,5.561994734231539,0.2828435047047077,0.08849726360496185,8.048294572080673,,physics,1e-06,0.07959508928755293,0.049249752751447246,-0.030345336536105688,0.29411764705882354,
vit_large,dense,mag_r_desi,17,1.8946345049016653,12.776973808225351,14,16,9.75205036332083,1024,5.561994734231539,0.12824757399282286,0.06516849201636636,13.781523981989107,,physics,1000.0,0.07988350665004465,0.04719938162246799,-0.03268412502757667,0.29411764705882354,
vit_large,dense,smooth_fraction,17,2.2460192790048863,13.245031548602892,15,17,10.449102497708598,1024,5.561994734231539,0.2737397562560715,0.09650755307061891,18.35978540456167,,physics,1000.0,0.03486560250637219,0.043478522292583664,0.008612919786211473,0.4117647058823529,
vit_large,sae,photo_z,17,3.9775582335674913,14.974162227183514,16,17,13.349342641527452,2048,13.487960004124606,0.42675971962774456,-0.11533473511516591,9.1029800078352,,physics,1e-06,0.06793208633623878,0.02390939491035749,-0.04402269142588128,0.29411764705882354,0.9249147937742805
