family,model,size_name,parameter_count,log10_params,K,n_small_patches,mse_global,mse_patch,mse_local,G,rel_mse_reduction,rel_mse_reduction_local,delta_local_vs_patch,mean_cos,median_cos,p_perm_G,p_perm_cos,null_G_mean,null_G_sd
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,16,0,0.5827473998069763,0.5830755829811096,0.5959578156471252,-0.0003281831741333008,-0.0005631654027834445,-0.02266919739929276,-0.012882232666015625,0.0016600354243256053,0.0028977568047352156,0.14427860696517414,0.3283582089552239,-0.0004958763718605041,0.00016134131485653452
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,32,0,0.5827473998069763,0.5830057263374329,0.6159952282905579,-0.00025832653045654297,-0.0004432907474870048,-0.057053585300585186,-0.032989501953125,0.008333863636088278,0.012456922016920282,0.009950248756218905,0.04975124378109453,-0.0010109424591064453,0.0002894706797495048
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,4,0,0.13727813959121704,0.1372727006673813,0.1375989317893982,5.4389238357543945e-06,3.961973735913284e-05,-0.002336804673609347,-0.00032623112201690674,0.006160810114062936,0.007172807076397369,0.014925373134328358,0.0945273631840796,-3.079362213611603e-05,1.739421047557171e-05
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,8,0,0.13727813959121704,0.13725358247756958,0.13834123313426971,2.4557113647460938e-05,0.0001788858278571258,-0.007744084718938669,-0.0010876506567001343,0.01594512589767626,0.014660950276509398,0.004975124378109453,0.004975124378109453,-6.392486393451691e-05,2.517330249352879e-05
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,16,0,0.13727813959121704,0.13733890652656555,0.1408907026052475,-6.076693534851074e-05,-0.0004426555861658732,-0.026315646648387314,-0.003551796078681946,0.006685241275876099,0.0031968867857158165,0.024875621890547265,0.03482587064676617,-0.00014289572834968566,4.2275243989167565e-05
dinov2,official_legacy_cross_dino_small,small,22000000,7.342422680822207,32,0,0.13727813959121704,0.13741250336170197,0.1472051590681076,-0.00013436377048492432,-0.0009787703336090433,-0.07231318479730976,-0.00979265570640564,0.008487168821453128,0.004869144876750511,0.004975124378109453,0.014925373134328358,-0.0003020083904266357,5.818887784960621e-05
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,4,0,0.05899922922253609,0.05900043994188309,0.05925346538424492,-1.210719347000122e-06,-2.0520934984310955e-05,-0.004309143781351648,-0.00025302544236183167,0.005963917094135955,0.012442212115244825,0.06965174129353234,0.10945273631840796,-1.1255349963903427e-05,7.177602735653088e-06
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,8,0,0.05899922922253609,0.05900311470031738,0.05963960662484169,-3.885477781295776e-06,-6.585641596503485e-05,-0.010853996073240163,-0.0006364919245243073,0.007175688708762722,0.010986541301126291,0.024875621890547265,0.04477611940298507,-2.825755625963211e-05,1.208463761129701e-05
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,16,0,0.05899922922253609,0.05903033912181854,0.06061084195971489,-3.1109899282455444e-05,-0.0005272933170891716,-0.027315826976315998,-0.001580502837896347,0.004951139521936338,0.008037032556133587,0.06467661691542288,0.13432835820895522,-5.679488182067871e-05,1.7467289657260516e-05
dinov2,official_legacy_cross_dino_base,base,86000000,7.9344984512435675,32,0,0.05899922922253609,0.05909513682126999,0.0628352239727974,-9.590759873390198e-05,-0.0016255737574494941,-0.06501770956689146,-0.003740087151527405,0.0006538515318973177,0.002585428485068441,0.14427860696517414,0.40298507462686567,-0.0001217225007712841,2.6084890392743886e-05
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,4,0,0.03710823133587837,0.0371081717312336,0.03721869736909866,5.960464477539063e-08,1.6062378245918022e-06,-0.0029768606382887947,-0.00011052563786506653,0.0006084848833057502,0.0030468122242861516,0.06467661691542288,0.4427860696517413,-6.851069629192352e-06,4.620152750640942e-06
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,8,0,0.03710823133587837,0.03711787611246109,0.037443917244672775,-9.644776582717896e-06,-0.000259909357991761,-0.009046130648372957,-0.0003260411322116852,-0.0020246610936302924,-0.0029089700305832333,0.13930348258706468,0.681592039800995,-1.623520627617836e-05,5.4707270368001245e-06
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,16,0,0.03710823133587837,0.0371406227350235,0.038069937378168106,-3.239139914512634e-05,-0.0008728898678016075,-0.02591624574033258,-0.0009293146431446075,-0.004657313746349584,-0.011368092563750102,0.5124378109452736,0.9303482587064676,-3.3589731901884076e-05,9.778713049770674e-06
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,32,0,0.03710823133587837,0.03714101389050484,0.03947046399116516,-3.2782554626464844e-05,-0.0008834308035254912,-0.06365791551490212,-0.002329450100660324,0.00480453376061322,0.0022683711494047437,0.004975124378109453,0.11442786069651742,-7.326813414692879e-05,1.5711689088211343e-05
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,4,0,0.07475139945745468,0.07475455105304718,0.07509329915046692,-3.1515955924987793e-06,-4.216102461456302e-05,-0.004573823306235655,-0.00033874809741973877,0.0026305741489245364,0.0044591772839282385,0.2537313432835821,0.38308457711442784,-1.0242573916912078e-05,1.05241525595157e-05
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,8,0,0.07475139945745468,0.07477988302707672,0.07532048970460892,-2.8483569622039795e-05,-0.0003810439647788993,-0.007613104922244805,-0.000540606677532196,-0.010452657943920515,-0.006088212379475943,0.5572139303482587,1.0,-2.6931054890155792e-05,1.7358350305643243e-05
