dataset_id,label,cutoff,cutoff_source,n_ranks_kept,peak_d,peak_controlled,smooth_fraction_d43_kept,desi_mag_d36_kept,R_H,m_d,df_ratio,dS,fail_frozen,weak_0.4,weak_0.5,weak_0.6
physics_vit_base,photo_z,overlay,per_rank,,12,-0.1883325051817521,,,0.5264760741959892,78.0,0.076171875,0.004641362080201361,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,13,-0.1178888702398145,,,0.5358096958690266,91.0,0.0888671875,0.004673105462825333,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,14,-0.0318650393764516,,,0.5286536068791441,105.0,0.1025390625,0.004726898298804372,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,15,-0.0176153037989491,,,0.5271277276999978,120.0,0.1171875,0.004694744267635543,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,16,0.045725024042932,,,0.5140178048328532,136.0,0.1328125,0.004643543944484917,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,17,0.1112461879043872,,,0.5143718269929936,153.0,0.1494140625,0.0045467008094419725,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,18,0.0932377055977518,,,0.5094080609850065,171.0,0.1669921875,0.004467049549157309,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,19,0.1355637699936688,,,0.5145532265039472,190.0,0.185546875,0.004410371031826798,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,20,0.1415762168134009,,,0.5155509716501046,210.0,0.205078125,0.004367288155958705,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,21,0.1741002392904742,,,0.5143797619804373,231.0,0.2255859375,0.004240529654983523,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,22,0.1851095692085944,,,0.5139056173204031,253.0,0.2470703125,0.004147209729277771,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,23,0.1879047190045197,,,0.5148168256578034,276.0,0.26953125,0.004086146411585409,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,24,0.1251814691298481,,,0.5097807936922768,300.0,0.29296875,0.0039848733965754946,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,25,0.1325993411495805,,,0.5073449508844395,325.0,0.3173828125,0.003880329966856759,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,26,0.0872888351677609,,,0.5033931103437779,351.0,0.3427734375,0.0038146632975895045,False,False,False,True
physics_vit_base,photo_z,overlay,per_rank,,27,0.0464281236296523,,,0.495979232566697,378.0,0.369140625,0.0037224880429675977,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,28,0.0544855188463638,,,0.4869018154576424,406.0,0.396484375,0.0036084362366182177,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,29,0.0675244282602912,,,0.4794397634975195,435.0,0.4248046875,0.0035226804412028896,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,30,0.0868680147514914,,,0.4736020115743098,465.0,0.4541015625,0.003452546229179158,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,31,0.0587662553771804,,,0.4697720722425091,496.0,0.484375,0.003385866303574403,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,32,0.1035871678741757,,,0.4644611115410671,528.0,0.515625,0.0032901027045681985,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,33,0.0955268978989716,,,0.4566088918614011,561.0,0.5478515625,0.003203057585778879,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,34,0.1013368953802409,,,0.4523712264215344,595.0,0.5810546875,0.0031029581176653664,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,35,0.1102804901861273,,,0.443780296262821,630.0,0.615234375,0.0030450396293796684,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,36,0.1146475800393576,,,0.4394984959305925,666.0,0.650390625,0.002963931651531008,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,37,0.0873559497218007,,,0.4335168339647235,703.0,0.6865234375,0.002868824205393139,False,False,True,True
