sample_id,A_B,A_B_A,A_B_B,gamma_fold_cosine,A_B_agree
1037,1.788949483429664,1.5765389243496013,1.6070871799012423,0.9336733039035334,0.9904045718462817
1042,1.3115610633771762,1.1671493138331248,1.1322461993672446,0.9347084894724657,0.9848207434234308
1043,2.548910527557234,2.3987802758507217,2.1006242453185777,0.9016951162394848,0.9337343354816517
1046,2.112320574598641,1.737458200669738,1.8345987418947276,0.9082092158164521,0.9728054331756397
1048,2.1321014269171092,1.7304888805489405,1.787687564386173,0.9319181211620482,0.9837419513397124
1054,2.374574215899521,2.017791569731408,1.978117691972532,0.9061249820890912,0.9900713767104015
1055,2.2969546882809353,1.849611576562038,2.0122408502876414,0.9155782031125228,0.957888273359459
1056,2.122743859946961,2.1475347637719047,1.547329509703208,0.8997089603581669,0.8375568871697178
1060,3.196006376512637,2.5765585801715094,2.788236307446586,0.941533518414976,0.9605431835309068
1069,1.3108932239877402,1.1358832663588352,1.2014706251494294,0.9048726346956637,0.9719394829217447
1083,1.6676579426082117,1.2559756136493208,1.4867856418636274,0.9393427547878446,0.9158475686681156
1090,2.694744765511763,2.132500084922097,2.3413773890425467,0.9336275834544172,0.9533117960122973
1094,2.1183185816777024,1.8236918794714534,1.9109240310018412,0.8953236106541234,0.9766422696144588
1098,2.730783591359256,2.2300189806959807,2.172535034995793,0.9340606905454731,0.9869430459012425
1106,3.426343987643101,2.5531192455640213,3.121054918971583,0.9255231016442713,0.8999086638973403
1108,1.8400762723675215,1.733743588515113,1.3709341031494737,0.8900247851246413,0.8831410144957375
1109,2.939185399223424,2.463927380847892,2.4050716775067533,0.9195715802584326,0.9879121555301702
1111,3.8924559057921244,3.3251274074238863,3.031574930690752,0.9554827148916998,0.9538200058585408
1112,1.3313338108026522,1.0507185087945543,1.2310935665265146,0.9317328290276943,0.9209509583708465
1124,3.786659096983508,2.819179767445383,3.4092103508121454,0.9254557592065781,0.9052675615746704
1128,1.3992143944429019,1.127121701748936,1.251704343985073,0.9307908256163315,0.9476285193448452
1130,2.7707397484885403,2.4577009341647478,2.2241865487593366,0.9317338782934765,0.9501238792565837
1131,2.924974686776764,2.3267249096398843,2.6443559889397483,0.9498862339465376,0.9361042224457422
1132,2.7489075324392704,2.4687208388649244,2.258957063659171,0.9084950232055928,0.9556306966060947
1133,2.3305780744189057,1.898414391046696,2.1731993230423416,0.9100316298569864,0.9325120329944845
1138,2.868711795594904,2.706793486098575,2.1493449684751815,0.9045826802069836,0.8852074497385138
1141,2.2559228298675436,1.9367899248593614,1.9461976185960352,0.9216857289333115,0.9975772021848152
1144,1.7059422279888778,1.5612891753845717,1.5271329714257795,0.8887265225619018,0.9889405650085537
1152,2.9763888076672744,2.743999052262553,2.291566184333662,0.9306165576260406,0.9101525158207041
1167,1.7541985296686537,1.533640919055993,1.4170371733871443,0.905884077475734,0.9604823901436494
1172,2.307092445490394,1.995673826208498,2.0641827066392318,0.9124413574343968,0.9831252952225189
1173,1.8054730664022414,1.656191792059691,1.423058326070653,0.8906161570783255,0.9242888829925282
1174,2.249644510885371,1.740736226425063,1.9861620857000282,0.9154127682896659,0.9341474226767882
1180,2.133678444959327,2.0674721308447244,1.529999564713419,0.9317865712816491,0.8505971383194115
1181,1.2427092528561243,1.007981606422749,1.1712934753674205,0.916184625920734,0.9250613792130736
1183,3.00681024838128,2.7212229058429545,2.3232507391646147,0.9374601349900216,0.9211072958876084
1185,1.3031715385384834,1.0860280308982089,1.0889578386073722,0.9238828078428178,0.9986529532213332
1193,2.178035314738091,1.8420874004904086,1.9646726808822415,0.923411653724286,0.9677980020354656
1200,1.9864284636431717,1.7819362489210164,1.7985810360955803,0.9049799610492327,0.9953512898138441
1205,1.5150968873694193,1.3131121973245852,1.2577746226818958,0.8908417576792667,0.978475297235158
1206,2.955502027709341,2.3776792011971586,2.5269486199770546,0.9311989387825594,0.9695655971824261
1208,2.147177103685188,1.5831861307908957,2.0696173302284544,0.9246073672545129,0.8668334596622903
1215,1.8750030670738738,1.768394270145394,1.5328825644424073,0.9019165061232063,0.9286604191337402
1220,2.6169506870885204,2.3768108393180922,1.9686735181696813,0.8930330340749912,0.9060778298637429
1225,2.9416249931978484,2.315528624229703,2.5030279281062984,0.9554575223525741,0.9610880765141799
1235,3.0941596761136725,2.7328336249306933,2.475330567551959,0.930496951491436,0.9505578073459342
1237,2.1941686917772416,1.9470230389592895,1.881263339512167,0.905588637469655,0.9828226801900387
1243,2.0468837503900223,1.6193324148515664,1.9420939342058918,0.916629182016944,0.9093729624818031
1246,2.9302132941981696,2.202636343064119,2.50496692283056,0.9360480015773249,0.9357782373130835
1248,1.7583448050221515,1.457634980580062,1.441264054848089,0.890226709029168,0.9943527092417156
1256,2.709753202537368,2.3535950133931216,2.205830100814324,0.8862759968657121,0.9675913281000377
1257,2.8067331558403943,2.273129560506866,2.4641945050462812,0.9304696423056831,0.9596681709134658
1260,3.025820713332528,2.706202821902351,2.420811703893661,0.9331556952856634,0.9443358085738249
1268,2.7516833418074027,2.476231598786821,2.076763351193485,0.9401775203825584,0.9122625322492256
1269,4.557565700662326,3.8939390853368487,3.685276006177836,0.9467662308779574,0.9724690384638085
1279,2.3199337835410128,2.0091199018098025,1.772601453905951,0.9389535008204335,0.9374574629761196
1300,2.970918565403634,2.3909347095759914,2.6738908047224244,0.9407193375301073,0.9441331010618974
1307,2.286983058181915,2.126840024072092,1.9162917664880277,0.9193640982165586,0.9479244633885913
1308,1.9827303990988805,1.6431827634833571,1.6953311108893905,0.9319650427097066,0.9843797721476203
1309,2.4788311652531787,2.1745719607006735,2.100098424269128,0.9439332499145401,0.9825779464322202
1311,1.6515709017042206,1.4161067513684995,1.3878328754087181,0.899453906822786,0.9899163749141494
1314,2.9020991433231567,2.4159766568897028,2.452454929407527,0.9366959681789686,0.9925071818569873
1316,2.2753029066953907,1.7044092345281359,1.9649330592741487,0.9200037295339523,0.9289998577712274
1322,3.6232726578432084,2.7341752944454543,3.2010844198683968,0.9488896670416452,0.9213329916638838
1323,1.5881782214853926,1.5394381376555413,1.2402310127698049,0.8985812733888969,0.8923587273543142
1336,2.78935353858349,2.6069819501398057,2.157412874285374,0.9390910861524278,0.9056398362390817
1339,2.9871276001626765,2.2639358471480575,2.71453026128526,0.9499717642841344,0.9094913163365893
1344,2.3507343550734436,1.9299281766860714,2.0660821116919346,0.8895516218164734,0.9659275314175608
1345,2.4062738707903373,1.9134527567847452,2.1108514248711434,0.9307666047638556,0.9509483728923358
1346,2.428831263875673,2.2741813564255913,1.8557697844934518,0.9223994389535786,0.8986884934820246
1347,2.281002010989181,2.1674067183939933,1.6834855727286056,0.9359049341172481,0.8743353204708001
1351,2.1061101660956543,1.960216125981934,1.655391919757037,0.9245018716510212,0.9156921318990494
1356,2.2064116496877566,1.8923226023192043,1.8679301604422762,0.9301393334694092,0.9935130845142935
1361,2.837442974982871,2.3546648314022733,2.357738143682557,0.9315009178997411,0.9993478248153792
1368,2.11601982791581,1.8653626126321443,1.5160362372831107,0.9411409223350167,0.8966917566208469
1373,3.009179218184771,2.7395577786637215,2.3461321145746585,0.9094579062277552,0.9226406500694945
1379,1.3862487209433407,1.2057454782806067,1.2193495607261953,0.8929681396956124,0.9943902889467128
1397,2.076562571770268,1.7636529300125705,1.7883586871609307,0.9011663168274815,0.9930445731007997
1403,3.0493882184160386,2.982899326646126,2.1467036941975004,0.928326450951293,0.8369862874279299
1409,2.039670524048776,1.7879812966243902,1.6711995558580184,0.8862184607398629,0.9662400592086517
1419,1.1903378001207023,0.9893829658987042,1.0278599606605112,0.9334812088640362,0.9809259488506737
1429,2.470409979968148,1.8054143434418877,2.4261186187316053,0.9143520727063112,0.8533145597970486
1430,2.747998733277724,2.213613733270287,2.396018920747858,0.9292941956726037,0.9604295610587167
1432,1.9122574352736668,1.858008332207605,1.594169884927726,0.9180944217348675,0.9235733410371796
1434,1.4228544746192515,1.3243427928911506,1.182466042864932,0.8764838180910941,0.9434034426548418
1436,2.83108477358326,2.074996720670987,2.591180326793068,0.944449859395916,0.8893776209364765
1446,2.210791843998558,1.9140556184180229,1.9985794636205443,0.893397086433154,0.9783972071429461
1452,2.4452809171698897,2.414697399267677,1.7647019596290836,0.9250893223459058,0.8444763508289925
1461,2.7566224471946668,2.215691368083048,2.3919836018315346,0.9558031463438537,0.9617394380246933
1469,1.4047893849506239,1.207418577022441,1.1224245050905748,0.9100784306315292,0.9635194006908044
1474,2.1915668954416616,1.8075593053055627,1.8732200489864876,0.92809671268212,0.9821611845316509
1480,2.966381134693378,2.292559562743967,2.657859402738268,0.9292126669601313,0.9262082982185094
1481,2.149395532274786,1.7651557796904829,1.878834572917634,0.9073510806105767,0.9688037611993711
1483,1.70370761280089,1.5804356937127895,1.434615591619676,0.9101236231627501,0.9516359463593554
1493,3.05769114050031,2.752168026172267,2.332049405343824,0.9334865389381573,0.9173680853568126
1507,2.2120366496250354,1.9995448357731218,1.721233618670303,0.9386370398256787,0.9252008093170787
1508,2.0602862770024144,1.7522913248687746,1.654571947031798,0.9345553045775314,0.971316906480235
1519,2.793869663154219,2.4136018957345406,2.2615413837109055,0.9456243118338812,0.9674746841038694
1521,2.1181832711183413,1.7926449485818077,1.8286088151139333,0.9117035526812675,0.9900686698919929
1524,3.055325326481436,2.469266553826629,2.590635163537012,0.899497354786422,0.9760136428551779
1534,2.735937010616678,2.392296331636529,2.1492684074316433,0.9148331931696075,0.9464880634389571
1537,2.6048717477265804,2.2161083647843522,2.205583281143005,0.9504379240132583,0.9976196703695878
1541,2.4155783814799143,2.367433300182166,1.8144962153919735,0.9221145547598077,0.8677794346530779
1542,2.5584821975772507,2.162832233716921,2.0855955282798604,0.928534083721859,0.9818199320398098
