sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,mse_L,mse_UQ,mse_BS,mse_FQ,mse_FQ_minus_BS,mse_G,mse_P,delta_Q,delta_BS,delta_FQ,delta_normal,dMSE_G_to_P,mae_L,mae_UQ,r2_L,r2_UQ,A_B,A_B_A,A_B_B,gamma_fold_cosine,n_eval
566,0.012758452157570413,-0.8851187690726224,0.40319188242208426,2048.0,0.18269196992702513,0.16276076193517924,0.16536225043008648,0.16535403658262504,0.1826316037427385,0.2645546366779432,0.3746170935986476,0.01993120799184589,0.01732971949693865,0.01733793334440009,0.01727756716011347,-0.11006245692070438,0.3254881191881507,0.30396801023600084,0.5468857933608575,0.5963193481043549,2.8300640156386736,2.5867172682524577,2.2454523508345434,0.9202951905001396,2048
567,0.02165092728076466,-0.7618638822613937,0.4351223341076304,2048.0,0.18642915119216424,0.15646936684407392,0.1601356421932056,0.16008395335017028,0.18612558251630468,0.26800660639543006,0.3941714223441834,0.029959784348090324,0.02629350899895863,0.02634519784199396,0.026041629166134395,-0.12616481594875334,0.32820329473303234,0.29780364638839857,0.5715477313420327,0.6404014352309249,2.757594422876056,2.288315714348151,2.382509531690204,0.9417437625657561,2048
585,0.025814401213922276,-0.6260839268516764,0.40395498760151416,2048.0,0.1629369105800528,0.1356711883458747,0.14139766889644229,0.14136719822485483,0.16237719662286376,0.25011950771001734,0.3660002307728163,0.027265722234178114,0.021539241683610516,0.021569712355197973,0.021009998398008933,-0.11588072306279895,0.31173774545572336,0.28292797935668845,0.5966458749587622,0.6641428067235327,3.3455027841239495,3.260787063026529,2.380651642697908,0.9418896017334216,2048
586,0.0213781090630975,-0.710089038696478,0.4089898396722099,2048.0,0.19389742286711975,0.1807399436021731,0.1772854587899818,0.1772828259151248,0.19366180728421684,0.2680083680348124,0.37882997909234595,0.013157479264946648,0.016611964077137942,0.016614596951994964,0.01637898136909205,-0.11082161105753352,0.33659326395522965,0.32239477145582296,0.5259113942230905,0.5580820693564676,2.86268447150358,2.4143546006851473,2.369046731395107,0.9104572779915462,2048
606,0.023760332967180837,-0.533918972203337,0.7978358711870138,2048.0,0.3091411845572744,0.27546554640535403,0.2805464694987456,0.2805085172276839,0.30848707884605936,0.5428893379924213,0.7008598558646641,0.03367563815192037,0.028594715058528786,0.028632667329590522,0.027978561618375475,-0.1579705178722428,0.41519399293427384,0.3890392826464856,0.6125253379528591,0.6547340670512614,2.0218777200821574,1.8226931445911052,1.5813818622065852,0.9286103938967246,2048
607,0.02974921327666367,0.03161134860510739,0.4249936497240091,2048.0,0.29559723171791796,0.2631601363935191,0.27442575301749694,0.2744256420654134,0.29284480755205566,0.3123124830058006,0.3848032795463882,0.03243709532439887,0.02117147870042102,0.02117158965250454,0.01841916548664224,-0.0724907965405876,0.3865120871835094,0.36243323225938817,0.304466709302883,0.3807904269524608,1.090431552884337,1.038935393825784,0.8878689837461224,0.9211314129853959,2048
627,0.03382491339257854,-0.1858372271696832,0.3899527152645923,2048.0,0.26545133197685117,0.2544022532273705,0.24936330794429132,0.24925359671137975,0.26503632350278084,0.29405370466564396,0.3643942763016816,0.01104907874948069,0.01608802403255985,0.016197735265471414,0.01578272679140108,-0.07034057163603763,0.390699430394358,0.3833926507139904,0.31927302571355076,0.3476074322119993,1.8053999412497175,1.636185818290251,1.394324240671926,0.8922963972783418,2048
634,0.014215337495740684,-0.8416569519179329,0.27987588510884465,2048.0,0.14181978228728948,0.12068792009020317,0.12588562757352031,0.12566013429113015,0.14174808992062599,0.195853024883609,0.26128509552655155,0.021131862197086307,0.01593415471376916,0.01615964799615932,0.01608795562949583,-0.06543207064294254,0.287135250903814,0.2628951300981737,0.4932761633531403,0.5687805684177927,3.3982615864530406,2.6260564935709985,3.136316798722595,0.9326038347698289,2048
637,0.028852078695715894,-0.6704614130930824,0.6073867683082702,2048.0,0.2936681904961242,0.2775482207379522,0.27271878041496544,0.27270156513792276,0.2932925751774357,0.42094167428351437,0.5611446056252571,0.01611996975817198,0.020949410081158748,0.02096662535820143,0.020591010039512914,-0.14020293134174278,0.40054511556575256,0.388105324611192,0.5165054528368039,0.5430453292372568,2.372800138978925,2.059562487176002,2.104020256817608,0.9006670770860946,2048
641,0.04734789101617117,-0.4864204961371857,0.2948741437566953,2048.0,0.1903651467179764,0.1714150451806964,0.17003752915128667,0.17000350271346043,0.1902347357659848,0.21650302419883705,0.27264697099581425,0.018950101537280023,0.020327617566689743,0.020361644004515983,0.02023123305252436,-0.05614394679697721,0.3339590845381225,0.3126949378206141,0.3544189928193592,0.4186840426330045,2.480423520598435,1.9123618989646052,2.205690145214282,0.9185571458792086,2048
656,0.032412286865892224,-0.3214017519553449,0.5192361021447143,2048.0,0.21189165432933382,0.19729263555903553,0.1979513311184049,0.19797403053225185,0.21121155515631307,0.32772478387922055,0.4649719734539812,0.014599018770298289,0.013940323210928918,0.013917623797081974,0.01323752462406122,-0.13724718957476068,0.34558672493614495,0.32547063627391026,0.5919165607820576,0.6200329007476277,1.9254182510807354,1.592837835544367,1.723296399172338,0.9169204657724035,2048
662,0.025654445450782916,-0.4955527911449762,0.44067732450840835,2048.0,0.20245540715233162,0.16338713972896213,0.17043736113827085,0.17038173812680774,0.20168420012953697,0.283197037417652,0.39720683619714164,0.039068267423369496,0.032018046014060775,0.03207366902552389,0.03130246200272924,-0.11400979877948964,0.3321594982684767,0.30191142358753975,0.5405812918144177,0.629236335427001,2.613675563869209,2.1588740901771133,2.200912753620279,0.9448311979298122,2048
666,0.0148182408990469,-0.7164319766558274,0.6442457372185839,2048.0,0.20004794865673758,0.1923276132132592,0.19019010753242882,0.19015433518932123,0.19983642091031056,0.4116650640971793,0.5477929826632728,0.007720335443478388,0.009857841124308764,0.009893613467416351,0.00968208572098933,-0.13612791856609352,0.32970185436648725,0.3212609781819812,0.6894850255115246,0.7014685513580589,2.2260734073959987,1.85987523115148,1.9766223188253422,0.8971349338464505,2048
670,0.018538185325941117,-0.6445505401751381,0.444796204066075,2048.0,0.20788629955400567,0.19000448455471491,0.1878390469369564,0.18784857985044634,0.20761737382954432,0.29010815479632246,0.4091348038127984,0.017881814999290757,0.02004725261704926,0.02003771970355933,0.019768793979097976,-0.11902664901647592,0.34808632205278023,0.3294541321458475,0.5326257336424483,0.5728279989401854,2.773685541659681,2.3366763127958996,2.272241073857526,0.9168308653363252,2048
672,0.021231214477582097,-0.4483463490763165,0.29036072813162284,2048.0,0.17900523624525286,0.16362477066226722,0.1627108549099532,0.16270215684565864,0.1784563199187726,0.20492250627484854,0.27413626492126797,0.015380465582985642,0.016294381335299646,0.016303079399594217,0.015754163073113947,-0.06921375864641943,0.3291655714135423,0.3127079541904689,0.3835074137019372,0.4364776128123814,2.497793873598033,1.940004903503739,2.1693693138613885,0.9120321523625053,2048
680,0.03969762997136762,-0.3148623546221038,0.6427049618973273,2048.0,0.4843704387446514,0.4678141776320163,0.4665268327591866,0.4661595314935221,0.4792582243514253,0.561598760976763,0.604944838392599,0.016556261112635084,0.017843605985464805,0.018210907251129338,0.013098692857903216,-0.04334607741583607,0.49478236995955543,0.48015124613962734,0.2463564660917772,0.2721167481716905,1.4862376323592974,1.4408560675358997,1.1306431300883732,0.8705524791834471,2048
683,0.014973084476159687,-0.8554974501491991,0.35212193921972845,2048.0,0.13478083409577513,0.11645252264293424,0.12073296672058359,0.12073021775594234,0.134675281404932,0.2158328907741347,0.31755850933677676,0.01832831145284089,0.014047867375191536,0.014050616339832789,0.013945063648989675,-0.10172561856264206,0.2841968572348721,0.2622915430314511,0.6172325007795945,0.6692835359790904,2.9276621741540185,2.5980667068769745,2.4089954534955718,0.9399474890360091,2048
690,0.03953735105687127,-0.42286322853736213,0.31818977492583406,2048.0,0.19411291056009117,0.17098531746914988,0.17555521945741648,0.17565612361734684,0.19330910128562856,0.22056175829491265,0.2949144686404284,0.023127593090941284,0.01855769110267469,0.01845678694274433,0.017652977668281722,-0.07435271034551577,0.33901731448633343,0.3181953071797779,0.3899461080880541,0.4626310116061889,2.238229155468907,1.909191881964297,1.7636075027092377,0.9192133823395461,2048
692,0.03634619366826612,-0.3430406162463552,0.5150765496610171,2048.0,0.2620653185910681,0.2505275167357906,0.24592014826068487,0.2459382550710852,0.26213946193086524,0.3567191907445735,0.47015117691584307,0.011537801855277474,0.016145170330383207,0.016127063519982887,0.01620120685978005,-0.1134319861712696,0.38791405361668463,0.37687071744245493,0.4912109301742841,0.5136110993585942,2.0601777594046022,1.5958197812803896,1.7874976801347158,0.9029317192624235,2048
