estimator,target,cell,rho_estimator,rho_random_mean,rho_density,rho_radius,rho_clean_reference,rho_after_density_radius
Q K_dir vs T2,K_dir_T2,F4_S1_N0,-0.2893315018315018,0.0037934981684981605,0.13150183150183148,0.19294871794871793,0.16616300366300366,-0.3068681318681319
Q K_H vs T3,K_H_T3,F4_S1_N0,0.2018315018315018,0.006610576923076925,0.10764652014652014,0.0320054945054945,0.4342490842490842,0.23969780219780215
Q K_H vs pointwise,K_H_pw,F4_S1_N0,0.24935897435897433,-0.013113553113553115,0.04624542124542124,-0.040018315018315015,0.46506410256410247,0.3098443223443223
Q K_H vs pointwise H_S2,H_S2_pw,F4_S1_N0,0.24935897435897433,-0.013113553113553115,0.04624542124542124,-0.040018315018315015,0.46506410256410247,0.3098443223443223
D-full,H_E_norm,F4_S2_N0,-0.07577838827838827,-0.011897893772893773,0.04624542124542124,-0.116025641025641,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S2_N0,-0.101929767832489,-0.01632084040663686,0.04624542124542124,-0.116025641025641,-0.03427419595949699,
D-residual,H_S_norm,F4_S2_N0,0.8152014652014651,0.028262362637362638,0.04624542124542124,-0.116025641025641,0.8193223443223443,
D-residual Scal,Scal,F4_S2_N0,0.8405677655677655,0.029792811355311345,-0.011217948717948716,-0.03434065934065934,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S2_N0,0.25155677655677655,0.008699633699633702,0.029487179487179487,-0.09867216117216115,0.5232142857142856,0.27985347985347986
Q K_dir vs T2,K_dir_T2,F4_S2_N0,0.17706043956043954,0.014356684981684981,0.15645604395604396,-0.26130952380952377,0.16616300366300366,0.1842032967032967
Q K_H vs T3,K_H_T3,F4_S2_N0,0.16488095238095238,-0.004402472527472523,0.13415750915750915,-0.22664835164835165,0.4342490842490842,0.18946886446886446
Q K_H vs pointwise,K_H_pw,F4_S2_N0,0.30173992673992667,0.018418040293040304,0.04624542124542124,-0.116025641025641,0.46506410256410247,0.3181776556776556
Q K_H vs pointwise H_S2,H_S2_pw,F4_S2_N0,0.30173992673992667,0.018418040293040304,0.04624542124542124,-0.116025641025641,0.46506410256410247,0.3181776556776556
D-full,H_E_norm,F4_S0_N1,-0.143040293040293,-0.0016151556776556769,0.04624542124542124,-0.3207417582417582,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S0_N1,-0.15062318963600407,0.003466304491782921,0.04624542124542124,-0.3207417582417582,-0.03427419595949699,
D-residual,H_S_norm,F4_S0_N1,0.8024725274725273,0.01217147435897436,0.04624542124542124,-0.3207417582417582,0.8193223443223443,
D-residual Scal,Scal,F4_S0_N1,0.8382783882783882,0.00248511904761905,-0.011217948717948716,-0.16607142857142856,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S0_N1,0.5189102564102563,0.010147664835164836,-0.03379120879120879,-0.38644688644688635,0.5232142857142856,0.5787087912087912
Q K_dir vs T2,K_dir_T2,F4_S0_N1,0.232051282051282,0.0007554945054945014,0.12445054945054944,-0.3132783882783882,0.16616300366300366,0.23956043956043951
Q K_H vs T3,K_H_T3,F4_S0_N1,0.39665750915750914,0.01617445054945055,0.11446886446886446,-0.22994505494505493,0.4342490842490842,0.4177197802197802
Q K_H vs pointwise,K_H_pw,F4_S0_N1,0.494551282051282,0.014511217948717948,0.04624542124542124,-0.3207417582417582,0.46506410256410247,0.5380494505494505
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N1,0.494551282051282,0.014511217948717948,0.04624542124542124,-0.3207417582417582,0.46506410256410247,0.5380494505494505
D-full,H_E_norm,F4_S0_N2,-0.05338827838827838,-0.007892628205128207,0.04624542124542124,-0.3255952380952381,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S0_N2,-0.01104815506730009,-0.008027393681810442,0.04624542124542124,-0.3255952380952381,-0.03427419595949699,
D-residual,H_S_norm,F4_S0_N2,0.7308150183150182,0.03504922161172161,0.04624542124542124,-0.3255952380952381,0.8193223443223443,
D-residual Scal,Scal,F4_S0_N2,0.7701465201465202,0.024393315018315022,-0.011217948717948716,-0.17413003663003662,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S0_N2,0.15274725274725273,-0.03751717032967032,-0.03434065934065934,-0.3956501831501831,0.5232142857142856,0.25608974358974357
