global_scale_factor,median_est_over_truth,log_slope,rel_abs_err_calibrated,rel_sq_err_calibrated,spearman_test_raw,spearman_test_calibrated,n_train,n_test,estimator,target,cell,scope,global_scale_factor_applied
0.005781682401531225,0.003659103806322851,0.22417990789174846,0.6907642298839844,0.47718980127687627,0.3647360703812316,0.3647360703812316,32,32,Q K_H vs T3,K_H_T3,F4_S2_N0,apply_clean_factor,0.015991461902212328
0.0032210316505720416,0.001538775481410967,0.4166634980242056,0.6058410296554289,0.36704531259685313,0.38599706744868034,0.38599706744868034,32,32,Q K_H vs pointwise,K_H_pw,F4_S2_N0,apply_clean_factor,0.006947273404217768
0.003221031650572042,0.0015387754814109658,0.41666349802420694,0.6058410296554286,0.3670453125968528,0.38599706744868034,0.38599706744868034,32,32,Q K_H vs pointwise H_S2,H_S2_pw,F4_S2_N0,apply_clean_factor,0.006947273404217767
1.000311426500084,0.9970250200275124,-0.4990580965803467,0.008136326185723627,6.625306126322768e-05,-0.25659824046920815,-0.25659824046920815,32,32,D-full,H_E_norm,F4_S0_N1,apply_clean_factor,1.005007781342296
1.1321864056567879,0.10916323535201065,-10.765608814193651,1.0,1.0,-0.30677673278433853,-0.30677673278433853,32,32,D-full residualized,H_S_from_HE,F4_S0_N1,apply_clean_factor,2.570617345138963
1.0022723417955945,1.00169616150209,0.8053930478843812,0.07572741124047594,0.005751018087167461,0.8984604105571847,0.8984604105571847,32,32,D-residual,H_S_norm,F4_S0_N1,apply_clean_factor,1.020424254827753
1.0001349073111974,1.000106227981537,0.7052146023584802,0.00039815479108335194,1.5937373590326363e-07,0.9204545454545453,0.9204545454545453,32,32,D-residual Scal,Scal,F4_S0_N1,apply_clean_factor,1.0000790113751137
0.020904219982582635,0.011386483610024107,0.2107488538684116,0.7703652657890299,0.5959691446402344,0.44061583577712604,0.44061583577712604,32,32,Q K_H vs T2,K_H_T2,F4_S0_N1,apply_clean_factor,0.021143094257287227
0.4894618275825229,0.42470008485192345,0.1610804852980079,0.3943471579330683,0.15551131884791458,0.0909090909090909,0.0909090909090909,32,32,Q K_dir vs T2,K_dir_T2,F4_S0_N1,apply_clean_factor,0.6434630059223523
0.014913295098710512,0.0065958385403177755,0.2618061599347412,0.6641286081942979,0.4412655391513255,0.37719941348973607,0.37719941348973607,32,32,Q K_H vs T3,K_H_T3,F4_S0_N1,apply_clean_factor,0.015991461902212328
