estimator,target,cell,fixture,sampling,noise,condition,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate,spearman,kendall_tau,pairwise_acc,rank_rmse,pearson,rank_band,pair_band,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
Q K_H vs T3,K_H_T3,F4_S0_N1,F4,S0,N1,low normal noise,64,0.001345415580235493,0.0015613708592199995,0.0010543502972856452,0.0008964383635147697,1.1605119496135128,0.8502282068610048,1e-06,False,False,0.39665750915750914,0.2728174603174603,0.6364087301587301,20.292393895250505,0.5647278500018473,weak,weak,0.4375,0.4375,0.28,0.7578125,0.7578125,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N1,F4,S0,N1,low normal noise,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.494551282051282,0.34523809523809523,0.6726190476190477,18.573334380234478,0.5920760564874185,moderate,moderate,0.4375,0.4375,0.28,0.828125,0.828125,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N1,F4,S0,N1,low normal noise,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.494551282051282,0.34523809523809523,0.6726190476190477,18.573334380234478,0.5920760564874186,moderate,moderate,0.4375,0.4375,0.28,0.828125,0.828125,0.25,0.5,16,16
D-full,H_E_norm,F4_S0_N2,F4,S0,N2,moderate normal noise,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,-0.05338827838827838,-0.031746031746031744,0.48412698412698413,26.81300990191142,-0.01699216695914203,degenerate_target,weak,0.3125,0.3125,0.18518518518518517,0.49609375,0.49609375,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,-0.01104815506730009,0.0,0.4479166666666667,26.03603272390016,-0.017951551722701627,weak,weak,0.3125,0.3125,0.18518518518518517,0.53515625,0.53515625,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.7308150183150182,0.5863095238095237,0.7931547619047619,13.554288989098616,0.5580777894261291,moderate,moderate,0.8125,0.8125,0.6842105263157895,0.93359375,0.93359375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N2,F4,S0,N2,moderate normal noise,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.7701465201465202,0.6438492063492063,0.8219246031746031,12.52497504987535,0.6712677150589648,strong,strong,0.8125,0.8125,0.6842105263157895,0.93359375,0.93359375,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.001217356146207648,0.0017272934238703676,0.0007576628903851764,0.0007165032726136051,1.4188891458201494,0.9456755514364412,1e-06,False,False,0.15274725274725273,0.10714285714285714,0.5535714285714286,24.046829312822098,-0.03661957441176199,weak,weak,0.3125,0.3125,0.18518518518518517,0.58203125,0.58203125,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.00230843473154794,0.00242396079185487,0.0013548662073690054,0.0013819581231693605,1.0500451919554241,1.0199960074529932,1e-06,False,False,0.37715201465201464,0.27777777777777773,0.6388888888888888,20.617801774195037,0.3095503556714631,weak,weak,0.5,0.5,0.3333333333333333,0.75390625,0.75390625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.0013456045803063108,0.0015626253297917338,0.0010545928974122771,0.0008955786524415569,1.1612812199812368,0.8492174125104377,1e-06,False,False,0.21117216117216114,0.14781746031746032,0.5739087301587301,23.202909300344214,0.3195813494261759,weak,weak,0.3125,0.3125,0.18518518518518517,0.5703125,0.5703125,0.25,0.5,16,16
