estimator,target,cell,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate
D-residual Scal,Scal,F0_S3_N4,64,240.0,0.0,240.0,0.0,0.0,0.0,0.024,False,True
Q K_H vs T2,K_H_T2,F0_S3_N4,64,1.2203565324244226e-32,1.6051947844227223e-32,5.896721143639115e-33,1.248055218758043e-32,1.6051947844227223e-20,1.248055218758043e-20,1e-06,False,True
Q K_dir vs T2,K_dir_T2,F0_S3_N4,64,3.2026775201276307e-32,3.7922932276955625e-32,1.8183260246834133e-32,2.731595656692556e-32,3.7922932276955627e-20,2.731595656692556e-20,1e-06,False,True
Q K_H vs T3,K_H_T3,F0_S3_N4,64,2.1793147861462351e-32,1.5492133970109514e-32,1.6362097433617623e-32,1.998114556177881e-32,1.5492133970109513e-20,1.998114556177881e-20,1e-06,False,True
Q K_H vs pointwise,K_H_pw,F0_S3_N4,64,2.4533987160556183e-31,1.5876253152676367e-31,2.0425754298814737e-31,1.018022620489467e-31,1.5876253152676366e-19,1.0180226204894671e-19,1e-06,False,True
Q K_H vs pointwise H_S2,H_S2_pw,F0_S3_N4,64,2.453398716055618e-31,1.587625315267636e-31,2.0425754298814763e-31,1.0180226204894677e-31,1.5876253152676362e-19,1.0180226204894677e-19,1e-06,False,True
D-full,H_E_norm,F2_S3_N4,64,16.0,1.9638363766907457e-15,16.0,1.7763568394002505e-15,1.2273977354316394e-16,1.1102230246250873e-16,0.0016,True,True
D-full residualized,H_S_from_HE,F2_S3_N4,64,1.5805068191585264e-08,7.183239990667936e-08,0.0,0.0,4.544609009400645,0.0,1e-06,False,True
D-residual,H_S_norm,F2_S3_N4,64,7.587694221467885e-15,1.2920601595234628e-15,7.462975680770538e-15,1.6231293613272618e-15,0.0012823302298484282,0.0016111057185307165,1e-06,False,True
D-residual Scal,Scal,F2_S3_N4,64,224.0,0.0,224.0,0.0,0.0,0.0,0.0224,False,True
Q K_H vs T2,K_H_T2,F2_S3_N4,64,0.15122988494754977,0.6366351620552223,0.0034337162793289713,0.021922141037854722,4.209717955361887,6.384377522232106,1.5122988494754978e-05,False,False
Q K_dir vs T2,K_dir_T2,F2_S3_N4,64,0.25271309716391954,0.8987127397444606,0.024158666658177952,0.09552748306432995,3.5562570750259312,3.954170336136443,2.5271309716391957e-05,False,False
Q K_H vs T3,K_H_T3,F2_S3_N4,64,0.09131960245383292,0.6284245206642889,0.0010329268553154255,0.004837688560627714,6.881595011050453,4.68347640595224,9.131960245383292e-06,False,False
Q K_H vs pointwise,K_H_pw,F2_S3_N4,64,3.67354312596728e-31,2.3692620369312553e-31,3.078009505686059e-31,1.3310709817766917e-31,2.3692620369312556e-19,1.3310709817766917e-19,1e-06,False,True
Q K_H vs pointwise H_S2,H_S2_pw,F2_S3_N4,64,2.3131421240362352e-31,8.103614647785951e-32,2.1756334686069964e-31,9.430286173910309e-32,8.103614647785952e-20,9.43028617391031e-20,1e-06,False,True
