cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F0_S0_N0,F0,S0,N0,19,100230,8.481305369746788e-33,1.9095415825022523e-32,6.997820312696778e-32,9.319031930720795e-32,1.4511422950403542e-31,1.6034440219870645e-31,1024,86.9785906825381,0.9961449313853181,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,20,100214,4.999166175919583e-33,1.6548411541992123e-32,4.67737971041894e-32,6.4199196492115e-32,1.7235672162594385e-31,1.8468248540772762e-31,1024,116.258188488425,1.0630762218952943,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,21,100046,7.243812164606187e-33,1.7884251150651985e-32,2.4011083664058587e-32,4.587217729386569e-32,1.0695962297853694e-31,1.174968535058386e-31,1024,103.17917731580285,1.0225090684510443,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,22,100253,1.0874263179118269e-32,2.5336276804738966e-32,2.3147766489544526e-32,4.6071349295656585e-32,2.227643706725982e-31,2.4049471677800264e-31,1024,161.14633014034885,1.1775562506234087,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,23,100147,2.3413504058181227e-32,4.572025831335881e-32,7.941523258032657e-32,1.0311090933309015e-31,2.677879934757099e-31,2.93479974196401e-31,1024,271.0791170679504,1.380978456326429,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,24,100139,1.0192219243650101e-32,2.546008938685239e-32,3.455525476254701e-32,6.267629127286585e-32,1.7414006875584588e-31,1.8976851093716032e-31,1024,157.3047475597225,1.1929297106259558,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,25,100014,9.750101917144082e-33,2.977997457755001e-32,4.1994865734557324e-32,6.372962736129003e-32,3.1772467771823094e-31,3.3962871538513355e-31,1024,232.08222872189586,1.3540369980878633,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,26,100108,2.738296706415918e-32,5.435944861947859e-32,7.928788149176653e-32,1.2180708705877072e-31,1.0597639889918828e-31,1.2913792648987044e-31,1024,263.14238381260066,1.38919167189791,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,27,100084,1.7272633367642726e-32,3.822089911965885e-32,8.461723622603414e-32,1.0886306964221693e-31,1.9593901988834124e-31,2.1818091136192487e-31,1024,212.0289852069524,1.2976489139713085,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,28,100236,2.4087468985361481e-32,4.405032960408381e-32,6.676666608783572e-32,9.107823755921896e-32,7.549701776694162e-31,7.801925295664306e-31,1024,230.35522401252558,1.323498233350794,0.9998950659548889,0.0
