shape,intrinsic_dimension,snr_db,observed_support_dimension,method,mean,std,absolute_relative_error_percent
linear,5,20.0,256,danco_dimensionality,6.539377203776017,0.014516870076392688,30.78754407552036
linear,5,20.0,256,mind_mli_dimensionality,0.7251293093137505,0.05173502851383552,85.49741381372499
linear,5,20.0,256,mind_mlk_dimensionality,6.825177114626788,0.03958544191864312,36.50354229253576
linear,5,20.0,256,ess_dimensionality,0.372071871150931,0.0010395746949216193,92.55856257698139
linear,5,20.0,256,tle_dimensionality,7.377881567056494,0.05148341569804436,47.55763134112987
linear,5,20.0,256,isomap_dimensionality,5.0,0.0,0.0
linear,5,10.0,256,pca_explained_variance_95,99.6,0.5477225575051661,1891.9999999999998
linear,5,10.0,256,participation_ratio,6.021905450514447,0.0009402792981654125,20.43810901028895
linear,5,10.0,256,shannon_entropy,9.558911270987636,0.005192964136361748,91.1782254197527
linear,5,10.0,256,renyi_eff_dimensionality_alpha_2,6.021905450514444,0.0009402792981638417,20.438109010288883
linear,5,10.0,256,renyi_eff_dimensionality_alpha_3,5.747086686573711,0.0008038844499859888,14.941733731474226
linear,5,10.0,256,renyi_eff_dimensionality_alpha_4,5.657011431775766,0.0010158233747701783,13.140228635515317
linear,5,10.0,256,renyi_eff_dimensionality_alpha_5,5.611822016737414,0.001301936821573682,12.236440334748288
linear,5,10.0,256,geometric_mean_eff_dimensionality,9.863191319731566,0.009757073606029768,97.26382639463131
linear,5,10.0,256,mle_dimensionality,20.2878426068519,0.08239224924168774,305.756852137038
linear,5,10.0,256,two_nn_dimensionality,25.569437412485932,0.2825290860571135,411.3887482497186
linear,5,10.0,256,danco_dimensionality,6.029015502941521,0.026760410021642693,20.58031005883041
linear,5,10.0,256,mind_mli_dimensionality,1.1711394878153842,0.12969526074569934,76.57721024369232
linear,5,10.0,256,mind_mlk_dimensionality,18.629822962183397,0.07473954150265916,272.59645924366794
linear,5,10.0,256,ess_dimensionality,0.22603257019169426,0.00043805624888449085,95.47934859616612
linear,5,10.0,256,tle_dimensionality,20.2878426068519,0.08239224924168766,305.756852137038
linear,5,10.0,256,isomap_dimensionality,5.0,0.0,0.0
linear,10,,10,pca_explained_variance_95,10.0,0.0,0.0
linear,10,,10,participation_ratio,9.99033583420136,0.0019255332944198753,0.09664165798639601
linear,10,,10,shannon_entropy,9.995167592196822,0.0009675141023325967,0.048324078031780626
linear,10,,10,renyi_eff_dimensionality_alpha_2,9.990335834201378,0.0019255332944189683,0.09664165798621838
linear,10,,10,renyi_eff_dimensionality_alpha_3,9.98550720163912,0.0028737058382542393,0.14492798360880021
linear,10,,10,renyi_eff_dimensionality_alpha_4,9.980684155593632,0.003811709717647357,0.1931584440636791
linear,10,,10,renyi_eff_dimensionality_alpha_5,9.975869135132102,0.004739253240279359,0.24130864867897284
linear,10,,10,geometric_mean_eff_dimensionality,323985422867693.8,2161965956409.404,3239854228676838.5
linear,10,,10,mle_dimensionality,10.886146656375061,0.04161809502711808,8.86146656375062
linear,10,,10,two_nn_dimensionality,9.909429147946204,0.15400684904058207,0.9057085205379622
linear,10,,10,danco_dimensionality,7.224028509277216,0.015386305960347443,27.75971490722784
linear,10,,10,mind_mli_dimensionality,1.1648792571596989,0.06075113596162075,88.35120742840301
linear,10,,10,mind_mlk_dimensionality,10.022046997064324,0.039180533636354105,0.22046997064324447
linear,10,,10,ess_dimensionality,0.3527080924910765,0.0006274425643495125,96.47291907508924
linear,10,,10,tle_dimensionality,10.886146656375058,0.04161809502711625,8.861466563750575
linear,10,,10,isomap_dimensionality,10.0,0.0,0.0
linear,10,30.0,256,pca_explained_variance_95,10.0,0.0,0.0
linear,10,30.0,256,participation_ratio,10.007880563282033,0.0012021550214480318,0.07880563282032238
linear,10,30.0,256,shannon_entropy,10.101690098506733,0.0006605508956676817,1.016900985067326
linear,10,30.0,256,renyi_eff_dimensionality_alpha_2,10.007880563282034,0.001202155021450906,0.07880563282034458
linear,10,30.0,256,renyi_eff_dimensionality_alpha_3,9.997410185841117,0.0017965464211319834,0.025898141588831525
linear,10,30.0,256,renyi_eff_dimensionality_alpha_4,9.990138134723205,0.0023949779126284454,0.09861865276794557
linear,10,30.0,256,renyi_eff_dimensionality_alpha_5,9.983666291452202,0.0029957618255177583,0.16333708547797698
linear,10,30.0,256,geometric_mean_eff_dimensionality,682.2050997149765,0.5505559357089677,6722.050997149765
linear,10,30.0,256,mle_dimensionality,10.963852192830682,0.05897881531009942,9.638521928306831
linear,10,30.0,256,two_nn_dimensionality,9.898739386173984,0.19359971093622702,1.0126061382601526
linear,10,30.0,256,danco_dimensionality,7.255791388481259,0.04286367333666968,27.442086115187415
linear,10,30.0,256,mind_mli_dimensionality,1.1716921567966792,0.06190619943626073,88.28307843203321
linear,10,30.0,256,mind_mlk_dimensionality,10.098820277004418,0.053815299930839756,0.9882027700441665
linear,10,30.0,256,ess_dimensionality,0.34982261062155295,0.0010952594353936657,96.50177389378447
linear,10,30.0,256,tle_dimensionality,10.963852192830682,0.05897881531009891,9.638521928306831
linear,10,30.0,256,isomap_dimensionality,10.0,0.0,0.0
linear,10,20.0,256,pca_explained_variance_95,10.0,0.0,0.0
linear,10,20.0,256,participation_ratio,10.180844895376248,0.0016906541666133934,1.808448953762487
linear,10,20.0,256,shannon_entropy,10.870508221011287,0.000582424715529496,8.705082210112858
linear,10,20.0,256,renyi_eff_dimensionality_alpha_2,10.180844895376262,0.001690654166617848,1.8084489537626203
linear,10,20.0,256,renyi_eff_dimensionality_alpha_3,10.126429823314417,0.0026128459248873667,1.2642982331441788
linear,10,20.0,256,renyi_eff_dimensionality_alpha_4,10.104405879009406,0.003512211925722852,1.04405879009406
linear,10,20.0,256,renyi_eff_dimensionality_alpha_5,10.090479978906952,0.00440147536543757,0.9047997890695214
linear,10,20.0,256,geometric_mean_eff_dimensionality,75.28631371654838,0.06085405774607405,652.8631371654837
linear,10,20.0,256,mle_dimensionality,11.607434493216976,0.02990209894415133,16.074344932169772
linear,10,20.0,256,two_nn_dimensionality,10.990139220074699,0.10977353519895613,9.901392200746994
linear,10,20.0,256,danco_dimensionality,7.495420723087776,0.03505168988491793,25.045792769122244
linear,10,20.0,256,mind_mli_dimensionality,1.2191182858379954,0.09071642682062621,87.80881714162004
linear,10,20.0,256,mind_mlk_dimensionality,10.719813285733162,0.05392154189986926,7.198132857331618
linear,10,20.0,256,ess_dimensionality,0.3310921440331934,0.0013642701868316325,96.68907855966806
linear,10,20.0,256,tle_dimensionality,11.607434493216978,0.02990209894415025,16.074344932169772
linear,10,20.0,256,isomap_dimensionality,10.0,0.0,0.0
linear,10,10.0,256,pca_explained_variance_95,100.0,0.0,900.0
linear,10,10.0,256,participation_ratio,11.988474341567613,0.0036610621641486717,19.88474341567614
linear,10,10.0,256,shannon_entropy,17.76030010932437,0.012163708563751369,77.60300109324369
linear,10,10.0,256,renyi_eff_dimensionality_alpha_2,11.988474341567628,0.0036610621641453255,19.884743415676276
linear,10,10.0,256,renyi_eff_dimensionality_alpha_3,11.451929631185923,0.003953422932474586,14.51929631185922
linear,10,10.0,256,renyi_eff_dimensionality_alpha_4,11.273388824280318,0.004935588365901858,12.733888242803172
linear,10,10.0,256,renyi_eff_dimensionality_alpha_5,11.182442210197872,0.006057847285876813,11.824422101978715
linear,10,10.0,256,geometric_mean_eff_dimensionality,8.967489735707378,0.012702575715917009,10.32510264292622
linear,10,10.0,256,mle_dimensionality,17.969801202707007,0.054017555239181114,79.69801202707008
linear,10,10.0,256,two_nn_dimensionality,19.90233615206555,0.32562674824291565,99.02336152065551
linear,10,10.0,256,danco_dimensionality,7.119169839478194,0.015556981909245472,28.808301605218055
linear,10,10.0,256,mind_mli_dimensionality,1.7866686457266012,0.15305847660166072,82.13331354273399
linear,10,10.0,256,mind_mlk_dimensionality,16.65960331600366,0.03013757983882762,66.59603316003661
linear,10,10.0,256,ess_dimensionality,0.25364273732020026,0.00030089931593392456,97.463572626798
linear,10,10.0,256,tle_dimensionality,17.969801202707004,0.0540175552391816,79.69801202707004
linear,10,10.0,256,isomap_dimensionality,10.0,0.0,0.0
linear,20,,20,pca_explained_variance_95,19.0,0.0,5.000000000000004
linear,20,,20,participation_ratio,19.955198841735246,0.004133639185244043,0.22400579132376697
linear,20,,20,shannon_entropy,19.977560338373355,0.0020553185458958728,0.11219830813322673
linear,20,,20,renyi_eff_dimensionality_alpha_2,19.955198841735267,0.004133639185245994,0.22400579132366705
linear,20,,20,renyi_eff_dimensionality_alpha_3,19.93294211567362,0.006232773890187529,0.33528942163190134
linear,20,,20,renyi_eff_dimensionality_alpha_4,19.91081613073527,0.0083501305824686,0.44591934632365327
linear,20,,20,renyi_eff_dimensionality_alpha_5,19.88884602901219,0.010482747743958395,0.5557698549390588
linear,20,,20,geometric_mean_eff_dimensionality,81115619670903.2,677708880133.6997,405578098354416.0
linear,20,,20,mle_dimensionality,19.07026774924442,0.07705212139880593,4.648661253777908
linear,20,,20,two_nn_dimensionality,18.11980285100075,0.18668505419930193,9.400985744996259
linear,20,,20,danco_dimensionality,7.412503329519694,0.05317045539233905,62.93748335240152
linear,20,,20,mind_mli_dimensionality,1.978070741213142,0.18848994590986395,90.10964629393429
linear,20,,20,mind_mlk_dimensionality,17.626096991691433,0.08436894354817728,11.869515041542833
linear,20,,20,ess_dimensionality,0.2688089149026324,0.0009944919549464489,98.65595542548684
linear,20,,20,tle_dimensionality,19.070267749244415,0.07705212139880127,4.648661253777919
linear,20,,20,isomap_dimensionality,19.8,0.4472135954999579,1.0000000000000009
linear,20,30.0,256,pca_explained_variance_95,19.0,0.0,5.000000000000004
linear,20,30.0,256,participation_ratio,19.995475351399325,0.003512353019964511,0.022623243003372373
