dataset,method,scheme,full_value,iterations,mean,std,median,q025,q975,min,max,cv,median_ratio_to_full
jwst_dinov3_vitl16,mind_mlk_dimensionality,contiguous_region,11.464358991687806,12,8.70199883681258,0.9675149522089256,8.663076445287341,7.004484751143072,9.93810983983691,6.8524724266989026,9.98209371100603,0.11118307073496608,0.7556529284863179
jwst_dinov3_vitl16,ess_dimensionality,bootstrap_deduplicated,0.21130258908095906,100,0.20865268219090244,0.0010238843310098045,0.20867809901458106,0.2068233293669205,0.21048690604842318,0.20630412546012827,0.21164067550839263,0.004907122785380841,0.9875794703804011
jwst_dinov3_vitl16,ess_dimensionality,sparse_10pct,0.21130258908095906,25,0.20235020137433832,0.002651888313089547,0.20233814189288635,0.19801010895862867,0.20690341157212944,0.19718709219564162,0.20693722595658776,0.013105439456339749,0.9575753083430604
jwst_dinov3_vitl16,ess_dimensionality,contiguous_region,0.21130258908095906,12,0.2048607746549225,0.0038973191432264014,0.20545220892025243,0.19781370064730505,0.21023544814589623,0.197625937978768,0.210923706835837,0.019024233164163497,0.9723127852519351
jwst_dinov3_vitl16,tle_dimensionality,bootstrap_deduplicated,12.560142496170416,100,13.305103887867103,0.271553388594193,13.306514664819083,12.764585557241878,13.77227362022024,12.467867119308726,13.980737377082496,0.0204097157664302,1.0594238615426725
jwst_dinov3_vitl16,tle_dimensionality,sparse_10pct,12.560142496170416,25,11.776529538992763,0.5949273641557754,11.811579640936959,10.704269230073146,12.649341271556581,10.69390089635109,12.783614543752776,0.05051805476188353,0.9404017227143965
jwst_dinov3_vitl16,tle_dimensionality,contiguous_region,12.560142496170416,12,9.927268823588681,0.8315492906958772,10.203469829323879,8.78826151780427,10.841420814944803,8.737570861182139,10.846829681538978,0.08376415562757716,0.812368954606599
desi_dinov3_small_vitl16,pca_explained_variance_95,bootstrap_deduplicated,64.0,100,64.0,0.0,64.0,64.0,64.0,64.0,64.0,0.0,1.0
desi_dinov3_small_vitl16,pca_explained_variance_95,sparse_10pct,64.0,25,62.04,0.6757711644237764,62.0,61.0,63.0,61.0,63.0,0.010892507485876474,0.96875
desi_dinov3_small_vitl16,pca_explained_variance_95,contiguous_region,64.0,12,60.083333333333336,1.3789543689024493,60.0,58.0,62.45,58.0,63.0,0.02295069684719749,0.9375
desi_dinov3_small_vitl16,participation_ratio,bootstrap_deduplicated,8.659316464623574,100,8.654810335366873,0.0415180186918486,8.653230905630704,8.58137575027722,8.735297291741698,8.565544562688803,8.76698604383386,0.00479710323889942,0.9992972240917939
desi_dinov3_small_vitl16,participation_ratio,sparse_10pct,8.659316464623574,25,8.614040635135542,0.16000965421833496,8.602712723890823,8.342998014597024,8.885138672215536,8.316433681383229,8.973156684985149,0.018575446877470786,0.9934632553315268
desi_dinov3_small_vitl16,participation_ratio,contiguous_region,8.659316464623574,12,8.5452604724734,0.22928084948088345,8.495816548085198,8.227555872291935,8.90827725708523,8.216086634114543,8.92521370283562,0.02683134706302508,0.9811186117049386
desi_dinov3_small_vitl16,shannon_entropy,bootstrap_deduplicated,22.157322509851593,100,22.131209206826234,0.07917123992975161,22.121723579922453,21.99359321183493,22.294436075611983,21.953291167679556,22.346798857954532,0.0035773571696810736,0.9983933559700947
desi_dinov3_small_vitl16,shannon_entropy,sparse_10pct,22.157322509851593,25,21.822730453314012,0.30940186219163723,21.867876095145355,21.351158336437148,22.389368205999236,21.278199968884948,22.677854604006697,0.014177962874698444,0.9869367603158034
desi_dinov3_small_vitl16,shannon_entropy,contiguous_region,22.157322509851593,12,21.424832172402763,0.5421210316129844,21.237567566515317,20.71016338465532,22.30020455004621,20.704795193597576,22.345224660777575,0.0253033968831405,0.9584897975408656
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_2,bootstrap_deduplicated,8.659316464623613,100,8.654810335366873,0.041518018691845154,8.653230905630718,8.58137575027725,8.735297291741688,8.565544562688816,8.76698604383391,0.004797103238899022,0.999297224091791
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_2,sparse_10pct,8.659316464623613,25,8.614040635135538,0.1600096542183324,8.602712723890846,8.342998014597018,8.885138672215517,8.316433681383216,8.973156684985119,0.018575446877470498,0.9934632553315249
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_2,contiguous_region,8.659316464623613,12,8.545260472473403,0.22928084948088384,8.495816548085191,8.22755587229196,8.908277257085246,8.216086634114584,8.92521370283564,0.02683134706302511,0.9811186117049334
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_3,bootstrap_deduplicated,6.405041841171609,100,6.4022773729778955,0.034472316524592206,6.399944641973776,6.340772693328248,6.466499140397317,6.326840326708405,6.491273130353862,0.005384383480492361,0.9992041895550052
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_3,sparse_10pct,6.405041841171609,25,6.372108240061782,0.13058722442796641,6.362145404000067,6.133043059214348,6.580024928770648,6.121656279532265,6.61806525189636,0.020493566572984057,0.9933027077363019
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_3,contiguous_region,6.405041841171609,12,6.349547770108487,0.18646886289456452,6.322784588910006,6.082474114951348,6.6921118792558545,6.054454649022662,6.751196966775116,0.029367266716599342,0.9871574215592389
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_4,bootstrap_deduplicated,5.505023499271919,100,5.50297042871161,0.03063219634534432,5.501271163442112,5.448044487996731,5.558600941962084,5.4358437152487005,5.580139057300692,0.0055664839094031115,0.999318379688969
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_4,sparse_10pct,5.505023499271919,25,5.477053223888862,0.1145615836730104,5.4640578522858085,5.260768612703338,5.655068982852514,5.2590110039803575,5.674734609884644,0.020916646048523967,0.9925584973449199
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_4,contiguous_region,5.505023499271919,12,5.470750820103315,0.17189148965071657,5.443341605460251,5.233276249669769,5.798157961198365,5.201094666115679,5.872211928021024,0.03142009119096936,0.9887953441397977
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_5,bootstrap_deduplicated,5.027242462546235,100,5.025557241476367,0.027904859203359233,5.024368397108843,4.975400020689213,5.075728856061638,4.964431466155456,5.095036629294403,0.005552590063656617,0.9994283018058499
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_5,sparse_10pct,5.027242462546235,25,5.0024268868796105,0.10357416947094629,4.988848908697259,4.80560831217691,5.1619545168124805,4.803085998603486,5.173720369595246,0.020704784260335944,0.992362899912822
desi_dinov3_small_vitl16,renyi_eff_dimensionality_alpha_5,contiguous_region,5.027242462546235,12,5.002923353211824,0.16161061999903611,4.978700788676445,4.78330880546781,5.313844343394773,4.753472217829423,5.391800743574705,0.03230323724533653,0.9903442743747822
desi_dinov3_small_vitl16,geometric_mean_eff_dimensionality,bootstrap_deduplicated,57.33387800952699,100,58.20845779962451,0.19505470193855445,58.2303707952418,57.81011539260007,58.51800005494501,57.74543526428404,58.67219202223701,0.003350968386931095,1.0156363535284643
desi_dinov3_small_vitl16,geometric_mean_eff_dimensionality,sparse_10pct,57.33387800952699,25,73.65894217304941,0.9166660069129892,73.50732096184402,72.2128754675149,75.2667663550513,71.71429976777924,75.2989473777443,0.012444734880382006,1.2820922552915317
desi_dinov3_small_vitl16,geometric_mean_eff_dimensionality,contiguous_region,57.33387800952699,12,80.91936069077965,2.2821054235239377,80.78689488043747,77.00548074262319,83.92587171988667,76.1900191636046,84.04309764356037,0.028202217665122657,1.4090603616070305
desi_dinov3_small_vitl16,mle_dimensionality,bootstrap_deduplicated,18.172369757363835,100,17.37649997498763,0.059929354844757705,17.3728637587553,17.278708029661605,17.497233192783437,17.230037018448694,17.558910380900123,0.003448873762323955,0.9560043071276074
desi_dinov3_small_vitl16,mle_dimensionality,sparse_10pct,18.172369757363835,25,14.283938642526795,0.1359318032713706,14.317837811521972,14.031621916182146,14.488256555170569,14.019674368685553,14.506874352718553,0.009516409071281519,0.7878905174554945
desi_dinov3_small_vitl16,mle_dimensionality,contiguous_region,18.172369757363835,12,13.705397621912859,0.43030494901337774,13.55545207081477,13.159539917374952,14.388453709986155,13.118951384220717,14.414225831377294,0.031396750454389236,0.7459375002713561
desi_dinov3_small_vitl16,two_nn_dimensionality,bootstrap_deduplicated,16.782494117247932,100,15.525630715543638,0.8586286692517695,15.934759278938582,14.054088147794001,16.56866318816757,14.014530793633266,16.659925833778978,0.05530394770965053,0.9494869575173511
desi_dinov3_small_vitl16,two_nn_dimensionality,sparse_10pct,16.782494117247932,25,13.48301785135125,1.1029365930650077,13.684282179923118,10.993666251289785,14.37030184318006,8.923904756384738,14.371944385309115,0.08180190853596422,0.8153902563182979
desi_dinov3_small_vitl16,two_nn_dimensionality,contiguous_region,16.782494117247932,12,12.914710050243727,0.5155500182528188,12.896845952937193,12.125627295587618,13.680470092113342,12.107125493412873,13.706038158876314,0.03991959681999127,0.7684701608018245
desi_dinov3_small_vitl16,danco_dimensionality,bootstrap_deduplicated,5.590504274799756,100,5.528895233018674,0.01265179738348016,5.5282764595053875,5.509383449015192,5.5529353065964315,5.503656879254415,5.570745695812085,0.00228830477885046,0.9888690157031321
desi_dinov3_small_vitl16,danco_dimensionality,sparse_10pct,5.590504274799756,25,5.20531303418172,0.05564223382019232,5.2055030549654004,5.123646748217174,5.304152318990421,5.122374179495569,5.309593780320147,0.01068950771160285,0.9311330068076648
desi_dinov3_small_vitl16,danco_dimensionality,contiguous_region,5.590504274799756,12,5.115796650804399,0.10660311970731448,5.124472430435883,4.960351151852867,5.265711337943957,4.959327131790499,5.270156533148275,0.020838029144601044,0.9166386748929611
desi_dinov3_small_vitl16,mind_mli_dimensionality,bootstrap_deduplicated,0.7892767644188788,100,0.8301563066946669,0.05921603404748452,0.8065418227224949,0.7941962108871458,1.0154098857128238,0.7935193806078494,1.1395359128818254,0.07133118615126571,1.0218745300532541
desi_dinov3_small_vitl16,mind_mli_dimensionality,sparse_10pct,0.7892767644188788,25,0.9618732487384497,0.09594280000148193,0.942870197038324,0.8074055205680338,1.1220995384438954,0.7404159962055656,1.1269697957889842,0.09974578264580729,1.1946002207888782
desi_dinov3_small_vitl16,mind_mli_dimensionality,contiguous_region,0.7892767644188788,12,1.0102760606013959,0.12019543421763491,1.0101153370390097,0.853448617955801,1.1677175443210817,0.8453666402877267,1.172504450015339,0.11897286187904435,1.279798649315019
desi_dinov3_small_vitl16,mind_mlk_dimensionality,bootstrap_deduplicated,16.53914423181552,100,15.81433323056589,0.06470262679576715,15.813897856624251,15.68165378776669,15.937500504718978,15.662892848045885,15.956400405430392,0.004091391388586029,0.9561497036953007
desi_dinov3_small_vitl16,mind_mlk_dimensionality,sparse_10pct,16.53914423181552,25,13.075262341447207,0.16522728852634644,13.03164127199106,12.829968150053553,13.413198295865481,12.829405035003536,13.427183383116311,0.012636632765875244,0.7879271798671872
desi_dinov3_small_vitl16,mind_mlk_dimensionality,contiguous_region,16.53914423181552,12,12.458689768371144,0.45555660779842594,12.275828199715459,11.916283042632006,13.156645509883,11.88738797549093,13.193261232837044,0.03656537053799564,0.7422287409587411
desi_dinov3_small_vitl16,ess_dimensionality,bootstrap_deduplicated,0.22358991279027207,100,0.22315133400188294,0.0002604659007464768,0.22310550953185138,0.22272431551429914,0.22372280067392086,0.22265572193079816,0.2239301535537216,0.0011672164180039318,0.9978335191763545
desi_dinov3_small_vitl16,ess_dimensionality,sparse_10pct,0.22358991279027207,25,0.21990180051017424,0.001144577387530173,0.21982090277250887,0.21839369787829235,0.22198630611510353,0.21838371323638262,0.22206689525562828,0.005204947776119808,0.9831432018970439
desi_dinov3_small_vitl16,ess_dimensionality,contiguous_region,0.22358991279027207,12,0.21915201487250266,0.0026440170893203144,0.21910904781909096,0.21547030316598387,0.22294995279137234,0.21528030629990735,0.2229645607653133,0.012064762858139998,0.979959449354121
desi_dinov3_small_vitl16,tle_dimensionality,bootstrap_deduplicated,18.172369757363832,100,17.37649997498763,0.05992935484475842,17.3728637587553,17.278708029661605,17.497233192783437,17.230037018448694,17.558910380900116,0.0034488737623239963,0.9560043071276076
desi_dinov3_small_vitl16,tle_dimensionality,sparse_10pct,18.172369757363832,25,14.283938642526795,0.13593180327137117,14.317837811521972,14.031621916182145,14.488256555170569,14.019674368685555,14.506874352718555,0.009516409071281557,0.7878905174554947
desi_dinov3_small_vitl16,tle_dimensionality,contiguous_region,18.172369757363832,12,13.705397621912859,0.4303049490133761,13.555452070814773,13.159539917374955,14.388453709986154,13.118951384220722,14.414225831377294,0.031396750454389125,0.7459375002713565
legacysurvey_dinov3_vitl16,pca_explained_variance_95,bootstrap_deduplicated,110.0,100,110.18,0.38612291966536916,110.0,110.0,111.0,110.0,111.0,0.003504473767157099,1.0
legacysurvey_dinov3_vitl16,pca_explained_variance_95,sparse_10pct,110.0,25,107.0,0.9574271077563381,107.0,106.0,109.0,106.0,109.0,0.008947916894919047,0.9727272727272728
legacysurvey_dinov3_vitl16,pca_explained_variance_95,contiguous_region,110.0,12,102.58333333333333,5.434876152027642,104.0,94.275,109.9,94.0,111.0,0.052980108711886034,0.9454545454545454
legacysurvey_dinov3_vitl16,participation_ratio,bootstrap_deduplicated,9.240832884232484,100,9.243866734334011,0.02254431651737137,9.244784892003084,9.19843322096519,9.284239235909551,9.1878363395131,9.291723860167359,0.0024388404944909246,1.000427667919127
legacysurvey_dinov3_vitl16,participation_ratio,sparse_10pct,9.240832884232484,25,9.239938200914052,0.08157636811985558,9.236454291002739,9.107051407502492,9.432553051662817,9.104109378726312,9.44910093813442,0.008828670316408146,0.9995261689844844
