profile,snr_db,method,population_value,sample_mean,sample_std,relative_error_percent
power_2.0,10.0,renyi_eff_dimensionality_alpha_3,2.388817198627536,2.3909387606433734,0.022598152581130636,0.08881223800030202
exp_10,,renyi_eff_dimensionality_alpha_3,17.340967813430836,17.310456195893174,0.042977383651788464,0.17595106493439872
exp_10,30.0,renyi_eff_dimensionality_alpha_3,17.365456980709762,17.397506780113183,0.05716545713308138,0.1845606449575321
exp_10,20.0,renyi_eff_dimensionality_alpha_3,17.58624450643823,17.560922259980337,0.09709480163536674,0.1439889366295466
exp_10,10.0,renyi_eff_dimensionality_alpha_3,19.830882884095512,19.773880533546166,0.10625277522382447,0.28744232358440813
exp_25,,renyi_eff_dimensionality_alpha_3,42.125650741412436,41.88817798625776,0.08627530382989748,0.5637248350474189
exp_25,30.0,renyi_eff_dimensionality_alpha_3,42.179756587219984,41.99831088787401,0.07142839062009772,0.43017246666839926
exp_25,20.0,renyi_eff_dimensionality_alpha_3,42.66701024828467,42.404305383002054,0.12650352631578884,0.6157095698852588
exp_25,10.0,renyi_eff_dimensionality_alpha_3,47.56529099791562,47.293007810996315,0.15841467128406245,0.5724409148074705
flat,,renyi_eff_dimensionality_alpha_4,99.99999999999997,98.00061824624822,0.03009036301381615,1.99938175375175
flat,30.0,renyi_eff_dimensionality_alpha_4,100.08122651850461,98.13030131062642,0.0353421034968782,1.9493418253796801
flat,20.0,renyi_eff_dimensionality_alpha_4,100.81015619376298,98.82407071901181,0.03391183860519755,1.9701243899808984
flat,10.0,renyi_eff_dimensionality_alpha_4,107.89489598967542,105.7148825930291,0.007088004976397406,2.020497240995467
power_0.5,,renyi_eff_dimensionality_alpha_4,41.80122594666111,41.55924727965227,0.3130431459529308,0.578879354681161
power_0.5,30.0,renyi_eff_dimensionality_alpha_4,41.850989729623734,41.87251315271985,0.4007089814703071,0.051428707505274396
power_0.5,20.0,renyi_eff_dimensionality_alpha_4,42.29900784967936,42.240377015433495,0.41454168422202725,0.1386104242780961
power_0.5,10.0,renyi_eff_dimensionality_alpha_4,46.790896751066484,46.19555866354812,0.28704577599865827,1.2723374178649327
power_1.0,,renyi_eff_dimensionality_alpha_4,8.746041305221489,8.735892879665903,0.12244671604416836,0.11603450294166429
power_1.0,30.0,renyi_eff_dimensionality_alpha_4,8.75744186474962,8.774899709007451,0.09739575141037579,0.1993486742755568
power_1.0,20.0,renyi_eff_dimensionality_alpha_4,8.860190293791216,8.857376929992006,0.06264674061632676,0.031752859768507946
power_1.0,10.0,renyi_eff_dimensionality_alpha_4,9.901457501636227,9.914600307094844,0.07547590732924951,0.13273606897212797
power_2.0,,renyi_eff_dimensionality_alpha_4,1.9235150247339088,1.918431180824431,0.01492584743078657,0.26429967242813657
power_2.0,30.0,renyi_eff_dimensionality_alpha_4,1.926063520593658,1.9268692630427853,0.010182964687711628,0.041833638429489284
power_2.0,20.0,renyi_eff_dimensionality_alpha_4,1.9490363755077988,1.9542766041928847,0.011866832808900347,0.26886253899292
power_2.0,10.0,renyi_eff_dimensionality_alpha_4,2.182283763549412,2.184082304934793,0.01899778256278888,0.08241556003951711
exp_10,,renyi_eff_dimensionality_alpha_4,15.89948050814391,15.864338744998383,0.048628468370440894,0.22102459968755817
exp_10,30.0,renyi_eff_dimensionality_alpha_4,15.919575091179626,15.960985432132594,0.06631981860638306,0.2601221497168682
exp_10,20.0,renyi_eff_dimensionality_alpha_4,16.10061566247009,16.078082122308253,0.10483324450044991,0.13995452493387184
exp_10,10.0,renyi_eff_dimensionality_alpha_4,17.928947005292414,17.885462918078947,0.1203076193875584,0.24253564473492029
exp_25,,renyi_eff_dimensionality_alpha_4,38.72917966169594,38.489691977907256,0.11457279641183798,0.6183649792756651
exp_25,30.0,renyi_eff_dimensionality_alpha_4,38.77421593023425,38.60059862079909,0.07108862153581315,0.4477648490624375
