method,true_dimension,mean,std,relative_error_percent
mind_mlk_dimensionality,100,51.016817212185686,0.11649432742062238,48.983182787814314
ess_dimensionality,5,0.5552630274695316,0.003729925615099253,88.89473945060938
ess_dimensionality,10,0.3530550635855801,0.0016650867622813384,96.4694493641442
ess_dimensionality,20,0.26959809130063567,0.00028810511663595917,98.65200954349682
ess_dimensionality,50,0.22351943180766756,0.0012000681082178163,99.55296113638467
ess_dimensionality,100,0.2080586675074932,0.00043824710205480244,99.79194133249251
tle_dimensionality,5,5.716056514578165,0.022552744586645888,14.3211302915633
tle_dimensionality,10,10.861836938451074,0.05163277013851943,8.618369384510727
tle_dimensionality,20,19.01150399498517,0.13643979764134634,4.9424800250741585
tle_dimensionality,50,35.80829912427946,0.1255171020079559,28.383401751441085
tle_dimensionality,100,55.02206891765758,0.19167488097534693,44.97793108234242
