family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,Z,hidden,n_trainable,input_dim_a,input_dim_b,n,n_common_ids,metric,k_or_keff,score,seed_std,seed_best,seed_worst,null_score,bootstrap_low,bootstrap_high
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top10,-1,0.00572122052704577,0.0015603328710124828,0.007281553398058253,0.004160887656033287,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mrr,-1,0.003953219124401996,0.00043244543554234616,0.004385664559944342,0.0035207736888596495,,,
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,median_rank,-1,1231.75,33.75,1265.5,1198.0,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mknn,10,0.022624826629681,8.668515950069344e-05,0.022711511789181692,0.022538141470180306,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mknn,100,0.09784674063800278,0.002239944521497915,0.10008668515950069,0.09560679611650486,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mknn,5,0.01515256588072122,0.0003814147018030515,0.015533980582524271,0.014771151178918168,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mknn,20,0.03614771151178918,0.0011615811373092942,0.03730929264909848,0.03498613037447989,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mknn,50,0.06310332871012483,0.001369625520110957,0.06447295423023579,0.061733703190013874,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,cka,-1,0.31833407221249965,0.014628185245193853,0.3329622574576935,0.30370588696730577,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,distance_spearman,-1,0.3701508774743274,0.013320293477563944,0.38347117095189137,0.3568305839967635,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,top1,-1,0.0006934812760055479,0.0,0.0006934812760055479,0.0006934812760055479,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,top10,-1,0.0039875173370319,0.0005201109570041607,0.004507628294036061,0.0034674063800277394,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,mrr,-1,0.003541719412721645,0.0002145552016290628,0.003756274614350708,0.0033271642110925823,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,4206592,1024,1024,16384,16384,median_rank,-1,1371.75,33.25,1405.0,1338.5,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,10,0.028294036061026352,0.00010402219140083317,0.028398058252427184,0.028190013869625517,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,100,0.10253467406380028,0.0005201109570041607,0.10305478502080444,0.10201456310679612,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,5,0.018932038834951457,0.0002773925104022183,0.019209431345353675,0.01865464632454924,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,20,0.040273925104022196,0.0009708737864077659,0.04124479889042996,0.039303051317614426,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mknn,50,0.06819694868238557,0.0009361997226074864,0.06913314840499306,0.06726074895977809,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,cka,-1,0.3048262769719431,0.004176193442847503,0.3090024704147906,0.3006500835290956,,,
