family,model,parameter_count,log10_params,k,R_local,null_mean,null_sd,null_p
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,25,0.006691010503071196,0.0010617767685554267,0.0009728963459344287,0.004975124378109453
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,50,0.006149443512374154,0.0010537198902091397,0.000645702391293179,0.004975124378109453
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,10,0.00943122526468428,0.0005259063251111977,0.0014112533736678156,0.004975124378109453
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,25,0.0068447563370337495,0.0006710731667720789,0.0008617230859617198,0.004975124378109453
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,50,0.006101509342381201,0.0006166662611787955,0.0006819487261278917,0.004975124378109453
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,10,0.00807650374568091,9.012400567337128e-05,0.0008944858635767841,0.004975124378109453
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,25,0.006016669237312552,0.0001812860849020726,0.0005345819067224075,0.004975124378109453
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,50,0.0051124335581352095,0.00021990896424312783,0.000409507105884894,0.004975124378109453
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,10,0.009563720680014627,0.00043572600362884657,0.0011549608079571378,0.004975124378109453
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,25,0.006799835281780421,0.0004961996740077049,0.0007085404002173091,0.004975124378109453
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,50,0.005959497077426139,0.0004486217461322435,0.0005518490679383965,0.004975124378109453
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,10,0.026047109280422434,0.009836110931753635,0.0025631987649031227,0.004975124378109453
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,25,0.02301635012940388,0.009763496692596716,0.0018258921845861033,0.004975124378109453
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,50,0.021160836835717043,0.00981742710660957,0.001226890891153472,0.004975124378109453
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,10,0.031526080814024235,0.006127688701728315,0.0025548056698821466,0.004975124378109453
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,25,0.02573429524632043,0.006084620577036474,0.0015811797785146076,0.004975124378109453
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,50,0.020453125997737583,0.006113356568094022,0.0012103109204172327,0.004975124378109453
