family,model,parameter_count,log10_params,mode,k,k_frac,energy_retained,mknn,mknn_dense,mknn_full_ridge,lift,lift_frac_of_full
convnext,official_legacy_cross_convnext_nano,15000000,7.176091259055681,energy,640,1.0,1.0,0.04110466890448581,0.017973756484589563,0.04110466890448581,0.023130912419896246,1.0
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,8,0.010416666666666666,0.5534952250169342,0.033567287152883735,0.018462007934086054,0.04211168751907232,0.01510527921879768,0.6387096774193548
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,16,0.020833333333333332,0.688776019262878,0.03896856881293866,0.018462007934086054,0.04211168751907232,0.02050656087885261,0.8670967741935484
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,32,0.041666666666666664,0.8110504538162621,0.04150137320720171,0.018462007934086054,0.04211168751907232,0.023039365273115654,0.9741935483870968
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,64,0.08333333333333333,0.902324325836841,0.04195910894110467,0.018462007934086054,0.04211168751907232,0.023497101007018614,0.9935483870967742
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,128,0.16666666666666666,0.9616506328574494,0.04241684467500763,0.018462007934086054,0.04211168751907232,0.023954836740921574,1.0129032258064516
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,256,0.3333333333333333,0.9915978642496676,0.04256942325297528,0.018462007934086054,0.04211168751907232,0.024107415318889228,1.0193548387096774
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,rank,768,1.0,1.0,0.04211168751907232,0.018462007934086054,0.04211168751907232,0.023649679584986268,1.0
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,7,0.009114583333333334,0.5,0.03100396704302716,0.018462007934086054,0.04211168751907232,0.012541959108941104,0.5303225806451612
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,23,0.029947916666666668,0.75,0.04064693317058285,0.018462007934086054,0.04211168751907232,0.022184925236496796,0.9380645161290323
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,63,0.08203125,0.9,0.0419896246566982,0.018462007934086054,0.04211168751907232,0.023527616722612145,0.9948387096774194
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,109,0.14192708333333334,0.95,0.042325297528227036,0.018462007934086054,0.04211168751907232,0.023863289594140982,1.0090322580645161
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,242,0.3151041666666667,0.99,0.04241684467500763,0.018462007934086054,0.04211168751907232,0.023954836740921574,1.0129032258064516
convnext,official_legacy_cross_convnext_tiny,28000000,7.447158031342219,energy,768,1.0,1.0,0.04211168751907232,0.018462007934086054,0.04211168751907232,0.023649679584986268,1.0
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,8,0.0078125,0.5484653021984766,0.029539212694537686,0.019743667989014342,0.045437900518767164,0.009795544705523344,0.3812351543942993
