family,model,parameter_count,log10_params,eps,n_total,n_active,active_fraction,geom_mean,H,H_norm,r_eff,r_eff_norm,A_log,D_sim,S_95_5,kappa_95_5,sigma_max,sigma_min_active,r50,r50_frac,r75,r75_frac,r90,r90_frac,r95,r95_frac,r99,r99_frac
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,1e-08,1024,1024,1.0,0.2398652266343115,3.847014724923784,0.5550069065874362,46.85298520091555,0.04575486836026909,1.9074240793729171,0.9199025177372879,6.158513527810133,472.7248599518593,32.25554293631275,1.646397038719519e-05,7,0.0068359375,24,0.0234375,72,0.0703125,130,0.126953125,305,0.2978515625
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,1e-10,1024,1024,1.0,0.2398652266343115,3.847014724923784,0.5550069065874362,46.85298520091555,0.04575486836026909,1.9074240793729171,0.9199025177372879,6.158513527810133,472.7248599518593,32.25554293631275,1.646397038719519e-05,7,0.0068359375,24,0.0234375,72,0.0703125,130,0.126953125,305,0.2978515625
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,1e-06,1536,1534,0.9986979166666666,0.2818807111485344,4.082895471235294,0.5565838591857666,59.31697202652086,0.03866816950881412,1.8569617275329877,0.9221330530758107,6.033890652215479,417.33558244201987,49.16536063578585,7.834114993618748e-05,8,0.005215123859191656,33,0.02151238591916558,107,0.0697522816166884,197,0.12842242503259452,460,0.29986962190352023
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,1e-08,1536,1536,1.0,0.2783588975242483,4.082895471238676,0.5564850181021173,59.31697202672148,0.038617820329896795,1.888314210942963,0.9222387124688881,6.068049048371535,431.8373653961754,49.16536063578585,8.802243289518892e-06,8,0.005208333333333333,33,0.021484375,107,0.06966145833333333,197,0.12825520833333334,460,0.2994791666666667
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,1e-10,1536,1536,1.0,0.2783588975242483,4.082895471238676,0.5564850181021173,59.31697202672148,0.038617820329896795,1.888314210942963,0.9222387124688881,6.068049048371535,431.8373653961754,49.16536063578585,8.802243289518892e-06,8,0.005208333333333333,33,0.021484375,107,0.06966145833333333,197,0.12825520833333334,460,0.2994791666666667
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,1e-06,384,384,1.0,0.15599284903531882,3.568608550988837,0.5997013800529782,35.46720798964318,0.09236252080636244,1.8419089871787169,0.8844512049481034,5.979049722500983,395.0647685614492,8.852476991770356,0.00019937594724057765,6,0.015625,18,0.046875,43,0.11197916666666667,68,0.17708333333333334,137,0.3567708333333333
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,1e-08,384,384,1.0,0.15599284903531882,3.568608550988837,0.5997013800529782,35.46720798964318,0.09236252080636244,1.8419089871787169,0.8844512049481034,5.979049722500983,395.0647685614492,8.852476991770356,0.00019937594724057765,6,0.015625,18,0.046875,43,0.11197916666666667,68,0.17708333333333334,137,0.3567708333333333
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,1e-10,384,384,1.0,0.15599284903531882,3.568608550988837,0.5997013800529782,35.46720798964318,0.09236252080636244,1.8419089871787169,0.8844512049481034,5.979049722500983,395.0647685614492,8.852476991770356,0.00019937594724057765,6,0.015625,18,0.046875,43,0.11197916666666667,68,0.17708333333333334,137,0.3567708333333333
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,1e-06,768,768,1.0,0.20434244670445104,3.894345605645694,0.5861632836174429,49.123896441684714,0.0639634068251103,1.8339916798749198,0.8993402186655429,5.908239415744685,368.05758825339524,19.57394843125161,8.73634798442488e-05,7,0.009114583333333334,27,0.03515625,76,0.09895833333333333,127,0.16536458333333334,265,0.3450520833333333
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,1e-08,768,768,1.0,0.20434244670445104,3.894345605645694,0.5861632836174429,49.123896441684714,0.0639634068251103,1.8339916798749198,0.8993402186655429,5.908239415744685,368.05758825339524,19.57394843125161,8.73634798442488e-05,7,0.009114583333333334,27,0.03515625,76,0.09895833333333333,127,0.16536458333333334,265,0.3450520833333333
dinov2,official_legacy_cross_dino_base,86000000,7.9344984512435675,1e-10,768,768,1.0,0.20434244670445104,3.894345605645694,0.5861632836174429,49.123896441684714,0.0639634068251103,1.8339916798749198,0.8993402186655429,5.908239415744685,368.05758825339524,19.57394843125161,8.73634798442488e-05,7,0.009114583333333334,27,0.03515625,76,0.09895833333333333,127,0.16536458333333334,265,0.3450520833333333
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,1e-06,1024,1023,0.9990234375,0.23710507677244413,4.078508269113248,0.5884873168291367,59.057306500040646,0.057729527370518716,1.7747042147116414,0.9021263768764796,5.72489420559177,306.400848032216,21.28396819186933,0.00013468808534518572,8,0.007820136852394917,31,0.030303030303030304,97,0.09481915933528837,168,0.16422287390029325,360,0.3519061583577713
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,1e-08,1024,1024,1.0,0.23481304988004048,4.078508269114307,0.5884043654075841,59.057306500103174,0.057673150879007005,1.8008404249841197,0.9022271328710034,5.768721734133506,320.1282619667422,21.28396819186933,1.1351946854371695e-05,8,0.0078125,31,0.0302734375,97,0.0947265625,168,0.1640625,360,0.3515625
dinov2,official_legacy_cross_dino_large,300000000,8.477121254719663,1e-10,1024,1024,1.0,0.23481304988004048,4.078508269114307,0.5884043654075841,59.057306500103174,0.057673150879007005,1.8008404249841197,0.9022271328710034,5.768721734133506,320.1282619667422,21.28396819186933,1.1351946854371695e-05,8,0.0078125,31,0.0302734375,97,0.0947265625,168,0.1640625,360,0.3515625
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,1e-06,1536,1534,0.9986979166666666,0.28421073571069744,4.056757281382552,0.5530206784276838,57.78662117832413,0.0376705483561435,1.929483179096271,0.9278906633923324,6.260482630692688,523.4715225746152,50.15176523242801,0.000122048479839777,8,0.005215123859191656,30,0.01955671447196871,96,0.06258148631029987,177,0.11538461538461539,424,0.27640156453715775
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,1e-08,1536,1535,0.9993489583333334,0.28249722188042664,4.0567572813838195,0.5529715539146608,57.786621178397375,0.03764600728234357,1.9433418728092282,0.9279394620383776,6.28469270666351,536.2994640620718,50.15176523242801,2.6440745291673846e-05,8,0.005211726384364821,30,0.019543973941368076,96,0.06254071661237785,177,0.11530944625407166,424,0.2762214983713355
dinov2,official_legacy_cross_dino_giant,1100000000,9.041392685158225,1e-10,1536,1536,1.0,0.2799451588890635,4.0567572813838195,0.552922470112094,57.786621178397375,0.03762149816301912,1.9749771217901266,0.9279881967553808,6.30350205742876,546.4823755565468,50.15176523242801,2.496323131434992e-07,8,0.005208333333333333,30,0.01953125,96,0.0625,177,0.115234375,424,0.2760416666666667
