boot_id,T
355,0.007073097180212142
356,0.005500093126657899
357,0.005766094234247385
358,0.006751138778497606
359,0.00670438996655365
360,0.004275236666483123
361,0.0074988555675092865
362,0.007194926692384335
363,0.01142632830881677
364,0.0064936209830768156
365,0.004102085216769607
366,0.007903419399215105
367,0.007198850268964739
368,0.007350692867494355
369,0.009015093053343167
370,0.008539773672908252
371,0.007227003578299862
372,0.009013051609896674
373,0.007791122661769713
374,0.010035936514264356
375,0.012280456290223256
376,0.006124632161935288
377,0.004254047400082802
378,0.005093044750272646
379,0.0063477209084042505
380,0.0039109770094768554
381,0.00759491306841361
382,0.006911914420028674
383,0.006852003455891287
384,0.01110899567720414
385,0.005875193043750429
386,0.007850869025968984
387,0.006770390126900672
388,0.009794056255107004
389,0.009534401167352805
390,0.00715335974439483
391,0.003554460931100116
392,0.0029344096949135506
393,0.0031986094882572175
394,0.008510097295102773
395,0.007775385337727589
396,0.007280513910912792
397,0.005914291697745694
398,0.006293242072521017
399,0.009060985328387876
400,0.0056972308768786905
401,0.0055618009449825865
402,0.0058925019356139315
403,0.007810545193796698
404,0.008700111400855737
405,0.009347351515631252
406,0.004805479590746676
407,0.007434455679080618
408,0.006784841097389161
409,0.005681012436051165
410,0.00790184884701497
411,0.009649022235800999
412,0.008043180537765518
413,0.008796723403192574
414,0.007901726304790867
415,0.009005787707940712
416,0.007940912879977067
417,0.008835101314895025
418,0.00791619478089991
419,0.006341476048123322
420,0.009652668213844293
421,0.007074594273958993
422,0.0058822788498116615
423,0.008700166822128343
424,0.005377666535808985
425,0.0073467224346961514
426,0.005920458076781094
427,0.00290417946392135
428,0.006942171766513553
429,0.006964605637031535
430,0.0050724647900939526
431,0.007762007607837776
432,0.007527327350197196
433,0.004219646270043792
434,0.005905773858480065
435,0.01090820957212672
436,0.008826588148724326
437,0.003773595190006027
438,0.004482397996513173
439,0.008308625777504488
440,0.00539773435364471
441,0.009439608716533293
442,0.007268174972344575
443,0.010075822187100522
444,0.008544519764850815
445,0.00818674657298045
446,0.007994505511619532
447,0.012787810571658845
448,0.007657632855400762
449,0.004968501644417004
450,0.005961957933306346
451,0.01069297300550642
