dataset_id,label,canonical_label,is_discovery,d,k,raw,controlled,n,p_raw_pointwise,p_raw_fwer,p_ctl_pointwise,p_ctl_fwer,raw_lo,raw_hi,ctl_lo,ctl_hi,r2_L,missing_controls
physics_vit_base,smooth_fraction,smooth_fraction,False,18,2048,-0.3062092123859878,0.07225701954658337,512,9.999000099990002e-05,9.999000099990002e-05,0.11188881111888811,0.8062193780621938,-0.3801732273037111,-0.23083828541349094,-0.018469994836251596,0.1541823025779836,0.8420646647612686,
physics_vit_base,smooth_fraction,smooth_fraction,False,19,2048,-0.3192479271809661,0.040573841138233716,512,9.999000099990002e-05,9.999000099990002e-05,0.3712628737126287,0.9994000599940006,-0.3896942321196716,-0.2407655461578605,-0.048600101148670444,0.12067357101645412,0.8467087975139375,
physics_vit_base,smooth_fraction,smooth_fraction,False,20,2048,-0.3087299620340806,0.0660173729128758,512,9.999000099990002e-05,9.999000099990002e-05,0.15528447155284472,0.8829117088291171,-0.3781110337637684,-0.23318513350459083,-0.022659566479008734,0.1447847752960532,0.8510054374297138,
physics_vit_base,smooth_fraction,smooth_fraction,False,21,2048,-0.3072682419519117,0.0630403777709113,512,9.999000099990002e-05,9.999000099990002e-05,0.16328367163283672,0.9168083191680831,-0.3824828587256837,-0.22801104622904647,-0.027483097194724908,0.14952903199422884,0.854985537926532,
physics_vit_base,smooth_fraction,smooth_fraction,False,22,2048,-0.301073835416166,0.09494376637941887,512,9.999000099990002e-05,9.999000099990002e-05,0.0364963503649635,0.42505749425057493,-0.3763403888980153,-0.22047101673561803,0.005967101885260781,0.17688649209384466,0.8586875757733362,
physics_vit_base,smooth_fraction,smooth_fraction,False,23,2048,-0.3036478718199609,0.12279003015529692,512,9.999000099990002e-05,9.999000099990002e-05,0.0082991700829917,0.1171882811718828,-0.38288936607002566,-0.2229420423496931,0.032776081512944505,0.20733297979971682,0.862151645749154,
physics_vit_base,smooth_fraction,smooth_fraction,False,24,2048,-0.33259339845046404,0.10034656060814136,512,9.999000099990002e-05,9.999000099990002e-05,0.027297270272972702,0.34736526347365265,-0.40627578019015276,-0.25338777303880056,0.007267089865242612,0.18510474404503727,0.8653706240218413,
physics_vit_base,smooth_fraction,smooth_fraction,False,25,2048,-0.3230952130611918,0.13665620958789668,512,9.999000099990002e-05,9.999000099990002e-05,0.0023997600239976003,0.051594840515948405,-0.3962910499081599,-0.24788165829123773,0.046331713487596175,0.2159892657190954,0.868381615483449,
physics_vit_base,smooth_fraction,smooth_fraction,False,26,2048,-0.34506151580435107,0.09966223707098798,512,9.999000099990002e-05,9.999000099990002e-05,0.031196880311968805,0.35806419358064195,-0.41427387092727425,-0.2694136709493639,0.004656009756522435,0.18599085760592088,0.8712478580450651,
physics_vit_base,smooth_fraction,smooth_fraction,False,27,2048,-0.318383626732356,0.12734729947013654,512,9.999000099990002e-05,9.999000099990002e-05,0.0044995500449955,0.09199080091990801,-0.3921733527507724,-0.23745389423502475,0.03339452284512907,0.21492729865681862,0.8739537916438691,
physics_vit_base,smooth_fraction,smooth_fraction,False,28,2048,-0.31771360836451856,0.1327891646925533,512,9.999000099990002e-05,9.999000099990002e-05,0.0032996700329967,0.0658934106589341,-0.39095374708023206,-0.2400079903203114,0.0389552766847197,0.21815171551279902,0.8765141814097808,
physics_vit_base,smooth_fraction,smooth_fraction,False,29,2048,-0.30414730104370513,0.11429159728659546,512,9.999000099990002e-05,9.999000099990002e-05,0.0122987701229877,0.18868113188681132,-0.38214443083630295,-0.2230926300460658,0.020534342974838672,0.19947721954424408,0.8789314172507252,
physics_vit_base,smooth_fraction,smooth_fraction,False,30,2048,-0.30520892342156763,0.11091298451608474,512,9.999000099990002e-05,9.999000099990002e-05,0.013598640135986401,0.21947805219478053,-0.37846127706689386,-0.2251092163987228,0.019410117770822907,0.1964669998499822,0.8812382143421966,
physics_vit_base,smooth_fraction,smooth_fraction,False,31,2048,-0.33491512743044827,0.10478885212460376,512,9.999000099990002e-05,9.999000099990002e-05,0.0216978302169783,0.2880711928807119,-0.4078883158269252,-0.2542432082404469,0.01246860060678412,0.19377537879318832,0.8834301289771668,
physics_vit_base,smooth_fraction,smooth_fraction,False,32,2048,-0.3128612949325368,0.08502903234112678,512,9.999000099990002e-05,9.999000099990002e-05,0.06159384061593841,0.5927407259274072,-0.3880651249213927,-0.23129779765672684,-0.011182807953002066,0.18093251083539055,0.8855309128502057,
physics_vit_base,smooth_fraction,smooth_fraction,False,33,2048,-0.31603659548414414,0.13890533983360226,512,9.999000099990002e-05,9.999000099990002e-05,0.0018998100189981002,0.044195580441955803,-0.39174205410970003,-0.23697060117489202,0.043513493872347486,0.22889847670204114,0.8875238869416637,
physics_vit_base,smooth_fraction,smooth_fraction,False,34,2048,-0.3472505643389295,0.09561959622229088,512,9.999000099990002e-05,9.999000099990002e-05,0.0321967803219678,0.41505849415058493,-0.4217187160915574,-0.27153355585204053,0.0006959732518473694,0.18428110635377434,0.8894311125421017,
physics_vit_base,smooth_fraction,smooth_fraction,False,35,2048,-0.36250130534670005,0.0937852264794406,512,9.999000099990002e-05,9.999000099990002e-05,0.04079592040795921,0.4430556944305569,-0.4360861368752579,-0.2862773854293947,0.0010483596080532456,0.18100143664939866,0.8912550232104998,
physics_vit_base,smooth_fraction,smooth_fraction,False,36,2048,-0.35423631495977387,0.10266015352307711,512,9.999000099990002e-05,9.999000099990002e-05,0.023697630236976304,0.31666833316668336,-0.4275458792211812,-0.2777580078752554,0.008494435487753159,0.18840063843070579,0.8930119783927846,
physics_vit_base,smooth_fraction,smooth_fraction,False,37,2048,-0.34957917768164704,0.12178956237626028,512,9.999000099990002e-05,9.999000099990002e-05,0.006399360063993601,0.12478752124787522,-0.4221625494321443,-0.27255920208858,0.028324845723304255,0.21323048342765802,0.8947003998087837,
physics_vit_base,smooth_fraction,smooth_fraction,False,38,2048,-0.3094550553037846,0.19761151952369507,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,-0.3818761751177778,-0.2312323619937052,0.10806703418164672,0.28317178138338184,0.8963070434039848,
physics_vit_base,smooth_fraction,smooth_fraction,False,39,2048,-0.3344943766379419,0.1871337876655108,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.00039996000399960006,-0.40639278948153984,-0.25787072610858164,0.10136644091523735,0.2727990412886572,0.8978552179555856,
physics_vit_base,smooth_fraction,smooth_fraction,False,40,2048,-0.30668244526842214,0.1904665344869022,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.00039996000399960006,-0.3794145440320195,-0.22808228657106555,0.1061751443017861,0.2744500829060999,0.8993501312073712,
physics_vit_base,smooth_fraction,smooth_fraction,False,41,2048,-0.32788029219738846,0.1954069141174855,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.00029997000299970003,-0.400297797976637,-0.2521435795496367,0.10929538560256785,0.2802030259877601,0.9007810973172936,
physics_vit_base,smooth_fraction,smooth_fraction,False,42,2048,-0.2848242359609068,0.22928298557466723,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,-0.3576079471786296,-0.20291896990160854,0.1448217098897281,0.31316079484939174,0.9021673874733012,
physics_vit_base,smooth_fraction,smooth_fraction,False,43,2048,-0.3134683705553839,0.23777113660292284,512,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,-0.38337609408604434,-0.23540856762426468,0.15804238813327415,0.3214379521117681,0.9035076426839976,
