dataset_id,ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k,stage
physics_vit_base,,,,,,,,,,,,,,,,,,
desi_vit_base_hsc,1.0,18.0,0.1776483361477711,0.1372358219792602,0.1372358219792602,0.8223516638522289,0.8627641780207398,727.2273840568276,78.32017276230131,0.4580127062122883,1024.0,1024.0,171.0,319.41193951859225,56.742999601210414,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,19.0,0.1724434916197376,0.133848461526533,0.133848461526533,0.8275565083802623,0.866151538473467,766.1218937536167,84.07476918140662,0.442498785165298,1024.0,1024.0,190.0,319.41193951859225,55.08051011561852,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,32.0,0.1278464532503337,0.1020878977365036,0.1020878977365036,0.8721535467496663,0.8979121022634964,1225.6614381303211,160.53460435393674,0.3040428112763953,1024.0,1024.0,528.0,319.41193951859225,40.83568359326213,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,33.0,0.1256591461237201,0.1005837654347931,0.1005837654347931,0.8743408538762798,0.8994162345652068,1261.7607974901566,166.11955758730926,0.2961132933820129,1024.0,1024.0,561.0,319.41193951859225,40.13703158162765,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,34.0,0.1235441629079291,0.0992974503464793,0.0992974503464793,0.8764558370920709,0.9007025496535207,1299.2544804148445,170.90025347190505,0.2872273167595043,1024.0,1024.0,595.0,319.41193951859225,39.461480690622565,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,35.0,0.1214842358433772,0.0976559111248519,0.0976559111248519,0.8785157641566227,0.902344088875148,1328.4946162198175,176.96921385531613,0.2809035140560573,1024.0,1024.0,630.0,319.41193951859225,38.80351539166722,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,36.0,0.1196246921857994,0.0963414310605586,0.0963414310605586,0.8803753078142005,0.9036585689394414,1363.25588481549,182.22813814839992,0.2736158230456455,1024.0,1024.0,666.0,319.41193951859225,38.2095549453808,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,37.0,0.117792412938873,0.0950495658785962,0.0950495658785962,0.8822075870611269,0.9049504341214036,1399.5227082884835,187.2672036962525,0.2663829355565469,1024.0,1024.0,703.0,319.41193951859225,37.624303077380375,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,38.0,0.115983047684484,0.093644192468259,0.093644192468259,0.884016952315516,0.9063558075317408,1435.4890768978787,192.49614707552692,0.2597788759453805,1024.0,1024.0,741.0,319.41193951859225,37.04637021217841,4484.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,9.0,0.2601948934700969,0.2313663863328262,0.2313663863328261,0.7398051065299032,0.7686336136671739,407.47940097315495,28.384253008275277,0.6307611779616727,1024.0,1024.0,45.0,204.9929729041484,53.33812474691335,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,10.0,0.2447901481293469,0.2150183554545555,0.2150183554545555,0.755209851870653,0.7849816445454444,442.4756331289162,33.56439117658508,0.6102616577560923,1024.0,1024.0,55.0,204.9929729041484,50.180260202681694,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,11.0,0.2315746395785825,0.2020695644523409,0.2020695644523409,0.7684253604214175,0.7979304355476591,476.42777364740914,39.02681328265719,0.5913153527675331,1024.0,1024.0,66.0,204.9929729041484,47.47117381642029,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,12.0,0.2185614066095905,0.1890759568282157,0.1890759568282157,0.7814385933904094,0.8109240431717842,515.4540471814531,44.52967232845359,0.5708932349801743,1024.0,1024.0,78.0,204.9929729041484,44.80355250301236,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,13.0,0.2077272968723832,0.1787089598993207,0.1787089598993207,0.7922727031276168,0.8212910401006792,553.5468252422413,50.25561413619072,0.5522594960020959,1024.0,1024.0,91.0,204.9929729041484,42.58263613921245,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,15.0,0.1899123738030838,0.1618387977427666,0.1618387977427666,0.8100876261969162,0.8381612022572333,627.972641688963,62.07338324054886,0.5172781936712405,1024.0,1024.0,120.0,204.9929729041484,38.93070209717806,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,16.0,0.182985708443825,0.1553759333878047,0.1553759333878047,0.817014291556175,0.8446240666121954,665.7475364779689,67.9886864827443,0.4999168123731198,1024.0,1024.0,136.0,204.9929729041484,37.51078437287142,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,17.0,0.176842440635243,0.1497400911273913,0.1497400911273913,0.823157559364757,0.8502599088726086,698.6810399831376,74.15554372064219,0.4846767563440666,1024.0,1024.0,153.0,204.9929729041484,36.25145764144384,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,18.0,0.1709382219083372,0.144532860977206,0.144532860977206,0.8290617780916628,0.8554671390227939,736.1592945212215,80.14414069008035,0.4686791853221073,1024.0,1024.0,171.0,204.9929729041484,35.04113429193907,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,19.0,0.1657410328105421,0.1399225188800374,0.1399225188800374,0.8342589671894579,0.8600774811199625,773.6229677742671,86.08934674175936,0.4531018249566282,1024.0,1024.0,190.0,204.9929729041484,33.97574704803702,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,32.0,0.1188539311743207,0.1006764622686126,0.1006764622686126,0.8811460688256793,0.8993235377313873,1225.7977914857556,165.93729101584938,0.3142751723785026,1024.0,1024.0,528.0,204.9929729041484,24.36422069276904,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,33.0,0.1164358674060017,0.0987825211232653,0.0987825211232653,0.8835641325939982,0.9012174788767346,1261.9149389778447,171.56514323152908,0.3058202196640447,1024.0,1024.0,561.0,204.9929729041484,23.86853461222953,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,34.0,0.114368674588095,0.0971564983282046,0.0971564983282046,0.885631325411905,0.9028435016717954,1303.5512698916484,176.54778823902768,0.2967189718302986,1024.0,1024.0,595.0,204.9929729041484,23.444774610920724,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,35.0,0.1124999114630476,0.0956479970560822,0.0956479970560822,0.8875000885369524,0.9043520029439178,1345.1912397034807,181.26658582834077,0.2877247394100646,1024.0,1024.0,630.0,204.9929729041484,23.061691302263625,18157.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,36.0,0.110201722305593,0.0937641141513024,0.0937641141513024,0.889798277694407,0.9062358858486976,1381.2645267068697,186.64003840092937,0.2802402978992933,1024.0,1024.0,666.0,204.9929729041484,22.59057867458092,18157.0,2048.0,fine_closest
