dataset_id,label,d,raw,raw_lo,raw_hi,controlled,ctl_lo,ctl_hi
physics_vit_base,mag_r_desi,19.0,0.031399713239463556,-0.05451726223597945,0.113062495966985,0.1009316420331651,0.01325549561133998,0.1877605089697742
physics_vit_base,mag_r_desi,20.0,0.027524755710729893,-0.05828204264041641,0.10908996147087141,0.10696708237488699,0.017285892450568916,0.19380209220252093
physics_vit_base,mag_r_desi,21.0,0.014392028837612657,-0.07178223463722334,0.0957980775500264,0.08548438376191621,-0.0016864783631402307,0.17008826034456648
physics_vit_base,mag_r_desi,22.0,0.01533178907536994,-0.07133082085909903,0.10069462758709292,0.10021754586237283,0.013224123224883927,0.18632389790350878
physics_vit_base,mag_r_desi,23.0,0.01936209180561662,-0.06842815001873377,0.10401544306494005,0.11247636070770534,0.019671887290050906,0.20201571170641522
physics_vit_base,mag_r_desi,24.0,-0.007631808000662331,-0.0946461432686732,0.07995636334719936,0.0936814245945915,-0.0006324941911187302,0.17966162010907077
physics_vit_base,mag_r_desi,25.0,-0.029032118257439905,-0.11534793334249564,0.05650570058468178,0.07332257584600771,-0.020276022210582525,0.1596837164645483
physics_vit_base,mag_r_desi,26.0,-0.03121750114122844,-0.1188835270392882,0.055756423152358604,0.05570808442338723,-0.03520065616752287,0.1404336196182809
physics_vit_base,mag_r_desi,27.0,-0.030034865945249515,-0.11759512981081963,0.05796669364544263,0.05945746930110665,-0.028690031583626107,0.14597422833306747
physics_vit_base,mag_r_desi,28.0,-0.012797047126883794,-0.09958171431027091,0.07759869199503314,0.06175747230519221,-0.025675507776702917,0.14524460156267022
physics_vit_base,mag_r_desi,29.0,-0.013364470621216075,-0.09842658372081077,0.07654586754039001,0.04090500580789875,-0.04892347537709457,0.12169149045363206
physics_vit_base,mag_r_desi,30.0,0.008921106117737672,-0.08049351244681802,0.0995326470049527,0.05878566278710475,-0.02848873406786972,0.14364813528153184
physics_vit_base,mag_r_desi,31.0,-0.04663074027621182,-0.1331133643224235,0.040931374381044876,0.00035306946018013067,-0.08894685680213733,0.08579130936973205
physics_vit_base,mag_r_desi,32.0,0.0001797981008590903,-0.0884942548242807,0.0869827799250995,0.052319100405122394,-0.04118075093667709,0.13686615141837705
physics_vit_base,mag_r_desi,33.0,-0.01738364214133995,-0.10887518229738813,0.06878583337161474,0.05840425121021731,-0.028345213918521735,0.14144991993180625
