dataset_id,d,source,lin_nmse,quad_nmse,quad_close_nmse,stage,ok,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k
physics_vit_base,4.0,reused_qpd,0.3616749055971178,0.3397543893056055,0.3397543893056055,reuse,,,,,,,,,,,,,,
physics_vit_base,5.0,reused_qpd,0.3277980695417177,0.3038592697445295,0.3038592697445295,reuse,,,,,,,,,,,,,,
physics_vit_base,6.0,reused_qpd,0.3010556061258316,0.2757073692809131,0.2757073692809131,reuse,,,,,,,,,,,,,,
physics_vit_base,7.0,reused_qpd,0.280527381615903,0.2534827090994891,0.2534827090994891,reuse,,,,,,,,,,,,,,
physics_vit_base,8.0,reused_qpd,0.2625857435481567,0.2330533125020035,0.2330533125020035,reuse,,,,,,,,,,,,,,
physics_vit_base,9.0,reused_qpd,0.2478158837407194,0.2171080852880228,0.2171080852880228,reuse,,,,,,,,,,,,,,
physics_vit_base,10.0,reused_qpd,0.2339233971351247,0.2029871543569155,0.2029871543569155,reuse,,,,,,,,,,,,,,
physics_vit_base,11.0,reused_qpd,0.2213462314998766,0.1906083878598152,0.1906083878598152,reuse,,,,,,,,,,,,,,
physics_vit_base,12.0,reused_qpd,0.210716243074312,0.1794413711346111,0.1794413711346111,reuse,,,,,,,,,,,,,,
physics_vit_base,13.0,reused_qpd,0.201732210603565,0.1717276673832248,0.1717276673832248,reuse,,,,,,,,,,,,,,
desi_vit_base_hsc,22.0,,0.1207970774569828,0.0965237890935235,,coarse_fixed,1.0,0.0965237890935235,0.8792029225430171,0.9034762109064765,896.5518519744194,98.28514194610716,0.3884788219213721,1024.0,1024.0,253.0,220.34599830327332,26.617152624376715,19026.0,2048.0
desi_vit_base_hsc,23.0,,0.1173048471973614,0.0938966192918009,,coarse_fixed,1.0,0.0938966192918009,0.8826951528026385,0.9061033807081992,929.6593093983288,104.41690505289569,0.3783221197568684,1024.0,1024.0,276.0,220.34599830327332,25.84765366151555,19026.0,2048.0
desi_vit_base_hsc,24.0,,0.1145898156630442,0.0919209345362635,,coarse_fixed,1.0,0.0919209345362635,0.8854101843369557,0.9080790654637364,970.1903384883424,109.71333620439174,0.3657111206813058,1024.0,1024.0,300.0,220.34599830327332,25.24940732766156,19026.0,2048.0
desi_vit_base_hsc,26.0,,0.1091770027412809,0.0878453575507247,,coarse_fixed,1.0,0.0878453575507247,0.890822997258719,0.9121546424492752,1044.3502544650478,121.21013375660316,0.3453280164005788,1024.0,1024.0,351.0,220.34599830327332,24.05671566078676,19026.0,2048.0
desi_vit_base_hsc,28.0,,0.1046172257921637,0.084764968948191,,coarse_fixed,1.0,0.084764968948191,0.8953827742078363,0.9152350310518088,1113.0377285642471,132.38826950971315,0.3260794815510176,1024.0,1024.0,406.0,220.34599830327332,23.051987056893275,19026.0,2048.0
desi_vit_base_hsc,30.0,,0.1002133561940657,0.081677817672514,,coarse_fixed,1.0,0.081677817672514,0.8997866438059343,0.918322182327486,1185.3309035457282,143.06443399830175,0.3076654494587134,1024.0,1024.0,465.0,220.34599830327332,22.081612013902927,19026.0,2048.0
desi_vit_base_hsc,32.0,,0.0964824306268021,0.0787445303188622,,coarse_fixed,1.0,0.0787445303188622,0.9035175693731978,0.9212554696811376,1258.6161614817752,153.83396761935305,0.2913522114002899,1024.0,1024.0,528.0,220.34599830327332,21.259517495189044,19026.0,2048.0
desi_vit_base_hsc,34.0,,0.0928878175348145,0.0757255186324263,,coarse_fixed,1.0,0.0757255186324263,0.9071121824651855,0.9242744813675736,1329.5591332199538,164.41246304072456,0.2763234672953354,1024.0,1024.0,595.0,220.34599830327332,20.467458884921,19026.0,2048.0
desi_vit_base_hsc,36.0,,0.0895249750865981,0.0732968005586659,,coarse_fixed,1.0,0.0732968005586659,0.9104750249134018,0.926703199441334,1403.9715348303878,173.90814198114586,0.2611233363080268,1024.0,1024.0,666.0,220.34599830327332,19.726470008532143,19026.0,2048.0
desi_vit_base_hsc,38.0,,0.0861980437998199,0.0708284345490038,,coarse_fixed,1.0,0.0708284345490038,0.91380195620018,0.9291715654509962,1473.6652490891454,184.45207044877176,0.2489231719956434,1024.0,1024.0,741.0,220.34599830327332,18.993394012860616,19026.0,2048.0
desi_vit_base_hsc,2.0,,0.5401293722213676,0.5294805951482456,,coarse_fixed,1.0,0.5294805951482456,0.4598706277786324,0.4705194048517543,148.0289195019091,2.4737914282588616,0.8245971427529538,1024.0,1024.0,3.0,319.4276480066289,172.53225498796843,4484.0,2048.0
desi_vit_base_hsc,4.0,,0.4108018322663464,0.3786012669110248,,coarse_fixed,1.0,0.3786012669110248,0.5891981677336535,0.6213987330889752,36.658485773471774,9.4669027313751,0.94669027313751,1024.0,1024.0,10.0,319.4276480066289,131.22146307765271,4484.0,2048.0
desi_vit_base_hsc,5.0,,0.3720421674127993,0.3355282752859124,,coarse_fixed,1.0,0.3355282752859123,0.6279578325872006,0.6644717247140877,43.13939724111993,14.05093028315991,0.936728685543994,1024.0,1024.0,15.0,319.4276480066289,118.84055449595895,4484.0,2048.0
desi_vit_base_hsc,6.0,,0.3383952722257321,0.295331856610631,,coarse_fixed,1.0,0.295331856610631,0.6616047277742678,0.7046681433893689,49.24860302554184,19.48877619741472,0.9280369617816532,1024.0,1024.0,21.0,319.4276480066289,108.09280590362852,4484.0,2048.0
desi_vit_base_hsc,7.0,,0.3098605801319218,0.2691735973443921,,coarse_fixed,1.0,0.2691735973443921,0.6901394198680781,0.7308264026556079,55.18151352728694,25.625167466846605,0.9151845523873788,1024.0,1024.0,28.0,319.4276480066289,98.97803632150936,4484.0,2048.0
desi_vit_base_hsc,8.0,,0.2908378485768071,0.2489514149842498,,coarse_fixed,1.0,0.2489514149842498,0.7091621514231928,0.7510485850157502,60.49691370864293,32.59496095246168,0.9054155820128243,1024.0,1024.0,36.0,319.4276480066289,92.9016499221976,4484.0,2048.0
desi_vit_base_hsc,10.0,,0.2578558577434221,0.2150977834795037,,coarse_fixed,1.0,0.2150977834795037,0.7421441422565779,0.7849022165204963,72.52566771943383,48.58342911265561,0.8833350747755565,1024.0,1024.0,55.0,319.4276480066289,82.36629016371322,4484.0,2048.0
desi_vit_base_hsc,11.0,,0.2433524635409381,0.2018471061399048,,coarse_fixed,1.0,0.2018471061399048,0.7566475364590619,0.7981528938600951,78.10391130385136,57.66679616188289,0.8737393357861044,1024.0,1024.0,66.0,319.4276480066289,77.73350506550076,4484.0,2048.0
desi_vit_base_hsc,12.0,,0.2317519797810289,0.1903360536188873,,coarse_fixed,1.0,0.1903360536188873,0.768248020218971,0.8096639463811127,82.73919772640144,67.5896812023388,0.8665343743889589,1024.0,1024.0,78.0,319.4276480066289,74.0279898223339,4484.0,2048.0
desi_vit_base_hsc,13.0,,0.221698147703809,0.1817210977329214,,coarse_fixed,1.0,0.1817210977329214,0.778301852296191,0.8182789022670786,87.98459091350342,78.08143899893322,0.8580377911970684,1024.0,1024.0,91.0,319.4276480066289,70.81651788845393,4484.0,2048.0
desi_vit_base_hsc,14.0,,0.2116082386706505,0.169208844576328,,coarse_fixed,1.0,0.169208844576328,0.7883917613293494,0.830791155423672,93.4498709431459,89.21919464172028,0.8497066156354313,1024.0,1024.0,105.0,319.4276480066289,67.59352197739128,4484.0,2048.0
desi_vit_base_hsc,16.0,,0.1953254765859607,0.1581321234064313,,coarse_fixed,1.0,0.1581321234064313,0.8046745234140393,0.8418678765935687,656.9694942733908,66.01363626193819,0.4853943842789572,1024.0,1024.0,136.0,319.4276480066289,62.39235758162729,4484.0,2048.0
desi_vit_base_hsc,17.0,,0.1881381365788006,0.1508358807682853,,coarse_fixed,1.0,0.1508358807682853,0.8118618634211994,0.8491641192317146,692.4708274847884,72.21471848867824,0.4719916241090081,1024.0,1024.0,153.0,319.4276480066289,60.09652246771621,4484.0,2048.0
