pair,family,method,k,b,mknn,dense,lift_vs_dense
official_legacy_cross_vit_base,vit,dense_ridge,10,3,0.004882514494964907,0.0152578577967653,-0.010375343301800392
official_legacy_cross_vit_base,vit,sae_ridge,10,3,0.008452853219407995,0.0152578577967653,-0.006805004577357304
official_legacy_cross_vit_base,vit,bsf_ridge,10,3,0.0044552944766554775,0.0152578577967653,-0.010802563320109822
official_legacy_cross_vit_base,vit,dense_ridge,10,4,0.004516325907842539,0.0152578577967653,-0.01074153188892276
official_legacy_cross_vit_base,vit,sae_ridge,10,4,0.009337808971620384,0.0152578577967653,-0.005920048825144915
official_legacy_cross_vit_base,vit,bsf_ridge,10,4,0.0032651815685077815,0.0152578577967653,-0.011992676228257518
official_legacy_cross_vit_base,vit,dense_ridge,10,5,0.004668904485810192,0.0152578577967653,-0.010588953310955107
official_legacy_cross_vit_base,vit,sae_ridge,10,5,0.008300274641440342,0.0152578577967653,-0.006957583155324958
official_legacy_cross_vit_base,vit,bsf_ridge,10,5,0.004150137320720171,0.0152578577967653,-0.011107720476045128
official_legacy_cross_vit_base,vit,dense_ridge,10,6,0.0049130302105584375,0.0152578577967653,-0.010344827586206862
official_legacy_cross_vit_base,vit,sae_ridge,10,6,0.008269758925846811,0.0152578577967653,-0.006988098870918488
official_legacy_cross_vit_base,vit,bsf_ridge,10,6,0.0037229173024107415,0.0152578577967653,-0.011534940494354558
official_legacy_cross_vit_base,vit,dense_ridge,10,7,0.0039975587427525175,0.0152578577967653,-0.011260299054012782
official_legacy_cross_vit_base,vit,sae_ridge,10,7,0.009856576136710406,0.0152578577967653,-0.0054012816600548935
official_legacy_cross_vit_base,vit,bsf_ridge,10,7,0.004333231614281355,0.0152578577967653,-0.010924626182483944
official_legacy_cross_vit_base,vit,dense_ridge,10,8,0.0045468416234360695,0.0152578577967653,-0.01071101617332923
official_legacy_cross_vit_base,vit,sae_ridge,10,8,0.008300274641440342,0.0152578577967653,-0.006957583155324958
official_legacy_cross_vit_base,vit,bsf_ridge,10,8,0.00366188587122368,0.0152578577967653,-0.011595971925541619
official_legacy_cross_vit_base,vit,dense_ridge,10,9,0.0041806530363137015,0.0152578577967653,-0.011077204760451598
official_legacy_cross_vit_base,vit,sae_ridge,10,9,0.009002136100091547,0.0152578577967653,-0.006255721696673752
official_legacy_cross_vit_base,vit,bsf_ridge,10,9,0.003844980164784864,0.0152578577967653,-0.011412877631980435
official_legacy_cross_vit_base,vit,dense_ridge,10,10,0.004333231614281355,0.0152578577967653,-0.010924626182483944
official_legacy_cross_vit_base,vit,sae_ridge,10,10,0.008880073237717424,0.0152578577967653,-0.006377784559047875
official_legacy_cross_vit_base,vit,bsf_ridge,10,10,0.003967043027158987,0.0152578577967653,-0.011290814769606312
official_legacy_cross_vit_base,vit,dense_ridge,10,11,0.004668904485810192,0.0152578577967653,-0.010588953310955107
official_legacy_cross_vit_base,vit,sae_ridge,10,11,0.00820872749465975,0.0152578577967653,-0.00704913030210555
official_legacy_cross_vit_base,vit,bsf_ridge,10,11,0.0037229173024107415,0.0152578577967653,-0.011534940494354558
official_legacy_cross_vit_base,vit,dense_ridge,10,12,0.0045468416234360695,0.0152578577967653,-0.01071101617332923
official_legacy_cross_vit_base,vit,sae_ridge,10,12,0.009490387549588038,0.0152578577967653,-0.0057674702471772615
official_legacy_cross_vit_base,vit,bsf_ridge,10,12,0.003783948733597803,0.0152578577967653,-0.011473909063167496
official_legacy_cross_vit_base,vit,dense_ridge,10,13,0.004333231614281355,0.0152578577967653,-0.010924626182483944
official_legacy_cross_vit_base,vit,sae_ridge,10,13,0.009276777540433323,0.0152578577967653,-0.005981080256331976
official_legacy_cross_vit_base,vit,bsf_ridge,10,13,0.0044552944766554775,0.0152578577967653,-0.010802563320109822
official_legacy_cross_vit_base,vit,dense_ridge,10,14,0.004943545926151968,0.0152578577967653,-0.010314311870613331
official_legacy_cross_vit_base,vit,sae_ridge,10,14,0.008544400366188587,0.0152578577967653,-0.006713457430576712
official_legacy_cross_vit_base,vit,bsf_ridge,10,14,0.003936527311565456,0.0152578577967653,-0.011321330485199843
official_legacy_cross_vit_base,vit,dense_ridge,10,15,0.004241684467500763,0.0152578577967653,-0.011016173329264536
official_legacy_cross_vit_base,vit,sae_ridge,10,15,0.00912419896246567,0.0152578577967653,-0.0061336588342996295
official_legacy_cross_vit_base,vit,bsf_ridge,10,15,0.004333231614281355,0.0152578577967653,-0.010924626182483944
official_legacy_cross_vit_base,vit,dense_ridge,10,16,0.004943545926151968,0.0152578577967653,-0.010314311870613331
official_legacy_cross_vit_base,vit,sae_ridge,10,16,0.008452853219407995,0.0152578577967653,-0.006805004577357304
official_legacy_cross_vit_base,vit,bsf_ridge,10,16,0.00366188587122368,0.0152578577967653,-0.011595971925541619
official_legacy_cross_vit_base,vit,dense_ridge,10,17,0.0050045773573390295,0.0152578577967653,-0.01025328043942627
official_legacy_cross_vit_base,vit,sae_ridge,10,17,0.009093683246872139,0.0152578577967653,-0.00616417454989316
official_legacy_cross_vit_base,vit,bsf_ridge,10,17,0.004028074458346048,0.0152578577967653,-0.011229783338419251
official_legacy_cross_vit_base,vit,dense_ridge,10,18,0.004699420201403723,0.0152578577967653,-0.010558437595361576
official_legacy_cross_vit_base,vit,sae_ridge,10,18,0.008544400366188587,0.0152578577967653,-0.006713457430576712
official_legacy_cross_vit_base,vit,bsf_ridge,10,18,0.00411962160512664,0.0152578577967653,-0.011138236191638659
official_legacy_cross_vit_base,vit,dense_ridge,10,19,0.004699420201403723,0.0152578577967653,-0.010558437595361576
official_legacy_cross_vit_base,vit,sae_ridge,10,19,0.0091547146780592,0.0152578577967653,-0.006103143118706099
official_legacy_cross_vit_base,vit,bsf_ridge,10,19,0.003875495880378395,0.0152578577967653,-0.011382361916386904
official_legacy_cross_vit_large,vit,dense_ridge,10,0,0.0056454073848031736,0.0244125724748245,-0.018767165090021326
official_legacy_cross_vit_large,vit,sae_ridge,10,0,0.012053707659444614,0.0244125724748245,-0.012358864815379886
official_legacy_cross_vit_large,vit,bsf_ridge,10,0,0.0047299359169972535,0.0244125724748245,-0.019682636557827246
official_legacy_cross_vit_large,vit,dense_ridge,10,1,0.005523344522429051,0.0244125724748245,-0.01888922795239545
official_legacy_cross_vit_large,vit,sae_ridge,10,1,0.011199267622825755,0.0244125724748245,-0.013213304851998744
official_legacy_cross_vit_large,vit,bsf_ridge,10,1,0.0042722001830942935,0.0244125724748245,-0.020140372291730206
official_legacy_cross_vit_large,vit,dense_ridge,10,2,0.005797985962770827,0.0244125724748245,-0.018614586512053673
official_legacy_cross_vit_large,vit,sae_ridge,10,2,0.012114739090631675,0.0244125724748245,-0.012297833384192824
official_legacy_cross_vit_large,vit,bsf_ridge,10,2,0.004607873054623131,0.0244125724748245,-0.01980469942020137
official_legacy_cross_vit_large,vit,dense_ridge,10,3,0.0051876716509002135,0.0244125724748245,-0.019224900823924286
official_legacy_cross_vit_large,vit,sae_ridge,10,3,0.012236801953005798,0.0244125724748245,-0.012175770521818702
official_legacy_cross_vit_large,vit,bsf_ridge,10,3,0.005309734513274336,0.0244125724748245,-0.019102837961550163
official_legacy_cross_vit_large,vit,dense_ridge,10,4,0.0055538602380225816,0.0244125724748245,-0.018858712236801918
official_legacy_cross_vit_large,vit,sae_ridge,10,4,0.011168751907232224,0.0244125724748245,-0.013243820567592275
official_legacy_cross_vit_large,vit,bsf_ridge,10,4,0.00411962160512664,0.0244125724748245,-0.02029295086969786
official_legacy_cross_vit_large,vit,dense_ridge,10,5,0.0053707659444613975,0.0244125724748245,-0.019041806530363102
official_legacy_cross_vit_large,vit,sae_ridge,10,5,0.011687519072322246,0.0244125724748245,-0.012725053402502254
official_legacy_cross_vit_large,vit,bsf_ridge,10,5,0.0050961245041196215,0.0244125724748245,-0.019316447970704878
official_legacy_cross_vit_large,vit,dense_ridge,10,6,0.0056454073848031736,0.0244125724748245,-0.018767165090021326
official_legacy_cross_vit_large,vit,sae_ridge,10,6,0.012145254806225206,0.0244125724748245,-0.012267317668599294
official_legacy_cross_vit_large,vit,bsf_ridge,10,6,0.004211168751907232,0.0244125724748245,-0.020201403722917267
official_legacy_cross_vit_large,vit,dense_ridge,10,7,0.00503509307293256,0.0244125724748245,-0.01937747940189194
official_legacy_cross_vit_large,vit,sae_ridge,10,7,0.011687519072322246,0.0244125724748245,-0.012725053402502254
official_legacy_cross_vit_large,vit,bsf_ridge,10,7,0.005065608788526091,0.0244125724748245,-0.01934696368629841
official_legacy_cross_vit_large,vit,dense_ridge,10,8,0.004943545926151968,0.0244125724748245,-0.01946902654867253
official_legacy_cross_vit_large,vit,sae_ridge,10,8,0.011931644797070491,0.0244125724748245,-0.012480927677754008
official_legacy_cross_vit_large,vit,bsf_ridge,10,8,0.004485810192249008,0.0244125724748245,-0.01992676228257549
official_legacy_cross_vit_large,vit,dense_ridge,10,9,0.005614891669209643,0.0244125724748245,-0.018797680805614857
official_legacy_cross_vit_large,vit,sae_ridge,10,9,0.011931644797070491,0.0244125724748245,-0.012480927677754008
official_legacy_cross_vit_large,vit,bsf_ridge,10,9,0.004699420201403723,0.0244125724748245,-0.019713152273420777
official_legacy_cross_vit_large,vit,dense_ridge,10,10,0.005523344522429051,0.0244125724748245,-0.01888922795239545
official_legacy_cross_vit_large,vit,sae_ridge,10,10,0.011779066219102838,0.0244125724748245,-0.012633506255721662
official_legacy_cross_vit_large,vit,bsf_ridge,10,10,0.005126640219713152,0.0244125724748245,-0.019285932255111347
official_legacy_cross_vit_large,vit,dense_ridge,10,11,0.005523344522429051,0.0244125724748245,-0.01888922795239545
official_legacy_cross_vit_large,vit,sae_ridge,10,11,0.011962160512664022,0.0244125724748245,-0.012450411962160478
official_legacy_cross_vit_large,vit,bsf_ridge,10,11,0.004516325907842539,0.0244125724748245,-0.01989624656698196
official_legacy_cross_vit_large,vit,dense_ridge,10,12,0.005889533109551419,0.0244125724748245,-0.01852303936527308
official_legacy_cross_vit_large,vit,sae_ridge,10,12,0.011962160512664022,0.0244125724748245,-0.012450411962160478
official_legacy_cross_vit_large,vit,bsf_ridge,10,12,0.004668904485810192,0.0244125724748245,-0.019743667989014307
official_legacy_cross_vit_large,vit,dense_ridge,10,13,0.005706438815990235,0.0244125724748245,-0.018706133658834265
official_legacy_cross_vit_large,vit,sae_ridge,10,13,0.012053707659444614,0.0244125724748245,-0.012358864815379886
official_legacy_cross_vit_large,vit,bsf_ridge,10,13,0.0047299359169972535,0.0244125724748245,-0.019682636557827246
official_legacy_cross_vit_large,vit,dense_ridge,10,14,0.0058285016783643576,0.0244125724748245,-0.018584070796460142
official_legacy_cross_vit_large,vit,sae_ridge,10,14,0.012206286237412267,0.0244125724748245,-0.012206286237412232
