pair,family,method,k,real,null_mean,null_sd,null_p025,null_p50,null_p975,p_emp,B
official_legacy_cross_convnext_large,convnext,sae_ridge,10,0.032895941409826,0.011484589563625266,0.00044829904536648475,0.010601922490082393,0.011428135489777235,0.012145254806225206,0.047619047619047616,20
official_legacy_cross_convnext_large,convnext,bsf_ridge,10,0.0356423558132438,0.005213610009154715,0.00041644670137734873,0.004571254195910894,0.005157155935306683,0.005939121147390906,0.047619047619047616,20
official_legacy_cross_dino_small,dinov2,dense_ridge,10,0.0345437900518767,0.0056423558132438194,0.0004708672186067363,0.004813854134879463,0.005614891669209643,0.006515868172108636,0.047619047619047616,20
official_legacy_cross_dino_small,dinov2,sae_ridge,10,0.0262740311260299,0.010830027464144035,0.0003591477908842676,0.010295239548367408,0.010817821177906622,0.0115051876716509,0.047619047619047616,20
official_legacy_cross_dino_small,dinov2,bsf_ridge,10,0.0264266097039975,0.0037076594446139753,0.000295778000254874,0.00318660360085444,0.003753433018004272,0.004182178822093378,0.047619047619047616,20
official_legacy_cross_dino_base,dinov2,dense_ridge,10,0.0328654256942325,0.005274641440341776,0.0005450078747811873,0.004424015868172109,0.00526396093988404,0.006255721696673787,0.047619047619047616,20
official_legacy_cross_dino_base,dinov2,sae_ridge,10,0.0295697284101312,0.011151968263655783,0.0003474357915527144,0.010451632590784254,0.011199267622825755,0.011595971925541654,0.047619047619047616,20
official_legacy_cross_dino_base,dinov2,bsf_ridge,10,0.0302410741531888,0.004301190112908147,0.00025347773753339807,0.003764876411351846,0.00434848947207812,0.004593378089716204,0.047619047619047616,20
official_legacy_cross_dino_large,dinov2,dense_ridge,10,0.0375648458956362,0.005077815074763502,0.00045954169964276185,0.004301190112908148,0.0050045773573390295,0.006001678364357644,0.047619047619047616,20
official_legacy_cross_dino_large,dinov2,sae_ridge,10,0.0321940799511748,0.012056759231003968,0.0005825309645826856,0.011081019224900825,0.011992676228257552,0.013149984742142204,0.047619047619047616,20
official_legacy_cross_dino_large,dinov2,bsf_ridge,10,0.0341776014647543,0.005019835215135796,0.00031425651019871954,0.004514800122062863,0.00503509307293256,0.005619469026548672,0.047619047619047616,20
official_legacy_cross_dino_giant,dinov2,dense_ridge,10,0.0389990845285321,0.004896246566981996,0.0004429317791709101,0.004128013426914861,0.0048672566371681415,0.005604974061641745,0.047619047619047616,20
official_legacy_cross_dino_giant,dinov2,sae_ridge,10,0.0327433628318584,0.011739395788831247,0.0004291772594873156,0.010998626792798291,0.011763808361306072,0.012421422032346658,0.047619047619047616,20
official_legacy_cross_dino_giant,dinov2,bsf_ridge,10,0.0390296002441257,0.0055523344522429045,0.0003544188605534335,0.0050495880378394874,0.00549282880683552,0.006234360695758315,0.047619047619047616,20
official_legacy_cross_vit_base,vit,dense_ridge,10,0.0268843454379005,0.0045910894110466885,0.00027976437924165815,0.00408452853219408,0.004607873054623131,0.004975587427525175,0.047619047619047616,20
official_legacy_cross_vit_base,vit,sae_ridge,10,0.0224595666768385,0.008735123588648154,0.0005921253270342414,0.007660207506866036,0.008712236801953006,0.00968263655782728,0.047619047619047616,20
official_legacy_cross_vit_base,vit,bsf_ridge,10,0.0242294781812633,0.0039273725968873964,0.00032189912219622124,0.003337656393042417,0.0039060115959719255,0.0044552944766554775,0.047619047619047616,20
official_legacy_cross_vit_large,vit,dense_ridge,10,0.0453463533719865,0.005491303021055844,0.00031143266984286986,0.004911504424778761,0.005538602380225816,0.005905553860238022,0.047619047619047616,20
official_legacy_cross_vit_large,vit,sae_ridge,10,0.0335978028684772,0.01188434543790052,0.00029988785340041136,0.011183246872139152,0.011977418370460787,0.01222230698809887,0.047619047619047616,20
official_legacy_cross_vit_large,vit,bsf_ridge,10,0.0335062557216966,0.004713152273420812,0.0003199711194092432,0.004163106499847421,0.0046841623436069575,0.005222764723832774,0.047619047619047616,20
official_legacy_cross_vit_huge,vit,dense_ridge,10,0.0458651205370765,0.004395788831248093,0.00045061080795881264,0.0036977418370460788,0.004379005187671651,0.005100701861458651,0.047619047619047616,20
official_legacy_cross_vit_huge,vit,sae_ridge,10,0.035886481537992,0.0105721696673787,0.00045784011787001805,0.009837503814464448,0.010604211168751907,0.01139456820262435,0.047619047619047616,20
official_legacy_cross_vit_huge,vit,bsf_ridge,10,0.0366188587122368,0.004789441562404638,0.0003976883568296117,0.004195148001220629,0.004714678059200488,0.005386786695148001,0.047619047619047616,20
official_legacy_cross_ijepa_huge,ijepa,dense_ridge,10,0.0399755874275251,0.003945682026243515,0.0004032719707825698,0.003337656393042417,0.00389075373817516,0.004662038449801648,0.047619047619047616,20
official_legacy_cross_ijepa_huge,ijepa,sae_ridge,10,0.0460176991150442,0.014266097039975589,0.0008723495364794524,0.012634269148611535,0.014342386328959416,0.015567592310039671,0.047619047619047616,20
official_legacy_cross_ijepa_huge,ijepa,bsf_ridge,10,0.0543484894720781,0.006727189502593834,0.0006531004791100326,0.005669819957277998,0.006682941714983216,0.008088190418065303,0.047619047619047616,20
official_legacy_cross_ijepa_giant,ijepa,dense_ridge,10,0.0561489166920964,0.004374427830332621,0.0003521715100481796,0.0037664021971315228,0.004302715898687824,0.004837503814464449,0.047619047619047616,20
official_legacy_cross_ijepa_giant,ijepa,sae_ridge,10,0.0530668294171498,0.01506103143118706,0.0006447928481246218,0.014092157461092462,0.015013732072017089,0.01605584375953616,0.047619047619047616,20
official_legacy_cross_ijepa_giant,ijepa,bsf_ridge,10,0.0571559353066829,0.005251754653646629,0.00042536900453236877,0.004636862984436985,0.005218187366493744,0.005891058895331095,0.047619047619047616,20
