dataset_id,label,d,rho,null_mean,null_sd,T,scientific,family,maxT_global_p,survives_maxT
physics_vit_base,stellar_mass,13,-0.11870753465239123,-0.00026247123914113795,0.0460667076870597,-2.5711640653347954,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,14,-0.026365469723142486,0.00027351893607492655,0.04577752416948655,-0.5819228790222317,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,15,-0.019063863877229144,-0.00024217255680822482,0.04547627034594599,-0.4138793963805959,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,16,0.07676894789693435,5.0430560307539166e-05,0.04590084984338204,1.6713964468718447,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,17,0.17915743854642155,0.00016548285252531992,0.04610078784543876,3.882622489966965,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,18,0.13463525628722192,0.0003409823893807774,0.04616743282062074,2.9088529661077116,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,19,0.16275160709765538,0.00040306662327294367,0.04627179039793581,3.5085856647903735,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,20,0.17862469714797535,0.0007017940745315008,0.046195191096251975,3.8515459910691776,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,21,0.1796125163074167,-7.274174337063526e-05,0.04618354490692425,3.8906770455346167,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,22,0.1835782575194924,0.0003326774093947409,0.04592384286097962,3.9902057122009054,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,23,0.16161769573767937,0.0004372787462552051,0.046074559898186776,3.4982519062057773,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,24,0.12529993129327202,0.0003122062203232835,0.04614565577209511,2.708548030831766,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,25,0.12478833042651023,0.00013842219310763033,0.04590677104605636,2.715283723796355,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,26,0.07796227527753902,0.00013485905663159016,0.04599905334706428,1.6919351716587985,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,27,0.03168876686722355,5.6880892575501016e-05,0.045646449048003815,0.6929758312937456,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,28,-0.004170359305589166,-4.36619406451757e-05,0.045842874279443356,-0.09001829465990671,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,29,0.017837045443798178,8.441614580290978e-06,0.04598808849623818,0.3876787318671935,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,30,-0.006688419161110323,-7.783609968316285e-07,0.046031275521195444,-0.14528471619332203,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,31,0.01847026000072323,-0.00018410353297227539,0.046314379132778444,0.40277693198078746,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,32,0.02879774352640758,-0.00019618733849051048,0.04618378617744256,0.6277945847380424,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,33,0.06531044592613611,-0.0005847856266637739,0.04647906111002995,1.4177401603876207,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,34,0.0706139377300076,5.56166554009887e-05,0.04630675236217711,1.5237156024838818,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,35,0.1103070662227155,0.0001411040253241317,0.046125953205885466,2.388372587243025,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,36,0.0874772947908061,0.0001356771618279884,0.046543531537291793,1.8765575955274885,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,37,0.04773943738369231,-2.0248256601548298e-05,0.04621457131957121,1.033433488110022,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,38,-0.013072748463834391,-0.00019467334262404063,0.0462044057076908,-0.27871963558372903,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,39,-0.015166996292062009,-0.0002755503965240515,0.04634135677877885,-0.32134246665728217,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,40,-0.018401831437639602,-2.1008158576240832e-05,0.046248676526429264,-0.397434578880532,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,41,-0.01892133218729399,0.00019835791476471423,0.046201465452544145,-0.4138329794256743,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,42,-0.03149839081610797,0.00029286392451717547,0.045959077417126286,-0.6917296109337996,True,scientific,9.999000099990002e-05,False
physics_vit_base,stellar_mass,43,-0.06379989930430961,-0.00012512338560051624,0.046033392136451357,-1.383230150191093,True,scientific,9.999000099990002e-05,False
