sample_id,d,K_H_old,K_H_new,K_H_abs_diff,R_H_old,R_H_new,dS_old,dS_new,H_S_cosine,H_S_note,ridge_penalty,whitening
1106,16,0.018298452277211632,0.018298452277211632,0.0,0.4769901331353659,0.4769901331353659,0.0038200866658371522,0.0038200866658371522,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1108,16,0.03798312113113138,0.03798312113113138,0.0,0.5905630096148397,0.5905630096148397,0.006281523757297691,0.006281523757297691,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1109,16,0.03538648211389912,0.03538648211389912,0.0,0.5808139640803907,0.5808139640803907,0.005819753834293806,0.005819753834293806,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1111,16,0.024347355247589766,0.024347355247589766,0.0,0.5055819524073162,0.5055819524073162,0.0053641887656340256,0.0053641887656340256,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1112,16,0.03511775772405756,0.03511775772405756,0.0,0.4925818540857666,0.4925818540857666,0.0072199916491626935,0.0072199916491626935,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1124,16,0.022929644803054934,0.022929644803054934,0.0,0.5465434053989967,0.5465434053989967,0.003683827887789448,0.003683827887789448,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1128,16,0.040389959961401545,0.040389959961401545,0.0,0.5956198928718182,0.5956198928718182,0.00763516049246391,0.00763516049246391,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1130,16,0.026387509091941867,0.026387509091941867,0.0,0.5228642677569644,0.5228642677569644,0.0055651453011705595,0.0055651453011705595,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1131,16,0.02797553761135339,0.02797553761135339,0.0,0.6116923797171264,0.6116923797171264,0.00408240085498619,0.00408240085498619,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1132,16,0.01616561612259342,0.01616561612259342,0.0,0.4639948813918876,0.4639948813918876,0.0032397596452028664,0.0032397596452028664,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1133,16,0.017416127563986465,0.017416127563986465,0.0,0.4458729635243179,0.4458729635243179,0.004293337430499378,0.004293337430499378,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1138,16,0.02180843985368769,0.02180843985368769,0.0,0.5336905253930766,0.5336905253930766,0.003654992388419487,0.003654992388419487,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1141,16,0.013726138298435584,0.013726138298435584,0.0,0.4079530130766592,0.4079530130766592,0.003982443349786991,0.003982443349786991,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1144,16,0.02426380409623675,0.02426380409623675,0.0,0.5144328155372044,0.5144328155372044,0.005024022458110266,0.005024022458110266,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1152,16,0.016176896225741807,0.016176896225741807,0.0,0.4957598350595732,0.4957598350595732,0.0029967548487547903,0.0029967548487547903,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1167,16,0.027163853763019913,0.027163853763019913,0.0,0.48998745860362136,0.48998745860362136,0.006944788406326552,0.006944788406326552,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1172,16,0.020824546549572536,0.020824546549572536,0.0,0.48541809630152527,0.48541809630152527,0.004425469757552492,0.004425469757552492,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
