scheme,replicate,outcome,controlled,estimator
object_support,17,delta_adapt,-0.11007970840342866,K_dir
object_support,18,r2_G,-0.14914202958881223,K_dir
object_support,18,mse_G,0.26338588337281554,K_dir
object_support,18,r2_P,-0.23074399039837037,K_dir
object_support,18,mse_P,0.26580748031608703,K_dir
object_support,18,delta_adapt,-0.09586644980029983,K_dir
object_support,19,r2_G,-0.12356098937412023,K_dir
object_support,19,mse_G,0.22911820790560877,K_dir
object_support,19,r2_P,-0.20048480218811868,K_dir
object_support,19,mse_P,0.24468741774527644,K_dir
object_support,19,delta_adapt,-0.12628934279191129,K_dir
object_support,20,r2_G,-0.14401353698172373,K_dir
object_support,20,mse_G,0.26914165765441,K_dir
object_support,20,r2_P,-0.20564208394845562,K_dir
object_support,20,mse_P,0.24989181715704786,K_dir
object_support,20,delta_adapt,-0.09522548880763552,K_dir
object_support,21,r2_G,-0.040116254534738674,K_dir
object_support,21,mse_G,0.16576794440438997,K_dir
object_support,21,r2_P,-0.12995101910026208,K_dir
object_support,21,mse_P,0.1667195957931358,K_dir
object_support,21,delta_adapt,-0.19300865248166077,K_dir
object_support,22,r2_G,-0.15647235597555534,K_dir
object_support,22,mse_G,0.2468312261818931,K_dir
object_support,22,r2_P,-0.21936342354173105,K_dir
object_support,22,mse_P,0.25904989714583265,K_dir
object_support,22,delta_adapt,-0.07906744243599868,K_dir
object_support,23,r2_G,-0.10661007899314497,K_dir
object_support,23,mse_G,0.24432201007656124,K_dir
object_support,23,r2_P,-0.20896901929481235,K_dir
object_support,23,mse_P,0.23766885464231355,K_dir
object_support,23,delta_adapt,-0.11394237234066902,K_dir
object_support,24,r2_G,-0.15984372675409986,K_dir
object_support,24,mse_G,0.2445339948043625,K_dir
object_support,24,r2_P,-0.21971193322919172,K_dir
object_support,24,mse_P,0.26447012579965895,K_dir
object_support,24,delta_adapt,-0.08363910632746249,K_dir
object_support,25,r2_G,-0.06998956080269166,K_dir
object_support,25,mse_G,0.20872180808757052,K_dir
object_support,25,r2_P,-0.16534165035877363,K_dir
object_support,25,mse_P,0.21190837396001422,K_dir
object_support,25,delta_adapt,-0.16121711241574255,K_dir
object_support,26,r2_G,-0.10146352610979503,K_dir
object_support,26,mse_G,0.23867227286252163,K_dir
object_support,26,r2_P,-0.19211815569174076,K_dir
object_support,26,mse_P,0.2340359674872112,K_dir
object_support,26,delta_adapt,-0.13540450727274808,K_dir
object_support,27,r2_G,-0.11646419487646055,K_dir
object_support,27,mse_G,0.20973380940936814,K_dir
object_support,27,r2_P,-0.18835473386663004,K_dir
object_support,27,mse_P,0.23158888946109563,K_dir
object_support,27,delta_adapt,-0.12232010534326684,K_dir
object_support,28,r2_G,-0.11845466977947151,K_dir
object_support,28,mse_G,0.22791737834884016,K_dir
object_support,28,r2_P,-0.19718531488538701,K_dir
object_support,28,mse_P,0.23955141492429705,K_dir
object_support,28,delta_adapt,-0.10581435394994336,K_dir
object_support,29,r2_G,-0.1414763363889175,K_dir
object_support,29,mse_G,0.24482796603380597,K_dir
object_support,29,r2_P,-0.21848383444341443,K_dir
object_support,29,mse_P,0.2474345466977947,K_dir
object_support,29,delta_adapt,-0.09697304405419942,K_dir
object_support,30,r2_G,-0.08954624718188164,K_dir
object_support,30,mse_G,0.20536197085178698,K_dir
object_support,30,r2_P,-0.17542947694578911,K_dir
object_support,30,mse_P,0.21064191943900845,K_dir
object_support,30,delta_adapt,-0.14472450389672814,K_dir
object_support,31,r2_G,-0.12550327373799794,K_dir
object_support,31,mse_G,0.2237576139263684,K_dir
object_support,31,r2_P,-0.20252614984950962,K_dir
object_support,31,mse_P,0.23912494206406423,K_dir
object_support,31,delta_adapt,-0.10481621076092057,K_dir
