scheme,replicate,outcome,controlled,analysis
conditional_support,30,mse_P,0.039961132854968474,replicate_radius_sensitivity
conditional_support,30,delta_adapt,-0.004101649672125519,replicate_radius_sensitivity
conditional_support,31,r2_G,-0.023077635584394775,replicate_radius_sensitivity
conditional_support,31,mse_G,0.05431136345429785,replicate_radius_sensitivity
conditional_support,31,r2_P,0.005975358630594753,replicate_radius_sensitivity
conditional_support,31,mse_P,0.034494144178940506,replicate_radius_sensitivity
conditional_support,31,delta_adapt,-0.025672682705622504,replicate_radius_sensitivity
object_support,0,r2_G,-0.10971912872935764,replicate_radius_sensitivity
object_support,0,mse_G,0.08509394204689807,replicate_radius_sensitivity
object_support,0,r2_P,-0.06095691926734644,replicate_radius_sensitivity
object_support,0,mse_P,0.07609008966480128,replicate_radius_sensitivity
object_support,0,delta_adapt,0.08264856275963882,replicate_radius_sensitivity
object_support,1,r2_G,-0.08833433111889312,replicate_radius_sensitivity
object_support,1,mse_G,0.08736613937812568,replicate_radius_sensitivity
object_support,1,r2_P,-0.05716747991554228,replicate_radius_sensitivity
object_support,1,mse_P,0.0794119287945892,replicate_radius_sensitivity
object_support,1,delta_adapt,-0.02386772796717822,replicate_radius_sensitivity
object_support,2,r2_G,-0.04855281754614847,replicate_radius_sensitivity
object_support,2,mse_G,0.09597069872169006,replicate_radius_sensitivity
object_support,2,r2_P,-0.048381781365514236,replicate_radius_sensitivity
object_support,2,mse_P,0.09660531179547041,replicate_radius_sensitivity
object_support,2,delta_adapt,-0.022123749012943315,replicate_radius_sensitivity
object_support,3,r2_G,0.039656790377770916,replicate_radius_sensitivity
object_support,3,mse_G,-0.017357177189549218,replicate_radius_sensitivity
object_support,3,r2_P,0.05252768765521109,replicate_radius_sensitivity
object_support,3,mse_P,-0.029424123951431087,replicate_radius_sensitivity
object_support,3,delta_adapt,-0.0836118370984539,replicate_radius_sensitivity
object_support,4,r2_G,-0.10360930150719262,replicate_radius_sensitivity
object_support,4,mse_G,0.08268128583444914,replicate_radius_sensitivity
object_support,4,r2_P,-0.010068335793822457,replicate_radius_sensitivity
object_support,4,mse_P,0.03145840843547225,replicate_radius_sensitivity
object_support,4,delta_adapt,0.011807307938796764,replicate_radius_sensitivity
object_support,5,r2_G,-0.11194653299916459,replicate_radius_sensitivity
object_support,5,mse_G,0.11361245937331914,replicate_radius_sensitivity
object_support,5,r2_P,-0.025887349652670488,replicate_radius_sensitivity
object_support,5,mse_P,0.07741734115539992,replicate_radius_sensitivity
object_support,5,delta_adapt,0.018205026693445942,replicate_radius_sensitivity
object_support,6,r2_G,-0.04880056519723967,replicate_radius_sensitivity
object_support,6,mse_G,0.08198560756915119,replicate_radius_sensitivity
object_support,6,r2_P,-0.032632147577848734,replicate_radius_sensitivity
object_support,6,mse_P,0.06484765709936942,replicate_radius_sensitivity
object_support,6,delta_adapt,-0.03372631421590506,replicate_radius_sensitivity
object_support,7,r2_G,-0.06011380835078564,replicate_radius_sensitivity
object_support,7,mse_G,0.11662718439935454,replicate_radius_sensitivity
object_support,7,r2_P,-0.024576727921401673,replicate_radius_sensitivity
object_support,7,mse_P,0.07492895695288448,replicate_radius_sensitivity
object_support,7,delta_adapt,0.0019621327863036586,replicate_radius_sensitivity
object_support,8,r2_G,-0.06198733849463842,replicate_radius_sensitivity
object_support,8,mse_G,0.09467429275242902,replicate_radius_sensitivity
object_support,8,r2_P,-0.034204106871058924,replicate_radius_sensitivity
object_support,8,mse_P,0.0709376358991085,replicate_radius_sensitivity
object_support,8,delta_adapt,0.04802692375916961,replicate_radius_sensitivity
object_support,9,r2_G,-0.036385019340588916,replicate_radius_sensitivity
object_support,9,mse_G,0.06433356507707624,replicate_radius_sensitivity
object_support,9,r2_P,-0.010297307910186425,replicate_radius_sensitivity
object_support,9,mse_P,0.0411414881381536,replicate_radius_sensitivity
object_support,9,delta_adapt,-0.05297159494054771,replicate_radius_sensitivity
object_support,10,r2_G,0.0149104567926666,replicate_radius_sensitivity
object_support,10,mse_G,0.023873360627596388,replicate_radius_sensitivity
object_support,10,r2_P,0.0446846997631064,replicate_radius_sensitivity
object_support,10,mse_P,-0.0018430422517480916,replicate_radius_sensitivity
object_support,10,delta_adapt,-0.06467080944370059,replicate_radius_sensitivity
object_support,11,r2_G,-0.08538836031288266,replicate_radius_sensitivity
object_support,11,mse_G,0.1190855277463064,replicate_radius_sensitivity
object_support,11,r2_P,-0.06379595893271993,replicate_radius_sensitivity
object_support,11,mse_P,0.11425020170288734,replicate_radius_sensitivity
object_support,11,delta_adapt,0.011739447791854065,replicate_radius_sensitivity
object_support,12,r2_G,-0.09063200953296482,replicate_radius_sensitivity
object_support,12,mse_G,0.0482415907062176,replicate_radius_sensitivity
object_support,12,r2_P,-0.012612957193211337,replicate_radius_sensitivity
object_support,12,mse_P,0.03602283033496984,replicate_radius_sensitivity
object_support,12,delta_adapt,0.015478550829127613,replicate_radius_sensitivity
object_support,13,r2_G,-0.08351688653711906,replicate_radius_sensitivity
object_support,13,mse_G,0.05961545201474005,replicate_radius_sensitivity
object_support,13,r2_P,-0.04133997236241288,replicate_radius_sensitivity
object_support,13,mse_P,0.053981182265023284,replicate_radius_sensitivity
object_support,13,delta_adapt,-0.023217021577917395,replicate_radius_sensitivity
object_support,14,r2_G,0.004685837024067017,replicate_radius_sensitivity
object_support,14,mse_G,-0.005845986255593321,replicate_radius_sensitivity
object_support,14,r2_P,0.1161577066238656,replicate_radius_sensitivity
object_support,14,mse_P,-0.07528998366349664,replicate_radius_sensitivity
object_support,14,delta_adapt,-0.0048381870772822464,replicate_radius_sensitivity
object_support,15,r2_G,0.052809767712660646,replicate_radius_sensitivity
object_support,15,mse_G,-0.04462676382737667,replicate_radius_sensitivity
object_support,15,r2_P,0.08354978842654581,replicate_radius_sensitivity
object_support,15,mse_P,-0.04133907828933064,replicate_radius_sensitivity
object_support,15,delta_adapt,-0.13324147626486307,replicate_radius_sensitivity
object_support,16,r2_G,-0.10909479749602315,replicate_radius_sensitivity
object_support,16,mse_G,0.14456956103157437,replicate_radius_sensitivity
object_support,16,r2_P,-0.08142189449079319,replicate_radius_sensitivity
object_support,16,mse_P,0.11960847109211384,replicate_radius_sensitivity
object_support,16,delta_adapt,0.051591771952712834,replicate_radius_sensitivity
object_support,17,r2_G,-0.05893381069683341,replicate_radius_sensitivity
object_support,17,mse_G,0.07886243147823897,replicate_radius_sensitivity
object_support,17,r2_P,-0.02803124749659537,replicate_radius_sensitivity
object_support,17,mse_P,0.0748503679289548,replicate_radius_sensitivity
object_support,17,delta_adapt,-0.05705893944335725,replicate_radius_sensitivity
object_support,18,r2_G,-0.08015043316052689,replicate_radius_sensitivity
object_support,18,mse_G,0.06926107005527518,replicate_radius_sensitivity
object_support,18,r2_P,-0.01288448718829036,replicate_radius_sensitivity
object_support,18,mse_P,0.04427530369874458,replicate_radius_sensitivity
object_support,18,delta_adapt,-0.002082743245099049,replicate_radius_sensitivity
object_support,19,r2_G,-0.017687090156899097,replicate_radius_sensitivity
object_support,19,mse_G,0.06032302145203191,replicate_radius_sensitivity
object_support,19,r2_P,-0.018439184433686955,replicate_radius_sensitivity
object_support,19,mse_P,0.05756677295407468,replicate_radius_sensitivity
object_support,19,delta_adapt,-0.07968319056774355,replicate_radius_sensitivity
object_support,20,r2_G,-0.07003685726874263,replicate_radius_sensitivity
object_support,20,mse_G,0.09843154547327222,replicate_radius_sensitivity
object_support,20,r2_P,-0.01787091158260949,replicate_radius_sensitivity
object_support,20,mse_P,0.06975003862395715,replicate_radius_sensitivity
object_support,20,delta_adapt,-0.0017291373410695688,replicate_radius_sensitivity
object_support,21,r2_G,0.0296819746283517,replicate_radius_sensitivity
object_support,21,mse_G,-0.01506030344125153,replicate_radius_sensitivity
object_support,21,r2_P,0.04177851520925602,replicate_radius_sensitivity
object_support,21,mse_P,-0.015799165436422107,replicate_radius_sensitivity
object_support,21,delta_adapt,-0.08601707250432016,replicate_radius_sensitivity
object_support,22,r2_G,-0.12250499965667593,replicate_radius_sensitivity
object_support,22,mse_G,0.14968079802817547,replicate_radius_sensitivity
object_support,22,r2_P,-0.06939160472528352,replicate_radius_sensitivity
object_support,22,mse_P,0.12771109780730366,replicate_radius_sensitivity
object_support,22,delta_adapt,0.0497841349950218,replicate_radius_sensitivity
object_support,23,r2_G,-0.021524898862452936,replicate_radius_sensitivity
object_support,23,mse_G,0.08810151448827548,replicate_radius_sensitivity
object_support,23,r2_P,-0.021563969856147218,replicate_radius_sensitivity
object_support,23,mse_P,0.05646044692209976,replicate_radius_sensitivity
object_support,23,delta_adapt,-0.03862377833854041,replicate_radius_sensitivity
object_support,24,r2_G,-0.09320130734942379,replicate_radius_sensitivity
object_support,24,mse_G,0.09788687615156612,replicate_radius_sensitivity
object_support,24,r2_P,-0.04899484727801238,replicate_radius_sensitivity
object_support,24,mse_P,0.0971902144058777,replicate_radius_sensitivity
object_support,24,delta_adapt,0.012043164417894051,replicate_radius_sensitivity
object_support,25,r2_G,0.0809009181057667,replicate_radius_sensitivity
object_support,25,mse_G,-0.05376293902564631,replicate_radius_sensitivity
object_support,25,r2_P,0.1174919318845058,replicate_radius_sensitivity
object_support,25,mse_P,-0.0855442866584269,replicate_radius_sensitivity
object_support,25,delta_adapt,-0.11530252572069441,replicate_radius_sensitivity
object_support,26,r2_G,-0.05259635246792781,replicate_radius_sensitivity
object_support,26,mse_G,0.10895219283940445,replicate_radius_sensitivity
object_support,26,r2_P,-0.06140905202503977,replicate_radius_sensitivity
object_support,26,mse_P,0.10027235254231469,replicate_radius_sensitivity
object_support,26,delta_adapt,-0.045397991268124646,replicate_radius_sensitivity
object_support,27,r2_G,-0.04032511000675204,replicate_radius_sensitivity
object_support,27,mse_G,0.06529692882319955,replicate_radius_sensitivity
object_support,27,r2_P,0.0010424892139023357,replicate_radius_sensitivity
object_support,27,mse_P,0.051078395188885455,replicate_radius_sensitivity
object_support,27,delta_adapt,-0.05611739108044082,replicate_radius_sensitivity
object_support,28,r2_G,-0.06343761444135453,replicate_radius_sensitivity
object_support,28,mse_G,0.09819935469381215,replicate_radius_sensitivity
object_support,28,r2_P,-0.06868466113914924,replicate_radius_sensitivity
object_support,28,mse_P,0.10961389632757693,replicate_radius_sensitivity
object_support,28,delta_adapt,-0.027288809209095804,replicate_radius_sensitivity
object_support,29,r2_G,-0.1267418331788375,replicate_radius_sensitivity
object_support,29,mse_G,0.12641174139687114,replicate_radius_sensitivity
object_support,29,r2_P,-0.06531391621176227,replicate_radius_sensitivity
object_support,29,mse_P,0.09611187286137718,replicate_radius_sensitivity
object_support,29,delta_adapt,0.03331700755885147,replicate_radius_sensitivity
object_support,30,r2_G,-0.016655419227291975,replicate_radius_sensitivity
object_support,30,mse_G,0.042538298514551216,replicate_radius_sensitivity
object_support,30,r2_P,0.014847335233059816,replicate_radius_sensitivity
object_support,30,mse_P,0.03430683586820934,replicate_radius_sensitivity
object_support,30,delta_adapt,-0.07882085707991439,replicate_radius_sensitivity
object_support,31,r2_G,-0.04327385243931747,replicate_radius_sensitivity
object_support,31,mse_G,0.04952047284306657,replicate_radius_sensitivity
object_support,31,r2_P,0.00939331061672446,replicate_radius_sensitivity
object_support,31,mse_P,0.03611420460397569,replicate_radius_sensitivity
object_support,31,delta_adapt,-0.026733947454252067,replicate_radius_sensitivity
