scheme,replicate,outcome,controlled,raw,n,estimator
conditional_support,27,mse_G,0.22732827359494626,0.3595354861182637,512,K_H
conditional_support,27,r2_P,-0.13583625516416614,0.05028553117954703,512,K_H
conditional_support,27,mse_P,0.16119324066444649,0.306568272135819,512,K_H
conditional_support,27,delta_adapt,0.13856881072544372,0.050771370492441154,512,K_H
conditional_support,28,r2_G,-0.24579276029686087,-0.40522020662386554,512,K_H
conditional_support,28,mse_G,0.21145150261498497,0.31222265852988634,512,K_H
conditional_support,28,r2_P,-0.14069581058811412,0.02055009098087685,512,K_H
conditional_support,28,mse_P,0.16475138330987285,0.26093558668360395,512,K_H
conditional_support,28,delta_adapt,0.1496755229969902,0.09420257979423445,512,K_H
conditional_support,29,r2_G,-0.1599925005149861,-0.36745169859580457,512,K_H
conditional_support,29,mse_G,0.17794521978462136,0.3609422207058743,512,K_H
conditional_support,29,r2_P,-0.10626201634222543,0.05929000941280141,512,K_H
conditional_support,29,mse_P,0.13344657662993098,0.30970548517412255,512,K_H
conditional_support,29,delta_adapt,0.09716714732035568,0.04375137687254666,512,K_H
conditional_support,30,r2_G,-0.24160241857497625,-0.4115352236184067,512,K_H
conditional_support,30,mse_G,0.22470077162083293,0.3535757737666083,512,K_H
conditional_support,30,r2_P,-0.1604477625284673,0.018465023145763954,512,K_H
conditional_support,30,mse_P,0.17393038460878224,0.3011197013652854,512,K_H
conditional_support,30,delta_adapt,0.17285865920509036,0.07705515214978084,512,K_H
conditional_support,31,r2_G,-0.2245545906718852,-0.40353675641729897,512,K_H
conditional_support,31,mse_G,0.21028089272839634,0.36539202243622754,512,K_H
conditional_support,31,r2_P,-0.14210817783614285,0.033786574741648645,512,K_H
conditional_support,31,mse_P,0.16167183798537438,0.3132689028507341,512,K_H
conditional_support,31,delta_adapt,0.16019697502889643,0.06601102499399183,512,K_H
object_support,0,r2_G,-0.24484575808814274,-0.37090192662020344,512,K_H
object_support,0,mse_G,0.19723091261258172,0.34751503115665877,512,K_H
object_support,0,r2_P,-0.1604794127155789,-0.000251592165344869,512,K_H
object_support,0,mse_P,0.16226657539968642,0.30644310190430407,512,K_H
object_support,0,delta_adapt,0.20759125267506667,0.06705047435941452,512,K_H
object_support,1,r2_G,-0.2240812683821426,-0.3719048978038704,512,K_H
object_support,1,mse_G,0.19376924045272997,0.35021182379464644,512,K_H
object_support,1,r2_P,-0.150451846654307,0.019296511112255527,512,K_H
object_support,1,mse_P,0.16568962360238496,0.3065022001350408,512,K_H
object_support,1,delta_adapt,0.1239339072567263,0.03326068095466978,512,K_H
object_support,2,r2_G,-0.22946787988807635,-0.3740825916103043,512,K_H
object_support,2,mse_G,0.23343059060322036,0.35669599941634905,512,K_H
object_support,2,r2_P,-0.18335409371030317,0.01199568913722663,512,K_H
