family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
vit,ViT Base,official_legacy_cross_vit_base,base,0,86000000.0,7.9344984512435675,86.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.014718017578125,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.01473388671875,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.017401123046875,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.025894775390625,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.014373779296875,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0171844482421875,,,,,16384,paper_full_catalog,dense_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.025076904296875,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.010443115234375,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.0132476806640625,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.02052734375,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,10,0.017822265625,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,20,0.021881103515625,,,,,16384,paper_full_catalog,dense_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,dense,mknn,50,0.0318310546875,,,,,16384,paper_full_catalog,dense_cosine
