pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,dense_cosine,0.009893798828125,16384,3277,paper_full_catalog,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,dense_cosine_heldout,0.009795544705523344,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,sae_codes_cosine,0.009642966127555691,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,sae_idf_cosine,0.010283796155019835,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side1_basis_cosine,0.013548977723527617,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side1_basis_idf,0.013304851998779371,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side2_basis_cosine,0.010802563320109856,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_side2_basis_idf,0.011443393347574,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,dense_cosine_test_subset,0.02187976808056149,16384,3277,test_subset_mknn,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_95m,astropt,95m,AstroPTv2 Base,95.0,10,shared_best_basis_idf,0.013304851998779371,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
