family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.02638083613060726,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Large,official_legacy_cross_vit_large,large,1,307000000.0,8.487138375477187,307.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.041574610924626186,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.01925541653951785,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.027220018309429356,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
vit,ViT Huge,official_legacy_cross_vit_huge,huge,2,632000000.0,8.800717078282386,632.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.044937442783033264,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.027525175465364666,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.03797680805614891,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Huge,official_legacy_cross_ijepa_huge,huge,0,630000000.0,8.799340549453582,630.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.058608483368935003,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,10,0.03207201708880073,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,20,0.04284406469331706,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn,50,0.06509002136100092,,,,,16384,heldout_query_full_gallery,shared_best_basis_cosine
