family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense,pca_ridge_mknn,dense_raw_from_pca_sweep,dense_ridge_mknn,ridge_gain_after_pca,ridge_gain_full,I_pca_x_ridge
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,8,8,0.022245956667683857,0.014800122062862376,-0.007445834604821481,0.0164174549893195,0.0222459566676838,0.0375648458956362,0.0016173329264571237,0.01531888922795234,-0.013701556301495216
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,16,16,0.022245956667683857,0.020415013732072017,-0.00183094293561184,0.024382056759231,0.0222459566676838,0.0375648458956362,0.003967043027158983,0.01531888922795234,-0.011351846200793356
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,32,32,0.022245956667683857,0.022764723832773878,0.0005187671650900214,0.0313396399145559,0.0222459566676838,0.0375648458956362,0.00857491608178202,0.01531888922795234,-0.006743973146170319
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,64,64,0.022245956667683857,0.025083918217882212,0.0028379615501983556,0.0391821788220933,0.0222459566676838,0.0375648458956362,0.014098260604211089,0.01531888922795234,-0.001220628623741251
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,128,128,0.022245956667683857,0.02554165395178517,0.003295697284101312,0.0425694232529752,0.0222459566676838,0.0375648458956362,0.01702776930119003,0.01531888922795234,0.0017088800732376896
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,256,256,0.022245956667683857,0.0259688739700946,0.0037229173024107415,0.0469026548672566,0.0222459566676838,0.0375648458956362,0.020933780897162003,0.01531888922795234,0.005614891669209664
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,512,512,0.022245956667683857,0.026426609703997562,0.004180653036313705,0.0484589563625267,0.0222459566676838,0.0375648458956362,0.02203234665852914,0.01531888922795234,0.006713457430576799
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,1024,full,0.022245956667683857,0.022245956667683857,0.0,0.0375648458956362,0.0222459566676838,0.0375648458956362,0.01531888922795234,0.01531888922795234,0.0
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,8,8,0.022123893805309734,0.01638693927372597,-0.0057369545315837656,0.0168141592920353,0.0221238938053097,0.0389990845285321,0.0004272200183093322,0.01687519072322237,-0.016447970704913037
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,16,16,0.022123893805309734,0.019926762282575526,-0.002197131522734208,0.0257247482453463,0.0221238938053097,0.0389990845285321,0.005797985962770775,0.01687519072322237,-0.011077204760451594
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,32,32,0.022123893805309734,0.022245956667683857,0.00012206286237412267,0.0340250228867866,0.0221238938053097,0.0389990845285321,0.01177906621910274,0.01687519072322237,-0.0050961245041196285
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,64,64,0.022123893805309734,0.024839792493133964,0.0027158986878242294,0.0404943545926151,0.0221238938053097,0.0389990845285321,0.015654562099481135,0.01687519072322237,-0.0012206286237412337
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,128,128,0.022123893805309734,0.024870308208727494,0.00274641440341776,0.0459566676838571,0.0221238938053097,0.0389990845285321,0.021086359475129608,0.01687519072322237,0.004211168751907239
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,256,256,0.022123893805309734,0.025205981080256335,0.003082087274946601,0.0504119621605126,0.0221238938053097,0.0389990845285321,0.025205981080256266,0.01687519072322237,0.008330790357033897
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,512,512,0.022123893805309734,0.025297528227036924,0.0031736344217271895,0.0535550808666463,0.0221238938053097,0.0389990845285321,0.028257552639609378,0.01687519072322237,0.011382361916387009
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,1536,full,0.022123893805309734,0.022123893805309734,0.0,0.0389990845285321,0.0221238938053097,0.0389990845285321,0.01687519072322237,0.01687519072322237,0.0
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,8,8,0.015257857796765334,0.009246261824839792,-0.006011595971925542,0.0103753433018004,0.0152578577967653,0.0268843454379005,0.001129081476960607,0.011626487641135167,-0.01049740616417456
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,16,16,0.015257857796765334,0.012175770521818736,-0.0030820872749465975,0.0179127250534025,0.0152578577967653,0.0268843454379005,0.005736954531583762,0.011626487641135167,-0.005889533109551405
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,32,32,0.015257857796765334,0.01415929203539823,-0.001098565761367104,0.0238022581629539,0.0152578577967653,0.0268843454379005,0.00964296612755567,0.011626487641135167,-0.001983521513579497
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,64,64,0.015257857796765334,0.016264876411351846,0.001007018614586512,0.0288373512358864,0.0152578577967653,0.0268843454379005,0.012572474824534555,0.011626487641135167,0.0009459871833993883
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,128,128,0.015257857796765334,0.016997253585596582,0.001739395788831248,0.0313396399145559,0.0152578577967653,0.0268843454379005,0.014342386328959317,0.011626487641135167,0.0027158986878241496
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,256,256,0.015257857796765334,0.017180347879157766,0.001922490082392432,0.033872444308819,0.0152578577967653,0.0268843454379005,0.016692096429661234,0.011626487641135167,0.005065608788526067
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,512,512,0.015257857796765334,0.01736344217271895,0.002105584375953616,0.0361916386939273,0.0152578577967653,0.0268843454379005,0.018828196521208353,0.011626487641135167,0.007201708880073186
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,768,full,0.015257857796765334,0.015257857796765334,0.0,0.0268843454379005,0.0152578577967653,0.0268843454379005,0.011626487641135167,0.011626487641135167,0.0
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,8,8,0.024412572474824534,0.015807140677448886,-0.008605431797375648,0.0182789136405248,0.0244125724748245,0.0453463533719865,0.0024717729630759147,0.02093378089716197,-0.018462007934086054
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,16,16,0.024412572474824534,0.020659139456820262,-0.003753433018004272,0.0246872139151663,0.0244125724748245,0.0453463533719865,0.004028074458346038,0.02093378089716197,-0.01690570643881593
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,32,32,0.024412572474824534,0.024107415318889228,-0.0003051571559353067,0.0332621299969484,0.0244125724748245,0.0453463533719865,0.009154714678059173,0.02093378089716197,-0.011779066219102796
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,64,64,0.024412572474824534,0.026640219713152273,0.0022276472383277388,0.042844064693317,0.0244125724748245,0.0453463533719865,0.01620384498016473,0.02093378089716197,-0.00472993591699724
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,128,128,0.024412572474824534,0.027891364052487034,0.0034787915776624996,0.0482148306377784,0.0244125724748245,0.0453463533719865,0.020323466585291366,0.02093378089716197,-0.000610314311870603
