family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,128,128,0.022245956667683857,0.02554165395178517,0.003295697284101312
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,256,256,0.022245956667683857,0.0259688739700946,0.0037229173024107415
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,512,512,0.022245956667683857,0.026426609703997562,0.004180653036313705
dinov2,official_legacy_cross_dino_large,large,300000000,8.477121254719663,1024,1024,full,0.022245956667683857,0.022245956667683857,0.0
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,8,8,0.022123893805309734,0.01638693927372597,-0.0057369545315837656
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,16,16,0.022123893805309734,0.019926762282575526,-0.002197131522734208
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,32,32,0.022123893805309734,0.022245956667683857,0.00012206286237412267
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,64,64,0.022123893805309734,0.024839792493133964,0.0027158986878242294
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,128,128,0.022123893805309734,0.024870308208727494,0.00274641440341776
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,256,256,0.022123893805309734,0.025205981080256335,0.003082087274946601
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,512,512,0.022123893805309734,0.025297528227036924,0.0031736344217271895
dinov2,official_legacy_cross_dino_giant,giant,1100000000,9.041392685158225,1536,1536,full,0.022123893805309734,0.022123893805309734,0.0
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,8,8,0.015257857796765334,0.009246261824839792,-0.006011595971925542
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,16,16,0.015257857796765334,0.012175770521818736,-0.0030820872749465975
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,32,32,0.015257857796765334,0.01415929203539823,-0.001098565761367104
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,64,64,0.015257857796765334,0.016264876411351846,0.001007018614586512
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,128,128,0.015257857796765334,0.016997253585596582,0.001739395788831248
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,256,256,0.015257857796765334,0.017180347879157766,0.001922490082392432
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,512,512,0.015257857796765334,0.01736344217271895,0.002105584375953616
vit,official_legacy_cross_vit_base,base,86000000,7.9344984512435675,768,768,full,0.015257857796765334,0.015257857796765334,0.0
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,8,8,0.024412572474824534,0.015807140677448886,-0.008605431797375648
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,16,16,0.024412572474824534,0.020659139456820262,-0.003753433018004272
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,32,32,0.024412572474824534,0.024107415318889228,-0.0003051571559353067
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,64,64,0.024412572474824534,0.026640219713152273,0.0022276472383277388
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,128,128,0.024412572474824534,0.027891364052487034,0.0034787915776624996
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,256,256,0.024412572474824534,0.02883735123588648,0.004424778761061947
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,512,512,0.024412572474824534,0.029020445529447665,0.004607873054623131
vit,official_legacy_cross_vit_large,large,307000000,8.487138375477187,1024,1024,full,0.024412572474824534,0.024412572474824534,0.0
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,8,8,0.02609093683246872,0.018370460787305462,-0.007720476045163259
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,16,16,0.02609093683246872,0.022490082392432102,-0.003600854440036619
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,32,32,0.02609093683246872,0.02545010680500458,-0.0006408300274641406
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,64,64,0.02609093683246872,0.026823314006713457,0.000732377174244736
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,128,128,0.02609093683246872,0.027555691180958193,0.001464754348489472
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,256,256,0.02609093683246872,0.02783033262129997,0.001739395788831248
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,512,512,0.02609093683246872,0.02783033262129997,0.001739395788831248
vit,official_legacy_cross_vit_huge,huge,632000000,8.800717078282386,1280,1280,full,0.02609093683246872,0.02609093683246872,0.0
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,8,8,0.019926762282575526,0.013945682026243517,-0.005981080256332009
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,16,16,0.019926762282575526,0.018584070796460177,-0.0013426914861153494
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,32,32,0.019926762282575526,0.02017088800732377,0.00024412572474824534
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,64,64,0.019926762282575526,0.0209948123283491,0.0010680500457735734
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,128,128,0.019926762282575526,0.02145254806225206,0.0015257857796765334
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,256,256,0.019926762282575526,0.02154409520903265,0.0016173329264571254
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,512,512,0.019926762282575526,0.021605126640219713,0.0016783643576441867
ijepa,official_legacy_cross_ijepa_huge,huge,630000000,8.799340549453582,1280,1280,full,0.019926762282575526,0.019926762282575526,0.0
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,8,8,0.03320109856576137,0.02236801953005798,-0.010833079035703387
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,16,16,0.03320109856576137,0.029813854134879463,-0.003387244430881904
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,32,32,0.03320109856576137,0.031278608483368935,-0.001922490082392432
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,64,64,0.03320109856576137,0.03289594140982606,-0.0003051571559353067
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,128,128,0.03320109856576137,0.03338419285932255,0.000183094293561184
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,256,256,0.03320109856576137,0.033597802868477265,0.0003967043027158987
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,512,512,0.03320109856576137,0.033567287152883735,0.000366188587122368
ijepa,official_legacy_cross_ijepa_giant,giant,1000000000,9.0,1408,1408,full,0.03320109856576137,0.03320109856576137,0.0
