dataset_id,sample_id,k,d,r2_L,test_energy,test_sse_lin
desi_vit_base_hsc,8207,2048,17,0.8159403519304758,240.65845583243362,44.29551068547288
desi_vit_base_hsc,8207,2048,18,0.8217434383792095,240.65845583243362,42.898948861658496
desi_vit_base_hsc,8207,2048,19,0.8261723829272449,240.65845583243362,41.83308590576081
desi_vit_base_hsc,8207,2048,20,0.8320844117959701,240.65845583243362,40.41030616737663
desi_vit_base_hsc,8207,2048,21,0.8363895423780783,240.65845583243362,39.374240089329504
desi_vit_base_hsc,8207,2048,22,0.8410068200848749,240.65845583243362,38.263053166262296
desi_vit_base_hsc,8207,2048,23,0.8449505276737138,240.65845583243362,37.31396658767768
desi_vit_base_hsc,8207,2048,24,0.8487945400699065,240.65845583243362,36.38887250020922
desi_vit_base_hsc,8207,2048,25,0.8521311450838945,240.65845583243362,35.5858902898201
desi_vit_base_hsc,8207,2048,26,0.8554692034828905,240.65845583243362,34.782558310039256
desi_vit_base_hsc,8207,2048,27,0.8588372143439661,240.65845583243362,33.97201801698593
desi_vit_base_hsc,8207,2048,28,0.8625168781714294,240.65845583243362,33.086475802286145
desi_vit_base_hsc,8207,2048,29,0.8653291812636106,240.65845583243362,32.40967128278905
desi_vit_base_hsc,8207,2048,30,0.8680570480396317,240.65845583243362,31.753187076755207
desi_vit_base_hsc,8207,2048,31,0.8705361687775823,240.65845583243362,31.156565708137844
desi_vit_base_hsc,8207,2048,32,0.872891425203022,240.65845583243362,30.589753333702117
desi_vit_base_hsc,8207,2048,33,0.8753484014089887,240.65845583243362,29.99846123395713
desi_vit_base_hsc,8207,2048,34,0.8773283180726558,240.65845583243362,29.521977547002116
desi_vit_base_hsc,8207,2048,35,0.8793788144199445,240.65845583243362,29.02850826237357
desi_vit_base_hsc,8207,2048,36,0.881535543090084,240.65845583243362,28.50947327096826
desi_vit_base_hsc,8207,2048,37,0.8835197826742686,240.65845583243362,28.03194923663681
desi_vit_base_hsc,8207,2048,38,0.8854878768274008,240.65845583243362,27.55831073681116
desi_vit_base_hsc,8207,2048,39,0.8872540076936872,240.65845583243362,27.133276409732673
desi_vit_base_hsc,8207,2048,40,0.8890001059463958,240.65845583243362,26.713063100504122
desi_vit_base_hsc,8207,2048,41,0.8909035034204547,240.65845583243362,26.25499440356176
desi_vit_base_hsc,8207,2048,42,0.8925316113149183,240.65845583243362,25.86317647175154
desi_vit_base_hsc,8207,2048,43,0.8940953132855927,240.65845583243362,25.486858370106916
desi_vit_base_hsc,8207,2048,44,0.8956759516229011,240.65845583243362,25.10646438862071
desi_vit_base_hsc,8207,2048,45,0.8972101888913885,240.65845583243362,24.737237216705978
desi_vit_base_hsc,8207,2048,46,0.8985639012834507,240.65845583243362,24.41145488279107
desi_vit_base_hsc,8207,2048,47,0.8997832511250435,240.65845583243362,24.118008032793803
desi_vit_base_hsc,8207,2048,48,0.90124146303217,240.65845583243362,23.767077006948277
