ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,dataset_id,sample_id,k,stage
1.0,23.0,0.11081678244673197,0.09436685280300723,0.09436685280300723,0.889183217553268,0.9056331471969927,942.529640210487,104.62318535459366,0.37906951215432483,1024.0,1024.0,276.0,357.088169566347,39.57136200113561,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,24.0,0.10836337398160106,0.09219257420096491,0.09219257420096491,0.891636626018399,0.9078074257990351,976.5798893014097,110.61531457794456,0.36871771525981517,1024.0,1024.0,300.0,357.088169566347,38.695278863123434,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,26.0,0.1032164169118747,0.08774129495391228,0.08774129495391228,0.8967835830881253,0.9122587050460877,1047.733161273494,122.0662578990297,0.3477671165214521,1024.0,1024.0,351.0,357.088169566347,36.85736138425828,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,28.0,0.09852942506693411,0.0839803416374716,0.08398034163747159,0.9014705749330659,0.9160196583625284,1123.1410804683744,132.80445347203772,0.3271045652020634,1024.0,1024.0,406.0,357.088169566347,35.18369204557605,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,30.0,0.0944243243914595,0.0804644182183037,0.0804644182183037,0.9055756756085405,0.9195355817816963,1190.6931900706752,144.58805535134388,0.31094205451901913,1024.0,1024.0,465.0,357.088169566347,33.71780915948524,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,32.0,0.09059098774370063,0.07726148515642431,0.07726148515642431,0.9094090122562993,0.9227385148435757,1278.6462730066612,154.05625778681852,0.2917732155053381,1024.0,1024.0,528.0,357.088169566347,32.34896999260543,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,34.0,0.08756232741845218,0.07485645712513864,0.07485645712513864,0.9124376725815478,0.9251435428748613,1369.1404915765072,162.77164910530362,0.27356579681563636,1024.0,1024.0,595.0,357.088169566347,31.26747122082425,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,36.0,0.08456827843135968,0.07268180771729216,0.07268180771729216,0.9154317215686403,0.9273181922827078,1449.2795642044016,171.87349397785408,0.2580683092760572,1024.0,1024.0,666.0,357.088169566347,30.198331748431414,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,38.0,0.08175756673130706,0.07052315400295629,0.07052315400295629,0.9182424332686929,0.9294768459970437,1527.589666689456,180.65209630824958,0.243795001765519,1024.0,1024.0,741.0,357.088169566347,29.194659852280907,desi_vit_base_hsc,7705,2048,coarse_fixed
1.0,2.0,0.4838155071801377,0.47007140061073993,0.47007140061073993,0.5161844928198622,0.5299285993892601,131.83762080825434,2.5180219697878954,0.8393406565959651,1024.0,1024.0,3.0,239.42920791943487,115.83956366328003,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,4.0,0.34010295087456377,0.3111853380668399,0.3111853380668399,0.6598970491254362,0.6888146619331601,204.2053540146694,7.680904540341578,0.7680904540341578,1024.0,1024.0,10.0,239.42920791943487,81.43058013895927,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,5.0,0.3039693808236516,0.27260156873219854,0.27260156873219854,0.6960306191763483,0.7273984312678015,245.91171124778324,10.928069453781827,0.7285379635854551,1024.0,1024.0,15.0,239.42920791943487,72.77914808236795,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,6.0,0.27802536101889674,0.24489236818881047,0.24489236818881047,0.7219746389811033,0.7551076318111896,284.2113430278962,14.66572531374727,0.6983678720832034,1024.0,1024.0,21.0,239.42920791943487,66.56739197026937,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,7.0,0.254350237779238,0.21973074543394386,0.21973074543394386,0.7456497622207621,0.7802692545660561,322.1849999724073,18.770761924011406,0.6703843544289788,1024.0,1024.0,28.0,239.42920791943487,60.898875965602876,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,8.0,0.23442698987421695,0.19899177842733934,0.19899177842733934,0.765573010125783,0.8010082215726606,362.36818893617135,23.096541500483355,0.6415705972356487,1024.0,1024.0,36.0,239.42920791943487,56.128668500521144,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,10.0,0.20756841369222526,0.17037066232460596,0.17037066232460596,0.7924315863077748,0.829629337675394,70.25841584480959,48.611708971703464,0.883849254030972,1024.0,1024.0,55.0,239.42920791943487,49.69794087942307,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,11.0,0.1972974127988804,0.1598454105694036,0.1598454105694036,0.8027025872011195,0.8401545894305964,75.72943253787862,57.78856356344696,0.875584296415863,1024.0,1024.0,66.0,239.42920791943487,47.23876327098971,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,12.0,0.1877298020515823,0.15094819612804594,0.15094819612804594,0.8122701979484177,0.8490518038719541,81.0461321582711,67.53298242862448,0.8658074670336472,1024.0,1024.0,78.0,239.42920791943487,44.94799780808265,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,13.0,0.17930942627284974,0.14453706565302066,0.14453706565302066,0.8206905737271503,0.8554629343469793,86.98887154870788,77.78469270236326,0.8547768428831127,1024.0,1024.0,91.0,239.42920791943487,42.93191390499672,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,14.0,0.17187775592685545,0.13765050733614762,0.13765050733614762,0.8281222440731446,0.8623494926638524,92.0722906809664,88.85377647776787,0.8462264426454082,1024.0,1024.0,105.0,239.42920791943487,41.15255496053695,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,16.0,0.15918385013448144,0.1272597643762419,0.1272597643762419,0.8408161498655186,0.8727402356237581,102.30279279500247,112.49090768422244,0.8271390270898709,1024.0,1024.0,136.0,239.42920791943487,38.11326315126492,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,17.0,0.15267546653630995,0.12289239859352423,0.12289239859352423,0.8473245334636901,0.8771076014064758,108.08441620987479,125.04899393151584,0.8173136858269009,1024.0,1024.0,153.0,239.42920791943487,36.55496602151888,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,18.0,0.14716526212146455,0.11829021768162416,0.11829021768162416,0.8528347378785355,0.8817097823183758,113.8384996825024,137.9499413174555,0.8067248030260556,1024.0,1024.0,171.0,239.42920791943487,35.23566214299827,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,20.0,0.13783024055035406,0.11204339535983031,0.11204339535983031,0.8621697594496459,0.8879566046401697,125.72589182444142,164.4712582767414,0.7831964679844828,1024.0,1024.0,210.0,239.42920791943487,33.00058532231645,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,22.0,0.13006288942918262,0.1069310032785865,0.1069310032785865,0.8699371105708174,0.8930689967214135,135.9585965289182,192.51356571116935,0.7609231846291279,1024.0,1024.0,253.0,239.42920791943487,31.140854595742237,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,23.0,0.12663834286013684,0.10476859943389143,0.10476859943389141,0.8733616571398631,0.8952314005661086,891.8281790461596,108.78107887736849,0.3941343437585815,1024.0,1024.0,276.0,239.42920791943487,30.32091812323238,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,24.0,0.1236399159616449,0.10229667192709208,0.10229667192709208,0.8763600840383551,0.8977033280729079,922.9963308406756,115.30079136039268,0.3843359712013089,1024.0,1024.0,300.0,239.42920791943487,29.60300714592213,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,26.0,0.11752724802485062,0.09792555102969934,0.09792555102969934,0.8824727519751494,0.9020744489703006,994.1966218979754,127.2217208906933,0.3624550452726305,1024.0,1024.0,351.0,239.42920791943487,28.139455903540952,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,28.0,0.11218233033999735,0.09378525824803607,0.09378525824803606,0.8878176696600026,0.9062147417519639,1066.122294707236,138.93687097935577,0.3422090418210733,1024.0,1024.0,406.0,239.42920791943487,26.859726495861953,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,30.0,0.10756644741170304,0.09012379073935059,0.09012379073935059,0.8924335525882969,0.9098762092606494,1140.6393073570673,150.40328527364596,0.32344792531966876,1024.0,1024.0,465.0,239.42920791943487,25.754549302491604,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,32.0,0.10283527393450832,0.08649109549349719,0.08649109549349719,0.8971647260654917,0.9135089045065028,1212.3283196232662,161.67655978201705,0.30620560564775956,1024.0,1024.0,528.0,239.42920791943487,24.621768184317435,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,34.0,0.09894114310867767,0.08351402715405719,0.08351402715405719,0.9010588568913224,0.9164859728459428,1285.2129652900292,172.57236467973854,0.2900375876970396,1024.0,1024.0,595.0,239.42920791943487,23.689399525154148,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,36.0,0.09517060846958791,0.08057469272370682,0.08057469272370682,0.9048293915304121,0.9194253072762932,1350.4389051292446,183.87523385441898,0.27608893972134985,1024.0,1024.0,666.0,239.42920791943487,22.786623403084093,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,38.0,0.09141207324404443,0.07769571840253194,0.07769571840253194,0.9085879267559556,0.922304281597468,1421.130388887172,194.55533683792984,0.26255780949788105,1024.0,1024.0,741.0,239.42920791943487,21.886720291094925,desi_vit_base_hsc,2454,2048,coarse_fixed
1.0,2.0,0.5051219035365537,0.49800499742286897,0.49800499742286897,0.49487809646344627,0.501995002577131,163.320916606633,2.3836183640113298,0.7945394546704433,1024.0,1024.0,3.0,181.77158609163018,91.8168095754628,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,4.0,0.3654896166561208,0.34733183214794855,0.34733183214794855,0.6345103833438792,0.6526681678520514,236.15595048885564,7.353360657207961,0.7353360657207961,1024.0,1024.0,10.0,181.77158609163018,66.43562731960498,desi_vit_base_hsc,3158,2048,coarse_fixed
